Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathalie Baudet,Jean Côté,Anne-Marie Day,Pierre Paul-Hus,Marc Antoine Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 190","Québec",2,38,32,93,18,1,184,385
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 191","Québec",8,57,41,96,23,8,233,443
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 192","Québec",4,39,17,119,29,2,210,477
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 193","Québec",4,29,13,91,22,4,163,357
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 194","Québec",3,32,21,100,17,3,176,420
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 195","Québec",5,44,42,90,25,7,213,414
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 196","Québec",2,45,46,122,21,8,244,458
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 197","Québec",4,43,39,87,24,3,200,390
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 198","Québec",2,19,28,95,25,5,174,377
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 199","Québec",7,48,54,152,30,8,299,510
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 200","Québec",7,39,28,81,26,1,182,408
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 201","Québec",6,48,26,116,16,4,216,401
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 202","Québec",7,44,38,100,21,7,217,418
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 203","Québec",1,46,36,124,26,5,238,455
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 204","Québec",7,36,52,140,26,2,263,462
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 205","Québec",4,46,31,110,20,3,214,516
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 206","Québec",2,24,33,99,17,7,182,397
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 400","Québec",2,68,7,28,8,4,117,201
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 500A","Mobile poll/Bureau itinérant",1,26,6,8,3,0,44,103
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,15
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 501A","Mobile poll/Bureau itinérant",2,61,16,28,11,4,122,161
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,22
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 501C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,30
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 502","Mobile poll/Bureau itinérant",6,95,21,32,24,1,179,240
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 503A","Mobile poll/Bureau itinérant",1,48,24,30,8,7,118,148
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 503B","Québec",Merged with No./Fusionné avec le n°106,,,,,,,47
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 504A","Mobile poll/Bureau itinérant",1,24,6,19,13,1,64,54
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,49
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 600","Québec",28,134,167,539,98,9,975,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 601","Québec",25,193,233,611,161,21,1244,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 602","Québec",10,192,246,417,108,15,988,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 603","Québec",19,255,290,666,166,11,1407,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 604","Québec",21,289,316,570,144,16,1356,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 605","Québec",14,220,253,394,127,9,1017,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 606","Québec",19,273,225,403,140,12,1072,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 607","Québec",20,230,201,386,118,10,965,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 608","Québec",28,297,319,511,157,11,1323,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 609","Québec",22,223,282,610,153,17,1307,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 610","Québec",19,211,236,538,107,11,1122,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 611","Québec",16,208,219,713,112,11,1279,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 612","Québec",11,232,180,641,108,13,1185,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles",,"Group 1/Groupe 1",8,69,38,163,13,13,304,73
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles",,"Group 2/Groupe 2",23,216,323,409,155,15,1141,
