Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathalie Baudet,Jean Côté,Anne-Marie Day,Pierre Paul-Hus,Marc Antoine Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 37","Québec",6,56,75,144,26,0,307,500
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 38","Québec",8,48,39,65,22,5,187,422
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 39","Québec",3,59,33,73,22,1,191,369
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 40","Québec",4,54,47,63,36,0,204,377
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 41","Québec",3,43,40,60,33,2,181,389
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 42","Québec",3,29,49,71,29,7,188,386
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 43","Québec",4,50,35,62,21,1,173,375
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 44","Québec",1,49,41,96,32,5,224,412
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 45","Québec",5,37,30,82,19,4,177,359
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 46","Québec",1,84,38,104,39,0,266,501
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 47","Québec",6,29,36,51,25,2,149,353
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 48","Québec",6,48,39,79,13,3,188,376
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 49","Québec",6,29,30,81,17,2,165,350
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 50","Québec",7,34,34,75,28,3,181,398
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 51","Québec",3,41,28,72,20,3,167,293
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 52","Québec",2,47,58,66,30,3,206,343
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 53","Québec",5,53,42,48,26,1,175,452
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 54","Québec",3,66,56,71,23,2,221,488
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 55","Québec",4,49,38,53,29,0,173,472
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 56","Québec",7,44,51,67,33,2,204,415
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 57","Québec",2,55,65,63,33,4,222,379
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 58","Québec",10,79,66,71,31,1,258,449
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 59","Québec",6,82,31,75,29,2,225,403
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 60","Québec",8,71,73,97,32,3,284,467
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 61","Québec",4,51,52,63,31,5,206,414
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 62","Québec",4,72,64,88,32,2,262,430
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 63","Québec",4,45,66,79,48,2,244,451
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 64","Québec",4,39,33,58,20,4,158,409
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 65","Québec",8,68,50,86,41,1,254,450
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 66","Québec",5,58,64,90,27,3,247,432
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 67","Québec",5,58,40,66,29,4,202,400
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 68","Québec",7,61,32,103,21,4,228,409
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 69","Québec",4,56,39,97,18,2,216,398
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 70","Québec",4,80,48,105,21,0,258,480
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 71","Québec",3,49,56,111,40,4,263,440
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 72","Québec",4,44,41,81,33,1,204,436
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 73","Québec",3,52,39,138,19,1,252,453
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 74","Québec",0,55,32,67,25,6,185,426
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 75","Québec",2,57,36,91,32,6,224,428
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 76A","Québec",3,38,32,61,18,5,157,408
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 76B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,54
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 77","Québec",4,43,29,65,17,3,161,338
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 78","Québec",2,45,65,81,32,2,227,418
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 79","Québec",7,71,38,89,14,2,221,369
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 80","Québec",2,55,59,94,25,3,238,448
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 81","Québec",5,59,41,91,26,7,229,412
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 82","Québec",4,50,39,83,47,2,225,363
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 83","Québec",5,35,23,56,21,3,143,380
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 84","Québec",2,39,26,63,24,6,160,343
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 85","Québec",3,62,52,52,48,3,220,347
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 86","Québec",1,44,46,72,29,3,195,334
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 87","Québec",3,46,56,58,33,0,196,352
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 88","Québec",7,77,76,83,41,5,289,433
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 89","Québec",3,65,52,67,28,0,215,369
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 90","Québec",4,64,64,113,27,2,274,439
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 91","Québec",6,59,56,63,37,4,225,387
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 92","Québec",7,85,67,68,42,1,270,442
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 93","Québec",7,59,59,74,33,3,235,417
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 94","Québec",8,61,68,81,30,1,249,431
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 95","Québec",2,61,42,71,39,7,222,423
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 96","Québec",4,44,54,48,37,7,194,419
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 97","Québec",4,68,61,87,42,9,271,485
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 98","Québec",5,67,56,64,42,1,235,421
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 99","Québec",4,37,44,40,24,1,150,303
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 100","Québec",3,41,34,34,32,2,146,313
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 101","Québec",4,32,30,59,22,2,149,367
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 102A","Québec",5,59,29,58,30,4,185,465
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 102B","Québec",4,54,34,69,27,3,191,451
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 103","Québec",1,36,33,40,14,3,127,365
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 104","Québec",3,53,20,68,19,0,163,376
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 105","Québec",0,30,31,62,28,1,152,331
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 106","Québec",6,54,46,35,39,4,184,419
