Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzanna Dieleman,Ali Hamadi,Irene Mathyssen,Matthew Peloza,Khalil Ramal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 63","London",37,1,90,6,76,3,213,459
35051,"London--Fanshawe/London--Fanshawe"," 64","London",15,4,66,8,43,0,136,353
35051,"London--Fanshawe/London--Fanshawe"," 65","London",56,3,98,9,74,2,242,489
35051,"London--Fanshawe/London--Fanshawe"," 66","London",43,2,81,4,61,4,195,437
35051,"London--Fanshawe/London--Fanshawe"," 67","London",53,0,65,1,53,0,172,410
35051,"London--Fanshawe/London--Fanshawe"," 68","London",62,0,87,8,42,0,199,376
35051,"London--Fanshawe/London--Fanshawe"," 69","London",41,2,77,7,50,3,180,406
35051,"London--Fanshawe/London--Fanshawe"," 70","London",73,2,48,0,54,0,177,334
35051,"London--Fanshawe/London--Fanshawe"," 71","London",70,2,61,3,64,0,200,350
35051,"London--Fanshawe/London--Fanshawe"," 72","London",41,0,65,4,46,0,156,287
35051,"London--Fanshawe/London--Fanshawe"," 73","London",72,1,89,9,49,1,221,385
35051,"London--Fanshawe/London--Fanshawe"," 74","London",52,0,86,3,48,0,189,415
35051,"London--Fanshawe/London--Fanshawe"," 75","London",35,0,74,4,69,1,183,425
35051,"London--Fanshawe/London--Fanshawe"," 76","London",56,0,69,3,54,3,185,399
35051,"London--Fanshawe/London--Fanshawe"," 77","London",68,2,88,8,44,0,210,380
35051,"London--Fanshawe/London--Fanshawe"," 78","London",58,1,107,6,61,0,233,404
35051,"London--Fanshawe/London--Fanshawe"," 79","London",49,1,77,8,54,2,191,412
35051,"London--Fanshawe/London--Fanshawe"," 80","London",72,1,113,10,83,3,282,482
35051,"London--Fanshawe/London--Fanshawe"," 81","London",52,1,75,7,68,2,205,369
35051,"London--Fanshawe/London--Fanshawe"," 82","London",49,1,61,1,54,1,167,303
35051,"London--Fanshawe/London--Fanshawe"," 83","London",55,3,89,6,73,0,226,443
35051,"London--Fanshawe/London--Fanshawe"," 84","London",54,3,69,4,52,1,183,496
35051,"London--Fanshawe/London--Fanshawe"," 85","London",32,1,52,15,49,1,150,366
35051,"London--Fanshawe/London--Fanshawe"," 86","London",53,1,66,5,49,3,177,347
35051,"London--Fanshawe/London--Fanshawe"," 87","London",45,2,95,9,47,2,200,366
35051,"London--Fanshawe/London--Fanshawe"," 88","London",40,0,69,5,53,0,167,366
35051,"London--Fanshawe/London--Fanshawe"," 89","London",46,0,63,11,73,2,195,404
35051,"London--Fanshawe/London--Fanshawe"," 90","London",29,0,66,4,56,2,157,417
35051,"London--Fanshawe/London--Fanshawe"," 91","London",43,0,81,6,87,2,219,443
35051,"London--Fanshawe/London--Fanshawe"," 92","London",35,1,92,11,70,4,213,455
35051,"London--Fanshawe/London--Fanshawe"," 93","London",50,3,75,14,69,1,212,457
35051,"London--Fanshawe/London--Fanshawe"," 94","London",45,1,95,3,71,0,215,442
35051,"London--Fanshawe/London--Fanshawe"," 95","London",52,0,77,13,80,1,223,435
35051,"London--Fanshawe/London--Fanshawe"," 96","London",67,3,95,10,82,2,259,460
35051,"London--Fanshawe/London--Fanshawe"," 97","London",49,2,81,13,47,0,192,429
35051,"London--Fanshawe/London--Fanshawe"," 98","London",31,0,49,10,52,1,143,354
35051,"London--Fanshawe/London--Fanshawe"," 99","London",40,2,66,7,72,2,189,366
35051,"London--Fanshawe/London--Fanshawe"," 100","London",27,0,49,6,40,1,123,343
35051,"London--Fanshawe/London--Fanshawe"," 101","London",29,1,52,6,52,1,141,435
35051,"London--Fanshawe/London--Fanshawe"," 102","London",38,0,52,2,43,1,136,305
35051,"London--Fanshawe/London--Fanshawe"," 103","London",37,0,65,3,49,1,155,299
35051,"London--Fanshawe/London--Fanshawe"," 104","London",48,1,106,15,86,4,260,532
35051,"London--Fanshawe/London--Fanshawe"," 105","London",69,1,85,3,68,0,226,393
35051,"London--Fanshawe/London--Fanshawe"," 106","London",37,1,94,3,81,0,216,443
35051,"London--Fanshawe/London--Fanshawe"," 107","London",50,2,65,3,65,0,185,415
35051,"London--Fanshawe/London--Fanshawe"," 108","London",53,1,92,7,67,1,221,387
35051,"London--Fanshawe/London--Fanshawe"," 109","London",78,1,75,10,55,3,222,381
35051,"London--Fanshawe/London--Fanshawe"," 110","London",44,1,86,9,51,1,192,456
35051,"London--Fanshawe/London--Fanshawe"," 111","London",89,1,76,9,68,0,243,431
35051,"London--Fanshawe/London--Fanshawe"," 112","London",85,5,89,8,80,4,271,460
35051,"London--Fanshawe/London--Fanshawe"," 113","London",79,2,76,2,104,0,263,439
