Province,Electors/Électeurs 2015,Electors/Électeurs 2011,Electors/Électeurs 2008,Electors/Électeurs 2006,Total Ballots Cast/Total des bulletins déposés 2015,Total Ballots Cast/Total des bulletins déposés 2011,Total Ballots Cast/Total des bulletins déposés 2008,Total Ballots Cast/Total des bulletins déposés 2006,Percentage of Voter Turnout/Pourcentage de la participation électorale 2015,Percentage of Voter Turnout/Pourcentage de la participation électorale 2011,Percentage of Voter Turnout/Pourcentage de la participation électorale 2008,Percentage of Voter Turnout/Pourcentage de la participation électorale 2006
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",421038,414779,410411,403982,257389,218166,195669,228961,61.1,52.6,47.7,56.7
"Prince Edward Island/Île-du-Prince-Édouard",113505,108456,108211,107677,87868,79511,74636,78829,77.4,73.3,69,73.2
"Nova Scotia/Nouvelle-Écosse",742931,733094,727875,750829,526069,454266,438551,479580,70.8,62,60.3,63.9
"New Brunswick/Nouveau-Brunswick",597542,592818,590984,594104,444459,392208,371586,410918,74.4,66.2,62.9,69.2
"Quebec/Québec",6393478,6130307,5954763,5852528,4303758,3853120,3671728,3737849,67.3,62.9,61.7,63.9
"Ontario",9691517,9033266,8834987,8536359,6572378,5556608,5177150,5682366,67.8,61.5,58.6,66.6
"Manitoba",887983,831041,835401,831278,603240,493340,468743,517557,67.9,59.4,56.1,62.3
"Saskatchewan",779405,723814,715291,712427,553792,456501,419600,463788,71.1,63.1,58.7,65.1
"Alberta",2842504,2509390,2433695,2322108,1937228,1400674,1274992,1436655,68.2,55.8,52.4,61.9
"British Columbia/Colombie-Britannique",3392598,3109917,2996864,2875950,2374317,1879304,1799892,1832557,70,60.4,60.1,63.7
"Yukon",26879,24341,23281,21493,20385,16124,14721,14206,75.8,66.2,63.2,66.1
"Northwest Territories/Territoires du Nord-Ouest",30110,29020,28787,28792,19077,15655,13733,16186,63.4,53.9,47.7,56.2
"Nunavut",20252,17349,17089,17088,12023,7931,8092,9251,59.4,45.7,47.4,54.1
