Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pat Martin,Scott Miller,Robert-Falcon Ouellette,Darrell Rankin,Allie Szarkiewicz,Don Woodstock,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46011,"Winnipeg Centre/Winnipeg-Centre"," 1","Winnipeg",61,2,111,1,53,12,1,241,442
46011,"Winnipeg Centre/Winnipeg-Centre"," 2","Winnipeg",30,0,89,0,22,2,2,145,392
46011,"Winnipeg Centre/Winnipeg-Centre"," 3","Winnipeg",49,0,111,0,36,5,2,203,425
46011,"Winnipeg Centre/Winnipeg-Centre"," 4","Winnipeg",45,1,95,1,35,11,0,188,403
46011,"Winnipeg Centre/Winnipeg-Centre"," 5","Winnipeg",46,1,100,1,13,5,2,168,499
46011,"Winnipeg Centre/Winnipeg-Centre"," 6","Winnipeg",50,0,98,0,25,0,2,175,393
46011,"Winnipeg Centre/Winnipeg-Centre"," 7","Winnipeg",47,1,90,2,21,6,0,167,450
46011,"Winnipeg Centre/Winnipeg-Centre"," 8","Winnipeg",48,2,97,0,28,3,3,181,386
46011,"Winnipeg Centre/Winnipeg-Centre"," 9","Winnipeg",47,1,100,0,28,2,1,179,427
46011,"Winnipeg Centre/Winnipeg-Centre"," 10","Winnipeg",52,1,91,1,36,13,2,196,373
46011,"Winnipeg Centre/Winnipeg-Centre"," 11","Winnipeg",30,0,84,0,24,5,0,143,348
46011,"Winnipeg Centre/Winnipeg-Centre"," 12","Winnipeg",42,1,83,0,27,11,2,166,384
46011,"Winnipeg Centre/Winnipeg-Centre"," 13","Winnipeg",44,1,102,0,24,8,5,184,425
46011,"Winnipeg Centre/Winnipeg-Centre"," 14","Winnipeg",49,1,143,2,48,3,0,246,479
46011,"Winnipeg Centre/Winnipeg-Centre"," 15","Winnipeg",74,1,160,0,42,8,1,286,514
46011,"Winnipeg Centre/Winnipeg-Centre"," 16","Winnipeg",43,1,150,0,26,8,1,229,426
46011,"Winnipeg Centre/Winnipeg-Centre"," 17","Winnipeg",69,1,107,0,37,6,0,220,417
46011,"Winnipeg Centre/Winnipeg-Centre"," 18","Winnipeg",34,1,94,0,45,8,1,183,370
46011,"Winnipeg Centre/Winnipeg-Centre"," 19","Winnipeg",41,2,67,0,45,9,1,165,346
46011,"Winnipeg Centre/Winnipeg-Centre"," 20","Winnipeg",31,2,82,1,52,7,1,176,362
46011,"Winnipeg Centre/Winnipeg-Centre"," 21","Winnipeg",30,1,113,3,48,8,1,204,415
46011,"Winnipeg Centre/Winnipeg-Centre"," 22","Winnipeg",27,1,119,0,54,5,1,207,398
46011,"Winnipeg Centre/Winnipeg-Centre"," 23","Winnipeg",49,0,143,1,41,13,2,249,438
46011,"Winnipeg Centre/Winnipeg-Centre"," 24","Winnipeg",57,1,122,0,33,13,1,227,406
46011,"Winnipeg Centre/Winnipeg-Centre"," 25","Winnipeg",72,0,167,0,40,14,1,294,511
46011,"Winnipeg Centre/Winnipeg-Centre"," 26","Winnipeg",55,2,97,1,30,10,2,197,422
46011,"Winnipeg Centre/Winnipeg-Centre"," 27","Winnipeg",86,2,152,2,30,11,0,283,500
46011,"Winnipeg Centre/Winnipeg-Centre"," 28","Winnipeg",30,2,78,1,24,1,1,137,268
46011,"Winnipeg Centre/Winnipeg-Centre"," 29","Winnipeg",69,4,116,0,30,2,11,232,436
46011,"Winnipeg Centre/Winnipeg-Centre"," 30","Winnipeg",61,3,103,0,42,4,5,218,454
46011,"Winnipeg Centre/Winnipeg-Centre"," 31","Winnipeg",45,1,114,1,32,8,0,201,379
46011,"Winnipeg Centre/Winnipeg-Centre"," 32","Winnipeg",45,3,141,1,27,10,2,229,403
46011,"Winnipeg Centre/Winnipeg-Centre"," 33","Winnipeg",61,4,95,3,35,29,2,229,415
46011,"Winnipeg Centre/Winnipeg-Centre"," 34","Winnipeg",62,3,106,1,24,6,7,209,461
46011,"Winnipeg Centre/Winnipeg-Centre"," 35","Winnipeg",55,3,106,1,28,15,1,209,418
46011,"Winnipeg Centre/Winnipeg-Centre"," 36","Winnipeg",63,0,122,0,29,8,3,225,439
46011,"Winnipeg Centre/Winnipeg-Centre"," 37","Winnipeg",60,5,123,0,31,14,2,235,430
46011,"Winnipeg Centre/Winnipeg-Centre"," 38","Winnipeg",53,2,133,3,17,2,2,212,453
46011,"Winnipeg Centre/Winnipeg-Centre"," 39","Winnipeg",69,3,110,0,23,16,4,225,473
46011,"Winnipeg Centre/Winnipeg-Centre"," 40","Winnipeg",65,1,124,0,24,5,2,221,415
46011,"Winnipeg Centre/Winnipeg-Centre"," 41","Winnipeg",39,0,81,1,10,4,3,138,343
46011,"Winnipeg Centre/Winnipeg-Centre"," 42","Winnipeg",46,2,97,0,26,3,3,177,391
46011,"Winnipeg Centre/Winnipeg-Centre"," 43","Winnipeg",80,1,68,0,37,5,1,192,397
46011,"Winnipeg Centre/Winnipeg-Centre"," 44","Winnipeg",50,0,109,1,19,6,0,185,509
46011,"Winnipeg Centre/Winnipeg-Centre"," 45","Winnipeg",16,1,37,0,3,2,2,61,194
46011,"Winnipeg Centre/Winnipeg-Centre"," 46","Winnipeg",41,1,77,0,13,7,0,139,363
46011,"Winnipeg Centre/Winnipeg-Centre"," 47","Winnipeg",49,1,91,0,13,1,4,159,362
46011,"Winnipeg Centre/Winnipeg-Centre"," 48","Winnipeg",55,0,83,2,13,2,1,156,363
46011,"Winnipeg Centre/Winnipeg-Centre"," 49","Winnipeg",36,1,79,1,9,0,4,130,332
46011,"Winnipeg Centre/Winnipeg-Centre"," 50","Winnipeg",44,0,80,0,19,3,0,146,343
46011,"Winnipeg Centre/Winnipeg-Centre"," 51","Winnipeg",52,1,60,0,12,3,0,128,423
46011,"Winnipeg Centre/Winnipeg-Centre"," 52","Winnipeg",31,1,63,1,7,3,1,107,370
46011,"Winnipeg Centre/Winnipeg-Centre"," 53","Winnipeg",49,5,83,2,19,8,6,172,452
46011,"Winnipeg Centre/Winnipeg-Centre"," 54","Winnipeg",21,1,101,0,18,0,0,141,386
46011,"Winnipeg Centre/Winnipeg-Centre"," 55","Winnipeg",20,0,51,0,20,2,1,94,379
46011,"Winnipeg Centre/Winnipeg-Centre"," 56","Winnipeg",14,0,62,0,23,5,1,105,195
46011,"Winnipeg Centre/Winnipeg-Centre"," 57","Winnipeg",Merged with No./Fusionné avec le n°58,,,,,,,,130
46011,"Winnipeg Centre/Winnipeg-Centre"," 58","Winnipeg",19,0,96,0,28,5,0,148,438
46011,"Winnipeg Centre/Winnipeg-Centre"," 59","Winnipeg",53,2,134,0,37,7,1,234,416
46011,"Winnipeg Centre/Winnipeg-Centre"," 60","Winnipeg",56,3,111,2,26,7,2,207,463
46011,"Winnipeg Centre/Winnipeg-Centre"," 61A","Winnipeg",39,1,103,2,12,3,1,161,334
46011,"Winnipeg Centre/Winnipeg-Centre"," 61B","Winnipeg",23,1,50,0,12,2,4,92,234
46011,"Winnipeg Centre/Winnipeg-Centre"," 62","Winnipeg",33,0,82,1,12,3,3,134,364
46011,"Winnipeg Centre/Winnipeg-Centre"," 63","Winnipeg",38,4,73,2,8,2,4,131,288
46011,"Winnipeg Centre/Winnipeg-Centre"," 64","Winnipeg",58,3,147,0,37,2,6,253,421
46011,"Winnipeg Centre/Winnipeg-Centre"," 65","Winnipeg",40,2,72,2,10,2,1,129,354
46011,"Winnipeg Centre/Winnipeg-Centre"," 66","Winnipeg",49,1,97,0,8,7,0,162,421
46011,"Winnipeg Centre/Winnipeg-Centre"," 67","Winnipeg",22,0,47,0,4,4,0,77,241
46011,"Winnipeg Centre/Winnipeg-Centre"," 68","Winnipeg",51,1,91,0,20,2,1,166,400
46011,"Winnipeg Centre/Winnipeg-Centre"," 69","Winnipeg",42,1,100,0,20,1,4,168,463
46011,"Winnipeg Centre/Winnipeg-Centre"," 70","Winnipeg",32,0,84,1,17,4,5,143,432
46011,"Winnipeg Centre/Winnipeg-Centre"," 71","Winnipeg",34,1,83,3,13,10,2,146,443
46011,"Winnipeg Centre/Winnipeg-Centre"," 72","Winnipeg",55,0,100,5,10,6,0,176,416
46011,"Winnipeg Centre/Winnipeg-Centre"," 73","Winnipeg",69,1,105,1,22,11,5,214,497
46011,"Winnipeg Centre/Winnipeg-Centre"," 74","Winnipeg",43,3,92,0,12,0,1,151,352
46011,"Winnipeg Centre/Winnipeg-Centre"," 75","Winnipeg",50,2,85,0,24,2,3,166,409
46011,"Winnipeg Centre/Winnipeg-Centre"," 76","Winnipeg",69,2,102,2,15,10,1,201,428
46011,"Winnipeg Centre/Winnipeg-Centre"," 77","Winnipeg",59,6,127,0,25,6,3,226,504
46011,"Winnipeg Centre/Winnipeg-Centre"," 78","Winnipeg",43,1,99,0,10,3,1,157,343
46011,"Winnipeg Centre/Winnipeg-Centre"," 79","Winnipeg",32,4,81,0,14,12,0,143,331
46011,"Winnipeg Centre/Winnipeg-Centre"," 80","Winnipeg",53,1,110,1,29,6,1,201,383
46011,"Winnipeg Centre/Winnipeg-Centre"," 81","Winnipeg",52,2,80,0,21,14,4,173,404
46011,"Winnipeg Centre/Winnipeg-Centre"," 82","Winnipeg",62,1,77,1,21,1,1,164,423
46011,"Winnipeg Centre/Winnipeg-Centre"," 83","Winnipeg",58,0,84,0,17,7,1,167,408
46011,"Winnipeg Centre/Winnipeg-Centre"," 84","Winnipeg",76,2,110,1,8,3,2,202,441
46011,"Winnipeg Centre/Winnipeg-Centre"," 85","Winnipeg",45,1,113,3,24,9,0,195,389
46011,"Winnipeg Centre/Winnipeg-Centre"," 86","Winnipeg",89,1,116,1,28,21,0,256,423
46011,"Winnipeg Centre/Winnipeg-Centre"," 87","Winnipeg",85,1,132,0,20,4,2,244,429
46011,"Winnipeg Centre/Winnipeg-Centre"," 88","Winnipeg",56,1,96,1,15,6,1,176,474
46011,"Winnipeg Centre/Winnipeg-Centre"," 89","Winnipeg",42,2,105,0,12,5,0,166,428
46011,"Winnipeg Centre/Winnipeg-Centre"," 90","Winnipeg",32,3,69,0,8,3,1,116,351
46011,"Winnipeg Centre/Winnipeg-Centre"," 91","Winnipeg",18,1,44,0,10,1,0,74,164
46011,"Winnipeg Centre/Winnipeg-Centre"," 92","Winnipeg",15,0,43,1,7,3,0,69,206
46011,"Winnipeg Centre/Winnipeg-Centre"," 93","Winnipeg",62,2,110,1,15,8,1,199,467
46011,"Winnipeg Centre/Winnipeg-Centre"," 94","Winnipeg",63,2,104,3,10,16,2,200,542
46011,"Winnipeg Centre/Winnipeg-Centre"," 95","Winnipeg",49,1,58,0,10,4,1,123,353
46011,"Winnipeg Centre/Winnipeg-Centre"," 96","Winnipeg",73,0,137,0,14,9,0,233,440
46011,"Winnipeg Centre/Winnipeg-Centre"," 97","Winnipeg",59,1,101,1,5,14,1,182,407
46011,"Winnipeg Centre/Winnipeg-Centre"," 98","Winnipeg",66,0,100,0,6,12,0,184,394
46011,"Winnipeg Centre/Winnipeg-Centre"," 99","Winnipeg",72,0,118,2,8,13,0,213,416
46011,"Winnipeg Centre/Winnipeg-Centre"," 100","Winnipeg",69,1,141,1,15,13,1,241,404
46011,"Winnipeg Centre/Winnipeg-Centre"," 101","Winnipeg",77,1,120,1,4,13,0,216,398
46011,"Winnipeg Centre/Winnipeg-Centre"," 102","Winnipeg",70,0,100,1,6,9,0,186,331
46011,"Winnipeg Centre/Winnipeg-Centre"," 103","Winnipeg",92,4,130,1,6,18,0,251,454
46011,"Winnipeg Centre/Winnipeg-Centre"," 104","Winnipeg",72,1,126,0,8,18,0,225,449
46011,"Winnipeg Centre/Winnipeg-Centre"," 105","Winnipeg",38,0,74,0,17,5,0,134,387
46011,"Winnipeg Centre/Winnipeg-Centre"," 106","Winnipeg",25,1,55,0,10,4,2,97,258
46011,"Winnipeg Centre/Winnipeg-Centre"," 107A","Winnipeg",37,0,94,0,29,5,0,165,314
46011,"Winnipeg Centre/Winnipeg-Centre"," 107B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°117B,,,,,,,,89
46011,"Winnipeg Centre/Winnipeg-Centre"," 108","Winnipeg",49,2,132,0,21,10,0,214,481
46011,"Winnipeg Centre/Winnipeg-Centre"," 109","Winnipeg",63,1,140,1,26,17,4,252,426
