Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katerina Androutsos,Roxanne James,Lindsay Thompson,Alex Wilson,Salma Zahid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Scarborough Centre/Scarborough-Centre"," 1","Scarborough",7,46,4,15,106,0,178,444
35094,"Scarborough Centre/Scarborough-Centre"," 2A","Scarborough",3,30,4,12,47,0,96,284
35094,"Scarborough Centre/Scarborough-Centre"," 2B","Scarborough",15,50,2,14,73,1,155,369
35094,"Scarborough Centre/Scarborough-Centre"," 3A","Scarborough",6,55,3,16,72,0,152,307
35094,"Scarborough Centre/Scarborough-Centre"," 3B","Scarborough",3,63,3,9,122,0,200,389
35094,"Scarborough Centre/Scarborough-Centre"," 4","Scarborough",Void/Supprimé,,,,,,,
35094,"Scarborough Centre/Scarborough-Centre"," 5","Scarborough",11,34,4,39,166,2,256,522
35094,"Scarborough Centre/Scarborough-Centre"," 6","Scarborough",8,40,4,51,159,4,266,456
35094,"Scarborough Centre/Scarborough-Centre"," 7","Scarborough",4,38,5,29,128,4,208,314
35094,"Scarborough Centre/Scarborough-Centre"," 8","Scarborough",10,71,3,29,129,2,244,443
35094,"Scarborough Centre/Scarborough-Centre"," 9","Scarborough",7,70,4,15,111,2,209,490
35094,"Scarborough Centre/Scarborough-Centre"," 10","Scarborough",3,71,3,19,105,2,203,492
35094,"Scarborough Centre/Scarborough-Centre"," 11","Scarborough",9,83,3,18,140,1,254,514
35094,"Scarborough Centre/Scarborough-Centre"," 12","Scarborough",8,32,0,25,103,0,168,428
35094,"Scarborough Centre/Scarborough-Centre"," 13","Scarborough",5,71,4,12,99,3,194,361
35094,"Scarborough Centre/Scarborough-Centre"," 14","Scarborough",5,99,7,31,167,0,309,535
35094,"Scarborough Centre/Scarborough-Centre"," 15","Scarborough",5,77,3,42,110,0,237,467
35094,"Scarborough Centre/Scarborough-Centre"," 16A","Scarborough",5,68,4,14,66,1,158,317
35094,"Scarborough Centre/Scarborough-Centre"," 16B","Scarborough",3,58,2,14,51,0,128,268
35094,"Scarborough Centre/Scarborough-Centre"," 17","Scarborough",10,80,8,29,115,2,244,461
35094,"Scarborough Centre/Scarborough-Centre"," 18","Scarborough",8,92,5,21,125,4,255,450
35094,"Scarborough Centre/Scarborough-Centre"," 19","Scarborough",8,86,5,37,118,4,258,464
35094,"Scarborough Centre/Scarborough-Centre"," 20","Scarborough",1,88,5,33,103,2,232,464
35094,"Scarborough Centre/Scarborough-Centre"," 21","Scarborough",3,63,3,25,80,0,174,348
35094,"Scarborough Centre/Scarborough-Centre"," 22","Scarborough",8,47,8,23,83,4,173,355
35094,"Scarborough Centre/Scarborough-Centre"," 23","Scarborough",1,83,7,20,86,3,200,400
35094,"Scarborough Centre/Scarborough-Centre"," 24","Scarborough",2,65,8,31,89,1,196,399
35094,"Scarborough Centre/Scarborough-Centre"," 25","Scarborough",4,64,5,21,100,2,196,420
35094,"Scarborough Centre/Scarborough-Centre"," 26A","Scarborough",3,40,5,9,96,1,154,354
35094,"Scarborough Centre/Scarborough-Centre"," 26B","Scarborough",6,43,1,5,81,0,136,350
35094,"Scarborough Centre/Scarborough-Centre"," 27","Scarborough",4,76,13,24,82,0,199,352
35094,"Scarborough Centre/Scarborough-Centre"," 28","Scarborough",3,66,5,25,80,0,179,447
35094,"Scarborough Centre/Scarborough-Centre"," 29","Scarborough",10,95,5,30,106,3,249,443
35094,"Scarborough Centre/Scarborough-Centre"," 30","Scarborough",7,95,5,23,130,1,261,462
35094,"Scarborough Centre/Scarborough-Centre"," 31","Scarborough",8,84,4,18,111,3,228,397
35094,"Scarborough Centre/Scarborough-Centre"," 32","Scarborough",7,126,7,33,114,2,289,474
35094,"Scarborough Centre/Scarborough-Centre"," 33","Scarborough",4,82,5,17,108,1,217,397
35094,"Scarborough Centre/Scarborough-Centre"," 34A","Scarborough",5,58,4,21,85,1,174,413
35094,"Scarborough Centre/Scarborough-Centre"," 34B","Scarborough",5,58,2,12,68,2,147,209
35094,"Scarborough Centre/Scarborough-Centre"," 35","Scarborough",10,48,3,24,79,0,164,361
35094,"Scarborough Centre/Scarborough-Centre"," 36","Scarborough",3,56,3,21,75,0,158,380
35094,"Scarborough Centre/Scarborough-Centre"," 37","Scarborough",4,67,6,36,121,1,235,454
35094,"Scarborough Centre/Scarborough-Centre"," 38","Scarborough",8,44,3,20,66,1,142,376
35094,"Scarborough Centre/Scarborough-Centre"," 39","Scarborough",6,49,3,16,94,3,171,358
35094,"Scarborough Centre/Scarborough-Centre"," 40","Scarborough",9,70,3,15,84,1,182,362
35094,"Scarborough Centre/Scarborough-Centre"," 41","Scarborough",13,42,1,18,95,4,173,485
35094,"Scarborough Centre/Scarborough-Centre"," 42","Scarborough",4,101,6,37,128,3,279,542
35094,"Scarborough Centre/Scarborough-Centre"," 43","Scarborough",7,57,1,26,86,4,181,354
35094,"Scarborough Centre/Scarborough-Centre"," 44","Scarborough",6,108,5,22,94,2,237,383
35094,"Scarborough Centre/Scarborough-Centre"," 45","Scarborough",3,106,3,18,91,0,221,435
35094,"Scarborough Centre/Scarborough-Centre"," 46","Scarborough",5,76,3,21,118,1,224,455
35094,"Scarborough Centre/Scarborough-Centre"," 47","Scarborough",8,66,3,26,134,2,239,506
35094,"Scarborough Centre/Scarborough-Centre"," 48","Scarborough",6,50,4,31,130,0,221,490
35094,"Scarborough Centre/Scarborough-Centre"," 49","Scarborough",13,52,7,31,123,4,230,495
35094,"Scarborough Centre/Scarborough-Centre"," 50","Scarborough",5,67,2,25,99,1,199,389
35094,"Scarborough Centre/Scarborough-Centre"," 51","Scarborough",4,42,1,21,108,0,176,342
