Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Bourgeois,François Choquette,Émile Coderre,Pierre Côté,Pascale Déry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Drummond/Drummond"," 1","Sainte-Brigitte-des-Saults",30,48,1,39,34,6,158,279
24025,"Drummond/Drummond"," 2","Sainte-Brigitte-des-Saults",37,76,8,51,43,5,220,310
24025,"Drummond/Drummond"," 3","Notre-Dame-du-Bon-Conseil",58,62,8,51,51,7,237,417
24025,"Drummond/Drummond"," 4","Notre-Dame-du-Bon-Conseil",23,34,6,41,29,3,136,258
24025,"Drummond/Drummond"," 5","Notre-Dame-du-Bon-Conseil",45,48,3,46,32,8,182,340
24025,"Drummond/Drummond"," 6","Notre-Dame-du-Bon-Conseil",44,63,3,52,48,3,213,399
24025,"Drummond/Drummond"," 7","Notre-Dame-du-Bon-Conseil",42,63,7,54,49,5,220,446
24025,"Drummond/Drummond"," 8","Saint-Cyrille-de-Wendover",46,67,6,54,38,5,216,357
24025,"Drummond/Drummond"," 9","Saint-Cyrille-de-Wendover",56,87,4,63,47,13,270,492
24025,"Drummond/Drummond"," 10","Saint-Cyrille-de-Wendover",48,58,5,65,42,5,223,358
24025,"Drummond/Drummond"," 11","Saint-Cyrille-de-Wendover",55,56,1,68,45,4,229,398
24025,"Drummond/Drummond"," 12","Saint-Cyrille-de-Wendover",51,30,2,49,34,5,171,331
24025,"Drummond/Drummond"," 13","Saint-Cyrille-de-Wendover",43,51,8,55,28,3,188,321
24025,"Drummond/Drummond"," 14","Saint-Cyrille-de-Wendover",49,69,4,51,45,10,228,356
24025,"Drummond/Drummond"," 15","Saint-Cyrille-de-Wendover",43,61,6,76,35,12,233,375
24025,"Drummond/Drummond"," 16","Saint-Cyrille-de-Wendover",56,99,3,59,62,8,287,488
24025,"Drummond/Drummond"," 17","Saint-Joachim-de-Courval",47,47,3,27,24,0,148,315
24025,"Drummond/Drummond"," 18","Saint-Joachim-de-Courval",32,41,3,28,20,1,125,257
24025,"Drummond/Drummond"," 19","Saint-Bonaventure",91,68,14,60,57,3,293,438
24025,"Drummond/Drummond"," 20","Saint-Bonaventure",83,72,8,47,49,5,264,370
24025,"Drummond/Drummond"," 21","Saint-Pie-de-Guire",77,56,6,39,42,3,223,342
24025,"Drummond/Drummond"," 22","Saint-Majorique",45,49,4,49,48,0,195,313
24025,"Drummond/Drummond"," 23","Saint-Majorique",49,58,4,54,54,7,226,361
24025,"Drummond/Drummond"," 24","Saint-Majorique",45,54,4,42,37,2,184,332
24025,"Drummond/Drummond"," 25","Drummondville",33,66,5,87,34,5,230,363
24025,"Drummond/Drummond"," 26","Drummondville",62,62,5,79,40,5,253,421
24025,"Drummond/Drummond"," 27","Drummondville",51,58,1,42,34,4,190,369
24025,"Drummond/Drummond"," 28","Drummondville",53,56,7,78,32,6,232,448
24025,"Drummond/Drummond"," 29","Drummondville",43,71,4,61,47,5,231,397
24025,"Drummond/Drummond"," 30","Drummondville",40,57,8,64,47,3,219,385
24025,"Drummond/Drummond"," 31","Drummondville",25,65,2,67,62,4,225,414
24025,"Drummond/Drummond"," 32","Drummondville",49,61,2,59,67,5,243,444
24025,"Drummond/Drummond"," 33","Drummondville",47,67,6,70,36,5,231,435
24025,"Drummond/Drummond"," 34","Drummondville",40,83,4,46,29,5,207,408
