Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jonathan Beauchamp,Chantal Crête,Maxime Hupé-Labelle,Audrey Lamarche,Stéphane Lauzon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 1","Saint-Adolphe-d'Howard",70,52,8,4,58,4,196,430
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 2","Saint-Adolphe-d'Howard",21,25,11,1,59,1,118,256
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 3","Saint-Adolphe-d'Howard",43,33,8,2,43,3,132,296
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 4","Saint-Adolphe-d'Howard",50,42,10,4,65,0,171,371
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 5","Saint-Adolphe-d'Howard",39,18,7,5,44,1,114,307
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 6","Saint-Adolphe-d'Howard",56,43,12,5,64,2,182,390
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 7","Saint-Adolphe-d'Howard",44,33,13,3,63,0,156,383
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 8","Saint-Adolphe-d'Howard",21,33,13,7,42,1,117,307
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 9","Saint-Adolphe-d'Howard",37,26,8,3,42,0,116,340
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 10","Morin-Heights",29,38,19,7,67,0,160,350
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 11","Morin-Heights",24,41,5,3,85,2,160,371
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 12","Morin-Heights",48,61,18,2,89,1,219,433
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 13","Morin-Heights",32,41,14,6,56,0,149,310
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 14","Morin-Heights",30,40,18,7,75,1,171,385
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 15","Morin-Heights",31,43,12,6,84,1,177,352
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 16","Morin-Heights",16,36,13,1,49,1,116,255
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 17","Morin-Heights",27,34,25,1,101,1,189,360
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 18","Morin-Heights",29,43,9,4,52,2,139,322
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 19","Morin-Heights",22,49,15,6,80,1,173,379
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 20","Montfort",31,27,13,6,62,0,139,323
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 21A","Lac-des-Seize-Îles",26,16,4,2,40,1,89,123
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 21B","Saint-Michel-de-Wentworth",Merged with No./Fusionné avec le n°149A,,,,,,,188
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 22","Lac-des-Seize-Îles",41,30,9,4,41,3,128,345
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 23","Harrington (Lost River)",7,18,25,5,115,0,170,265
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 24","Harrington (Lost River)",25,24,26,2,61,1,139,224
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 25","Harrington",18,22,32,5,66,1,144,231
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 26","Grenville sur la Rouge",11,21,43,6,57,2,140,280
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 27","Boileau",26,32,23,1,52,2,136,265
