Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Celina Caesar-Chavannes,Craig Cameron,Ryan Kelly,Jon O'Connor,Pat Perkins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Whitby/Whitby"," 1","Whitby",86,9,30,2,125,1,253,441
35114,"Whitby/Whitby"," 2","Whitby",113,13,13,1,121,1,262,464
35114,"Whitby/Whitby"," 3","Whitby",55,9,20,1,108,0,193,376
35114,"Whitby/Whitby"," 4","Whitby",88,6,19,1,201,0,315,534
35114,"Whitby/Whitby"," 5","Whitby",111,1,25,4,155,1,297,534
35114,"Whitby/Whitby"," 6","Whitby",142,8,30,1,146,1,328,506
35114,"Whitby/Whitby"," 7","Whitby",102,6,22,1,126,2,259,451
35114,"Whitby/Whitby"," 8","Whitby",101,7,19,1,160,3,291,471
35114,"Whitby/Whitby"," 9","Whitby",122,6,21,1,132,1,283,482
35114,"Whitby/Whitby"," 10","Whitby",99,2,24,1,149,0,275,440
35114,"Whitby/Whitby"," 11","Whitby",136,2,29,0,141,1,309,473
35114,"Whitby/Whitby"," 12","Whitby",121,6,24,0,151,0,302,517
35114,"Whitby/Whitby"," 13A","Whitby",71,3,23,0,103,0,200,309
35114,"Whitby/Whitby"," 13B","Whitby",57,5,15,1,99,0,177,273
35114,"Whitby/Whitby"," 14","Whitby",97,9,27,2,124,1,260,399
35114,"Whitby/Whitby"," 15","Whitby",122,10,28,0,176,1,337,548
35114,"Whitby/Whitby"," 16","Whitby",119,3,15,3,168,1,309,451
35114,"Whitby/Whitby"," 17","Whitby",99,7,14,1,138,1,260,444
35114,"Whitby/Whitby"," 18","Whitby",134,0,33,0,151,0,318,547
35114,"Whitby/Whitby"," 19","Whitby",103,3,17,0,115,0,238,411
35114,"Whitby/Whitby"," 20","Whitby",96,5,23,1,152,1,278,453
35114,"Whitby/Whitby"," 21","Whitby",77,2,21,2,127,0,229,366
35114,"Whitby/Whitby"," 22","Whitby",99,10,17,1,125,1,253,446
35114,"Whitby/Whitby"," 23","Whitby",143,7,38,0,127,0,315,531
35114,"Whitby/Whitby"," 24","Whitby",80,5,18,0,133,0,236,394
35114,"Whitby/Whitby"," 25","Whitby",94,5,18,1,148,1,267,436
35114,"Whitby/Whitby"," 26","Whitby",105,3,30,0,113,0,251,451
35114,"Whitby/Whitby"," 27","Whitby",83,9,15,0,85,0,192,381
35114,"Whitby/Whitby"," 28","Whitby",82,7,16,2,89,2,198,416
35114,"Whitby/Whitby"," 29","Whitby",84,4,25,0,96,1,210,397
35114,"Whitby/Whitby"," 30","Whitby",110,4,18,2,114,0,248,546
35114,"Whitby/Whitby"," 31","Whitby",86,7,29,1,92,0,215,412
35114,"Whitby/Whitby"," 32","Whitby",79,12,19,1,131,0,242,425
35114,"Whitby/Whitby"," 33","Whitby",124,4,27,0,145,2,302,497
35114,"Whitby/Whitby"," 34","Whitby",72,2,19,2,105,1,201,369
35114,"Whitby/Whitby"," 35","Whitby",67,4,11,0,82,2,166,349
35114,"Whitby/Whitby"," 36","Whitby",133,3,28,0,102,0,266,515
35114,"Whitby/Whitby"," 37","Whitby",155,4,28,2,71,0,260,465
35114,"Whitby/Whitby"," 38","Whitby",124,4,28,0,130,2,288,510
35114,"Whitby/Whitby"," 39","Whitby",125,4,17,1,117,2,266,450
35114,"Whitby/Whitby"," 40","Whitby",108,1,21,1,101,0,232,426
35114,"Whitby/Whitby"," 41A","Whitby",100,5,12,2,42,2,163,278
35114,"Whitby/Whitby"," 41B","Whitby",86,4,14,0,52,0,156,301
35114,"Whitby/Whitby"," 42","Whitby",131,6,32,0,96,1,266,529
35114,"Whitby/Whitby"," 43A","Whitby",90,7,5,0,55,1,158,295
35114,"Whitby/Whitby"," 43B","Whitby",54,6,13,0,71,1,145,296
35114,"Whitby/Whitby"," 44","Whitby",126,6,30,0,97,0,259,462
35114,"Whitby/Whitby"," 45A","Whitby",74,1,10,0,65,1,151,284
35114,"Whitby/Whitby"," 45B","Whitby",76,0,18,0,55,1,150,300
35114,"Whitby/Whitby"," 46","Whitby",138,4,17,1,124,2,286,555
35114,"Whitby/Whitby"," 47","Whitby",81,1,23,1,60,2,168,373
35114,"Whitby/Whitby"," 48","Whitby",76,2,14,0,86,0,178,333
35114,"Whitby/Whitby"," 49","Whitby",140,3,24,0,106,0,273,520
35114,"Whitby/Whitby"," 50","Whitby",119,1,18,0,102,0,240,462
35114,"Whitby/Whitby"," 51","Whitby",138,5,26,0,138,2,309,510
35114,"Whitby/Whitby"," 52","Whitby",120,3,29,1,95,1,249,491
35114,"Whitby/Whitby"," 53","Whitby",126,6,26,1,86,0,245,393
35114,"Whitby/Whitby"," 54","Whitby",99,2,21,0,65,3,190,357
35114,"Whitby/Whitby"," 55","Whitby",141,7,28,3,110,1,290,497
35114,"Whitby/Whitby"," 56","Whitby",129,8,32,0,82,0,251,530
35114,"Whitby/Whitby"," 57A","Whitby",85,4,20,1,71,0,181,379
35114,"Whitby/Whitby"," 57B","Whitby",16,1,3,0,15,0,35,137
35114,"Whitby/Whitby"," 58","Whitby",113,1,33,2,76,2,227,489
35114,"Whitby/Whitby"," 59","Whitby",77,4,15,2,77,2,177,298
35114,"Whitby/Whitby"," 60","Whitby",92,1,25,0,59,1,178,399
35114,"Whitby/Whitby"," 61","Whitby",136,1,23,1,89,2,252,460
35114,"Whitby/Whitby"," 62","Whitby",150,2,21,0,118,2,293,539
35114,"Whitby/Whitby"," 63","Whitby",127,5,23,0,110,1,266,483
35114,"Whitby/Whitby"," 64","Whitby",91,2,24,1,66,2,186,361
35114,"Whitby/Whitby"," 65","Whitby",92,2,28,2,61,0,185,384
35114,"Whitby/Whitby"," 66","Whitby",96,4,27,0,98,1,226,425
35114,"Whitby/Whitby"," 67","Whitby",108,2,23,2,101,1,237,420
35114,"Whitby/Whitby"," 68","Whitby",104,6,45,3,130,0,288,444
35114,"Whitby/Whitby"," 69","Whitby",109,6,40,0,114,0,269,452
35114,"Whitby/Whitby"," 70","Whitby",127,4,26,2,119,2,280,440
35114,"Whitby/Whitby"," 71","Whitby",113,7,31,0,115,0,266,433
35114,"Whitby/Whitby"," 72","Whitby",108,3,24,1,84,0,220,376
35114,"Whitby/Whitby"," 73","Whitby",89,4,19,3,107,1,223,420
35114,"Whitby/Whitby"," 74","Whitby",122,3,32,1,91,2,251,435
35114,"Whitby/Whitby"," 75A","Whitby",102,7,31,1,72,0,213,375
35114,"Whitby/Whitby"," 75B","Whitby",79,5,24,1,95,0,204,365
35114,"Whitby/Whitby"," 76","Whitby",116,6,21,2,126,2,273,470
35114,"Whitby/Whitby"," 77","Whitby",117,9,25,1,98,0,250,401
35114,"Whitby/Whitby"," 78","Whitby",92,3,27,0,99,1,222,425
35114,"Whitby/Whitby"," 79","Whitby",110,6,19,0,138,1,274,458
35114,"Whitby/Whitby"," 80A","Whitby",82,5,17,0,75,1,180,289
35114,"Whitby/Whitby"," 80B","Whitby",49,3,13,0,86,1,152,206
35114,"Whitby/Whitby"," 81","Whitby",120,8,37,1,135,1,302,460
35114,"Whitby/Whitby"," 82","Whitby",65,2,15,1,65,1,149,284
35114,"Whitby/Whitby"," 83","Whitby",76,5,9,0,79,0,169,290
35114,"Whitby/Whitby"," 84","Whitby",93,5,23,0,68,1,190,335
35114,"Whitby/Whitby"," 85","Whitby",114,6,20,1,115,0,256,452
35114,"Whitby/Whitby"," 86","Whitby",106,7,14,0,112,0,239,437
35114,"Whitby/Whitby"," 87","Whitby",110,1,20,0,125,1,257,448
35114,"Whitby/Whitby"," 88A","Whitby",68,0,17,0,70,0,155,284
35114,"Whitby/Whitby"," 88B","Whitby",64,0,13,1,71,0,149,281
35114,"Whitby/Whitby"," 89","Whitby",97,2,22,1,95,1,218,393
35114,"Whitby/Whitby"," 90","Whitby",104,3,22,0,86,1,216,385
35114,"Whitby/Whitby"," 91","Whitby",85,5,13,1,102,1,207,413
35114,"Whitby/Whitby"," 92","Whitby",122,7,12,1,132,1,275,454
35114,"Whitby/Whitby"," 93","Whitby",144,1,13,0,123,0,281,507
35114,"Whitby/Whitby"," 94","Whitby",103,3,15,2,122,4,249,454
35114,"Whitby/Whitby"," 95","Whitby",135,10,17,0,122,0,284,522
35114,"Whitby/Whitby"," 96","Whitby",103,3,15,0,94,5,220,320
35114,"Whitby/Whitby"," 97","Whitby",163,7,28,3,83,0,284,411
35114,"Whitby/Whitby"," 98","Whitby",134,9,32,0,129,0,304,547
