Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Easter,Leah-Jane Hayward,Lynne Lund,Stephen Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11004,"Malpeque/Malpeque"," 1","Cavendish",218,31,14,43,1,307,419
11004,"Malpeque/Malpeque"," 2","North Rustico",157,28,8,42,0,235,332
11004,"Malpeque/Malpeque"," 3","Brackley Beach",129,31,17,35,1,213,364
11004,"Malpeque/Malpeque"," 4","Brackley Point",162,30,17,34,0,243,426
11004,"Malpeque/Malpeque"," 5","Stanhope Beach",177,40,9,54,1,281,450
11004,"Malpeque/Malpeque"," 6","Covehead Road",224,41,18,49,1,333,590
11004,"Malpeque/Malpeque"," 7","Harrington",119,43,13,23,1,199,432
11004,"Malpeque/Malpeque"," 8","Suffolk",185,34,12,32,1,264,480
11004,"Malpeque/Malpeque"," 9","Union",103,31,9,44,0,187,356
11004,"Malpeque/Malpeque"," 10","Marshfield",105,15,9,25,1,155,290
11004,"Malpeque/Malpeque"," 11","North Winsloe",123,35,17,39,1,215,391
11004,"Malpeque/Malpeque"," 12","Royalty Junction",53,14,6,18,0,91,155
11004,"Malpeque/Malpeque"," 13","Oyster Bed Bridge",180,28,10,39,1,258,418
11004,"Malpeque/Malpeque"," 14","Winsloe",106,16,12,35,2,171,297
11004,"Malpeque/Malpeque"," 15","Springvale",150,25,18,45,0,238,389
11004,"Malpeque/Malpeque"," 16","South Rustico",144,24,19,49,2,238,396
11004,"Malpeque/Malpeque"," 17","Wheatley River",133,35,17,42,0,227,456
11004,"Malpeque/Malpeque"," 18","St. Anns",129,19,22,42,0,212,421
11004,"Malpeque/Malpeque"," 19","Hunter River",138,20,18,39,1,216,408
11004,"Malpeque/Malpeque"," 20","Stanley Bridge",183,21,22,40,1,267,474
11004,"Malpeque/Malpeque"," 21","Irishtown",133,19,20,29,1,202,403
11004,"Malpeque/Malpeque"," 22","Baltic",145,17,35,47,2,246,410
11004,"Malpeque/Malpeque"," 23","Indian River",135,13,21,40,2,211,367
11004,"Malpeque/Malpeque"," 24","Southwest River",110,24,22,32,2,190,342
11004,"Malpeque/Malpeque"," 25","Clermont",126,31,29,21,1,208,431
11004,"Malpeque/Malpeque"," 26","Kensington",89,20,15,11,1,136,386
11004,"Malpeque/Malpeque"," 27","Kelvin Grove North",119,18,36,41,1,215,504
11004,"Malpeque/Malpeque"," 28","New Annan",88,19,16,31,0,154,331
11004,"Malpeque/Malpeque"," 29","Kensington",114,14,24,31,5,188,455
11004,"Malpeque/Malpeque"," 30","Travellers Rest",152,34,18,39,1,244,481
11004,"Malpeque/Malpeque"," 31","Founds Mills",159,22,27,50,0,258,410
11004,"Malpeque/Malpeque"," 32","Clinton ",97,12,24,22,0,155,269
11004,"Malpeque/Malpeque"," 33","Mill Valley",146,19,11,47,2,225,397
11004,"Malpeque/Malpeque"," 34","North Bedeque",175,29,11,51,1,267,443
11004,"Malpeque/Malpeque"," 35","Breadalbane",148,18,30,44,0,240,381
11004,"Malpeque/Malpeque"," 36","Fredericton",110,29,21,23,0,183,348
11004,"Malpeque/Malpeque"," 37","Darlington",109,11,14,40,1,175,389
11004,"Malpeque/Malpeque"," 38","Hampshire",91,19,20,49,0,179,312
11004,"Malpeque/Malpeque"," 39","Warren Grove",109,20,18,11,0,158,281
11004,"Malpeque/Malpeque"," 40","Milton Station",133,33,13,37,0,216,355
11004,"Malpeque/Malpeque"," 41","East Wiltshire",105,27,10,23,0,165,359
11004,"Malpeque/Malpeque"," 42","Cornwall",109,23,26,32,0,190,387
11004,"Malpeque/Malpeque"," 43","Cornwall",110,35,26,50,0,221,468
11004,"Malpeque/Malpeque"," 44","Chateau Estates",103,21,17,22,0,163,366
11004,"Malpeque/Malpeque"," 45","Candlelight Park",119,24,21,36,0,200,346
11004,"Malpeque/Malpeque"," 46","Elliot Park",171,43,23,44,1,282,583
11004,"Malpeque/Malpeque"," 47","York Point",86,13,12,25,0,136,266
11004,"Malpeque/Malpeque"," 48","Primrose Point",159,37,14,37,0,247,500
11004,"Malpeque/Malpeque"," 49","Cornwall",99,25,17,29,0,170,397
11004,"Malpeque/Malpeque"," 50","Cornwall",96,27,11,23,0,157,336
11004,"Malpeque/Malpeque"," 51","Hyde Point",117,30,14,43,0,204,424
11004,"Malpeque/Malpeque"," 52","Kingston",99,32,29,32,0,192,390
11004,"Malpeque/Malpeque"," 53","Stathgartney",126,26,30,41,0,223,400
11004,"Malpeque/Malpeque"," 54","Emyvale",168,21,39,44,1,273,510
11004,"Malpeque/Malpeque"," 55","Green Bay",158,28,28,40,1,255,477
11004,"Malpeque/Malpeque"," 56","Maplewood",126,22,39,33,0,220,414
11004,"Malpeque/Malpeque"," 57","Victoria",158,21,34,36,1,250,409
11004,"Malpeque/Malpeque"," 58","Kinkora",158,20,8,25,2,213,387
11004,"Malpeque/Malpeque"," 59","Maple Plains",101,17,18,38,1,175,364
11004,"Malpeque/Malpeque"," 60","South Freetown",153,14,18,30,2,217,360
11004,"Malpeque/Malpeque"," 61","Central Bedeque",127,26,22,51,0,226,367
11004,"Malpeque/Malpeque"," 62","Lower Bedeque",179,25,29,48,0,281,460
11004,"Malpeque/Malpeque"," 63","Cape Traverse",138,18,23,41,0,220,381
11004,"Malpeque/Malpeque"," 64","North Carleton",160,20,20,36,1,237,404
11004,"Malpeque/Malpeque"," 65","Borden-Carleton",115,16,15,50,0,196,323
11004,"Malpeque/Malpeque"," 66","Tryon",149,11,22,42,2,226,378
11004,"Malpeque/Malpeque"," 67","Argyle Shore",143,22,37,54,3,259,478
11004,"Malpeque/Malpeque"," 68","South Melville",107,24,52,44,0,227,390
11004,"Malpeque/Malpeque"," 69","Rocky Point",168,29,39,43,1,280,532
11004,"Malpeque/Malpeque"," 70","New Dominion",157,24,27,50,0,258,469
11004,"Malpeque/Malpeque"," 71","Rice Point",209,23,31,46,0,309,468
11004,"Malpeque/Malpeque"," 500","Mobile poll/Bureau itinérant",26,5,0,14,1,46,82
11004,"Malpeque/Malpeque"," 501","Mobile poll/Bureau itinérant",32,3,3,22,3,63,94
11004,"Malpeque/Malpeque"," 600","Kensington East",436,51,77,127,7,698,
11004,"Malpeque/Malpeque"," 601","Hunter River",499,111,62,162,2,836,
11004,"Malpeque/Malpeque"," 602","Brackley",593,115,52,146,4,910,
11004,"Malpeque/Malpeque"," 603","Kensington West",424,91,65,160,1,741,
