Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Levy Abad,Kevin Lamoureux,John Redekopp,Harpreet Turka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 1A","Winnipeg",25,188,3,24,2,242,522
46012,"Winnipeg North/Winnipeg-Nord"," 1B","Winnipeg",21,176,0,23,1,221,483
46012,"Winnipeg North/Winnipeg-Nord"," 2","Winnipeg",14,242,1,51,2,310,613
46012,"Winnipeg North/Winnipeg-Nord"," 3","Winnipeg",10,194,1,25,0,230,455
46012,"Winnipeg North/Winnipeg-Nord"," 4","Winnipeg",7,142,1,26,4,180,410
46012,"Winnipeg North/Winnipeg-Nord"," 5","Winnipeg",17,149,2,33,2,203,470
46012,"Winnipeg North/Winnipeg-Nord"," 6","Winnipeg",10,175,2,45,4,236,466
46012,"Winnipeg North/Winnipeg-Nord"," 7","Winnipeg",23,189,3,50,3,268,537
46012,"Winnipeg North/Winnipeg-Nord"," 8","Winnipeg",10,255,3,41,0,309,615
46012,"Winnipeg North/Winnipeg-Nord"," 9","Winnipeg",13,218,5,34,1,271,519
46012,"Winnipeg North/Winnipeg-Nord"," 10","Winnipeg",8,98,0,15,1,122,251
46012,"Winnipeg North/Winnipeg-Nord"," 11","Winnipeg",9,143,3,28,2,185,337
46012,"Winnipeg North/Winnipeg-Nord"," 12","Winnipeg",32,185,7,28,3,255,447
46012,"Winnipeg North/Winnipeg-Nord"," 13","Winnipeg",20,196,5,38,1,260,445
46012,"Winnipeg North/Winnipeg-Nord"," 14","Winnipeg",19,157,2,52,4,234,414
46012,"Winnipeg North/Winnipeg-Nord"," 15","Winnipeg",23,141,8,25,1,198,377
46012,"Winnipeg North/Winnipeg-Nord"," 16","Winnipeg",19,155,1,31,0,206,441
46012,"Winnipeg North/Winnipeg-Nord"," 17","Winnipeg",14,205,4,23,1,247,434
46012,"Winnipeg North/Winnipeg-Nord"," 18","Winnipeg",25,161,5,36,1,228,417
46012,"Winnipeg North/Winnipeg-Nord"," 19","Winnipeg",31,156,2,35,3,227,414
46012,"Winnipeg North/Winnipeg-Nord"," 20","Winnipeg",15,174,4,31,1,225,431
46012,"Winnipeg North/Winnipeg-Nord"," 21","Winnipeg",7,147,4,47,0,205,349
46012,"Winnipeg North/Winnipeg-Nord"," 22","Winnipeg",10,121,2,31,2,166,301
46012,"Winnipeg North/Winnipeg-Nord"," 23","Winnipeg",14,144,2,33,0,193,365
46012,"Winnipeg North/Winnipeg-Nord"," 24","Winnipeg",19,189,2,43,2,255,451
46012,"Winnipeg North/Winnipeg-Nord"," 25","Winnipeg",26,137,7,48,0,218,433
46012,"Winnipeg North/Winnipeg-Nord"," 26","Winnipeg",27,168,4,28,1,228,426
46012,"Winnipeg North/Winnipeg-Nord"," 27","Winnipeg",23,164,3,48,0,238,428
