Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Ariana Burgener,Eric Guerbilsky,Sven Spengemann,Dagmar Sullivan,Paul Woodworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 34","Mississauga",84,4,18,84,0,1,0,191,396
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 35","Mississauga",74,3,24,145,1,1,2,250,431
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 36","Mississauga",38,1,12,71,0,1,1,124,371
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 37","Mississauga",133,4,13,115,0,1,1,267,432
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 38","Mississauga",72,0,23,137,0,2,1,235,389
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 39","Mississauga",55,4,11,96,0,2,0,168,460
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 40","Mississauga",76,2,32,113,1,1,1,226,487
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 40-1","Mississauga",79,8,10,96,1,3,0,197,469
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 41","Mississauga",Void/Supprimé,,,,,,,,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 42","Mississauga",Void/Supprimé,,,,,,,,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 43A","Mississauga",41,2,11,84,0,2,0,140,301
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 43B","Mississauga",39,0,10,62,0,0,0,111,218
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 44","Mississauga",57,2,20,89,1,4,3,176,410
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 45","Mississauga",94,4,17,106,0,3,2,226,427
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 46","Mississauga",89,5,5,73,0,0,1,173,299
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 47","Mississauga",102,8,12,65,1,0,0,188,303
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 48","Mississauga",66,4,8,68,1,0,0,147,319
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 49","Mississauga",114,16,14,111,1,0,0,256,436
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 50","Mississauga",83,13,22,127,0,2,1,248,453
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 51","Mississauga",104,4,9,136,0,3,0,256,444
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 52","Mississauga",Void/Supprimé,,,,,,,,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 53","Mississauga",66,2,26,64,0,3,0,161,385
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 54","Mississauga",61,5,25,106,0,4,1,202,472
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 55","Mississauga",85,14,27,120,0,1,2,249,451
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 56","Mississauga",75,1,18,98,0,1,1,194,459
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 57","Mississauga",53,4,14,50,2,3,1,127,414
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 58","Mississauga",72,6,42,74,0,1,0,195,401
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 59","Mississauga",58,4,26,73,0,2,0,163,341
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 60","Mississauga",77,2,17,75,0,2,1,174,388
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 61","Mississauga",55,1,18,97,2,1,0,174,420
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 62","Mississauga",57,2,18,98,0,1,1,177,435
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 63","Mississauga",46,6,14,76,1,1,0,144,375
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 64","Mississauga",98,11,13,123,0,0,0,245,440
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 65","Mississauga",64,5,16,107,1,0,0,193,376
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 66","Mississauga",56,13,20,106,0,2,0,197,409
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 67","Mississauga",70,2,9,78,0,0,1,160,282
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 68","Mississauga",72,4,8,92,1,2,0,179,371
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 69","Mississauga",97,10,12,120,0,0,0,239,451
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 70","Mississauga",57,4,31,98,1,2,2,195,448
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 71A","Mississauga",38,6,14,74,1,1,0,134,292
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 71B","Mississauga",33,5,13,40,0,2,0,93,230
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 72A","Mississauga",23,3,10,61,0,0,1,98,282
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 72B","Mississauga",16,1,6,36,1,0,0,60,234
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 73","Mississauga",52,8,26,106,0,2,1,195,470
