Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Ariana Burgener,Eric Guerbilsky,Sven Spengemann,Dagmar Sullivan,Paul Woodworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 406","Mississauga",89,3,21,102,0,2,1,218,357
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 407","Mississauga",61,5,13,109,0,2,0,190,278
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 408","Mississauga",45,2,6,60,2,0,1,116,152
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 409","Mississauga",63,3,28,77,1,0,1,173,364
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 410","Mississauga",41,6,19,80,3,1,0,150,335
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 411","Mississauga",24,0,12,60,0,0,2,98,229
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 412","Mississauga",44,1,10,56,0,2,0,113,260
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 413","Mississauga",54,3,31,70,1,0,0,159,267
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 414","Mississauga",36,2,12,60,1,1,1,113,260
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 415","Mississauga",30,2,17,45,0,0,0,94,241
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 416","Mississauga",39,5,14,63,0,0,0,121,198
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 417","Mississauga",54,2,12,65,0,0,0,133,340
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 418","Mississauga",75,8,18,108,1,4,1,215,313
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 419","Mississauga",33,1,3,26,1,1,1,66,92
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 420","Mississauga",75,1,10,43,0,0,0,129,169
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 421","Mississauga",44,1,16,93,0,2,1,157,257
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 422","Mississauga",54,1,1,56,0,1,0,113,165
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 423","Mississauga",41,1,6,58,0,0,0,106,149
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 424","Mississauga",81,5,19,115,0,1,0,221,309
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 425","Mississauga",16,1,4,17,0,0,1,39,82
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 426","Mississauga",45,7,12,82,0,0,1,147,232
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 500A","Mobile poll/Bureau itinérant",41,6,16,60,0,1,7,131,236
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,,,159
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 501","Mobile poll/Bureau itinérant",44,2,8,77,1,1,0,133,206
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 502","Mobile poll/Bureau itinérant",85,3,9,101,0,2,5,205,282
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 503","Mobile poll/Bureau itinérant",37,2,6,42,0,2,7,96,207
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 504","Mobile poll/Bureau itinérant",16,1,2,17,0,0,1,37,195
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 505A","Mobile poll/Bureau itinérant",29,1,10,39,2,2,0,83,80
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 505B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,72
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 600","Mississauga",320,17,48,371,1,1,1,759,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 601","Mississauga",316,15,66,394,3,2,1,797,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 602","Mississauga",330,18,68,420,0,2,1,839,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 603","Mississauga",200,12,52,333,0,5,1,603,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 604","Mississauga",364,22,73,480,4,1,6,950,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 605","Mississauga",328,25,94,476,1,7,2,933,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 606","Mississauga",460,15,39,460,0,5,1,980,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 607","Mississauga",449,21,53,433,1,6,6,969,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 608","Mississauga",642,27,71,619,0,1,2,1362,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 609","Mississauga",632,25,75,699,2,3,3,1439,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 610","Mississauga",283,20,107,517,3,3,8,941,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 611","Mississauga",289,17,93,457,0,0,1,857,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 612","Mississauga",384,14,125,443,1,9,2,978,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 613","Mississauga",331,24,67,470,1,1,3,897,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore",,"Group 1/Groupe 1",26,7,13,59,0,2,8,115,108
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore",,"Group 2/Groupe 2",878,38,167,807,1,5,51,1947,
