Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carmen Budilean,Jean-François Caron,Marielle Couture,Ursula Larouche,Marc Pettersen,Karine Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,"Jonquière/Jonquière"," 1","Saint-Fulgence",1,44,0,31,64,56,1,197,358
24032,"Jonquière/Jonquière"," 2","Saint-Fulgence",6,38,0,26,35,47,0,152,280
24032,"Jonquière/Jonquière"," 3","Saint-Fulgence",6,46,2,29,47,67,3,200,349
24032,"Jonquière/Jonquière"," 4","Saint-Fulgence",6,32,4,32,31,39,3,147,298
24032,"Jonquière/Jonquière"," 5","Saint-Fulgence",5,36,0,30,59,50,0,180,350
24032,"Jonquière/Jonquière"," 6","Lamarche",1,37,0,22,28,33,2,123,211
24032,"Jonquière/Jonquière"," 7","Lamarche",2,45,1,17,27,35,1,128,228
24032,"Jonquière/Jonquière"," 8","Bégin",1,29,2,30,40,47,3,152,326
24032,"Jonquière/Jonquière"," 9","Bégin",2,49,1,24,64,54,6,200,350
24032,"Jonquière/Jonquière"," 10","Saint-David-de-Falardeau",6,59,0,44,81,45,2,237,418
24032,"Jonquière/Jonquière"," 11","Saint-David-de-Falardeau",2,50,0,30,59,72,2,215,418
24032,"Jonquière/Jonquière"," 12","Saint-David-de-Falardeau",4,48,0,31,63,49,0,195,366
24032,"Jonquière/Jonquière"," 13","Saint-David-de-Falardeau",0,34,0,32,61,49,0,176,312
24032,"Jonquière/Jonquière"," 14A","Saint-David-de-Falardeau",1,36,0,18,46,38,3,142,337
24032,"Jonquière/Jonquière"," 14B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,,14
24032,"Jonquière/Jonquière"," 15","Saint-David-de-Falardeau",1,29,1,34,45,48,3,161,344
24032,"Jonquière/Jonquière"," 16","Saint-Honoré",8,49,5,26,58,42,4,192,359
24032,"Jonquière/Jonquière"," 17","Saint-Honoré",2,32,1,8,47,32,6,128,310
24032,"Jonquière/Jonquière"," 18","Saint-Honoré",1,36,1,36,76,44,7,201,416
24032,"Jonquière/Jonquière"," 19","Saint-Honoré",2,52,2,20,51,37,1,165,321
24032,"Jonquière/Jonquière"," 20","Saint-Honoré",0,51,1,28,50,51,2,183,385
24032,"Jonquière/Jonquière"," 21","Saint-Honoré",3,30,0,20,35,31,4,123,256
24032,"Jonquière/Jonquière"," 22","Saint-Honoré",0,8,2,13,38,35,1,97,247
24032,"Jonquière/Jonquière"," 23","Saint-Honoré",3,37,0,34,54,41,5,174,356
24032,"Jonquière/Jonquière"," 24","Saint-Honoré",3,40,1,35,57,52,3,191,331
24032,"Jonquière/Jonquière"," 25","Saint-Honoré",2,30,1,41,59,32,5,170,332
24032,"Jonquière/Jonquière"," 26","Saint-Honoré",1,52,1,40,55,68,5,222,401
24032,"Jonquière/Jonquière"," 27","Saint-Honoré",3,26,1,16,46,37,1,130,250
24032,"Jonquière/Jonquière"," 28","Saint-Honoré",4,26,1,15,23,28,1,98,274
24032,"Jonquière/Jonquière"," 29","Saint-Honoré",1,32,2,14,28,25,4,106,280
24032,"Jonquière/Jonquière"," 30","Saint-Ambroise",3,30,2,30,43,59,3,170,322
24032,"Jonquière/Jonquière"," 31","Saint-Ambroise",3,49,0,33,64,65,5,219,389
24032,"Jonquière/Jonquière"," 32","Saint-Ambroise",1,45,1,31,50,48,3,179,310
24032,"Jonquière/Jonquière"," 33","Saint-Ambroise",3,36,0,13,39,49,2,142,262
24032,"Jonquière/Jonquière"," 34","Saint-Ambroise",4,23,1,23,62,60,6,179,324
24032,"Jonquière/Jonquière"," 35","Saint-Ambroise",2,36,1,18,54,46,5,162,274
24032,"Jonquière/Jonquière"," 36","Saint-Ambroise",4,33,2,27,38,41,4,149,263
24032,"Jonquière/Jonquière"," 37","Saint-Ambroise",2,53,1,46,53,40,4,199,328
24032,"Jonquière/Jonquière"," 37-1","Saint-Ambroise",2,19,0,21,12,23,4,81,188
24032,"Jonquière/Jonquière"," 38","Saint-Ambroise",3,39,3,20,47,50,8,170,342
24032,"Jonquière/Jonquière"," 39","Labrecque",2,55,1,31,54,79,4,226,396
24032,"Jonquière/Jonquière"," 40","Labrecque",5,46,2,28,50,63,3,197,323
24032,"Jonquière/Jonquière"," 41","Labrecque",1,29,3,33,49,51,1,167,355
24032,"Jonquière/Jonquière"," 42","Saint-Nazaire",6,35,2,34,43,84,2,206,413
24032,"Jonquière/Jonquière"," 43","Saint-Nazaire",5,43,3,42,59,60,3,215,386
24032,"Jonquière/Jonquière"," 44","Saint-Nazaire",3,56,1,37,48,84,2,231,438
24032,"Jonquière/Jonquière"," 45","Saint-Nazaire",2,63,1,20,60,57,7,210,350
24032,"Jonquière/Jonquière"," 46","Saint-Charles-de-Bourget",0,46,0,34,55,64,3,202,303
24032,"Jonquière/Jonquière"," 47","Saint-Charles-de-Bourget",3,54,1,28,51,56,4,197,312
24032,"Jonquière/Jonquière"," 48","Saguenay",3,48,1,36,56,68,1,213,327
24032,"Jonquière/Jonquière"," 49","Saguenay",5,37,1,33,68,64,5,213,382
24032,"Jonquière/Jonquière"," 50","Saguenay",3,37,1,22,36,48,2,149,279
24032,"Jonquière/Jonquière"," 51","Saguenay",6,37,1,21,37,39,2,143,280
24032,"Jonquière/Jonquière"," 52","Saguenay",2,48,0,37,67,67,2,223,408
24032,"Jonquière/Jonquière"," 53","Saguenay",3,26,0,35,66,48,0,178,353
24032,"Jonquière/Jonquière"," 54","Saguenay",0,48,0,28,40,58,8,182,343
24032,"Jonquière/Jonquière"," 55","Saguenay",0,58,3,45,81,82,0,269,430
24032,"Jonquière/Jonquière"," 56","Saguenay",0,64,3,45,87,91,4,294,455
24032,"Jonquière/Jonquière"," 57","Saguenay",1,61,1,37,72,110,2,284,414
24032,"Jonquière/Jonquière"," 58","Saguenay",3,59,0,31,76,73,2,244,394
24032,"Jonquière/Jonquière"," 59","Saguenay",3,65,0,59,79,77,9,292,468
24032,"Jonquière/Jonquière"," 60","Saguenay",3,41,3,33,55,71,10,216,352
24032,"Jonquière/Jonquière"," 61","Saguenay",6,55,3,26,41,89,6,226,377
24032,"Jonquière/Jonquière"," 62","Saguenay",5,48,7,24,54,73,2,213,419
24032,"Jonquière/Jonquière"," 63","Saguenay",5,42,1,19,37,43,4,151,289
24032,"Jonquière/Jonquière"," 64","Saguenay",2,44,0,25,44,52,3,170,330
24032,"Jonquière/Jonquière"," 65","Saguenay",5,34,1,29,67,58,4,198,314
24032,"Jonquière/Jonquière"," 66","Saguenay",4,74,2,59,113,86,7,345,497
24032,"Jonquière/Jonquière"," 67","Saguenay",2,38,0,10,36,30,4,120,236
24032,"Jonquière/Jonquière"," 68","Saguenay",2,27,0,20,36,39,2,126,216
24032,"Jonquière/Jonquière"," 69A","Saguenay",3,34,2,30,49,42,0,160,263
24032,"Jonquière/Jonquière"," 69B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,20
24032,"Jonquière/Jonquière"," 70","Saguenay",5,49,3,47,61,66,0,231,391
24032,"Jonquière/Jonquière"," 71","Saguenay",0,53,1,45,74,102,0,275,431
24032,"Jonquière/Jonquière"," 72","Saguenay",6,62,0,21,66,115,6,276,438
24032,"Jonquière/Jonquière"," 73","Saguenay",3,82,2,21,61,95,1,265,415
24032,"Jonquière/Jonquière"," 74","Saguenay",3,64,5,52,80,77,4,285,434
24032,"Jonquière/Jonquière"," 75","Saguenay",4,68,2,45,92,90,3,304,450
24032,"Jonquière/Jonquière"," 76","Saguenay",5,31,3,36,80,111,3,269,424
24032,"Jonquière/Jonquière"," 77A","Saguenay",0,32,0,20,40,28,1,121,193
24032,"Jonquière/Jonquière"," 77B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,13
24032,"Jonquière/Jonquière"," 77C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,19
24032,"Jonquière/Jonquière"," 78","Saguenay",3,41,1,47,50,61,4,207,320
24032,"Jonquière/Jonquière"," 79","Saguenay",5,56,3,18,39,60,2,183,341
24032,"Jonquière/Jonquière"," 80","Saguenay",4,51,2,27,44,76,1,205,356
24032,"Jonquière/Jonquière"," 81","Saguenay",3,34,1,25,58,40,5,166,257
24032,"Jonquière/Jonquière"," 82","Saguenay",0,34,3,27,52,80,8,204,316
