Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Falk,Terry Hayward,Les Lilley,Jeff Wheeldon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 603","Whitemouth--Reynolds",68,30,11,3,0,112,
46008,"Provencher/Provencher"," 604","Ste. Anne",193,302,42,21,3,561,
46008,"Provencher/Provencher"," 605","Taché",381,422,84,12,3,902,
46008,"Provencher/Provencher"," 606","Taché--Ile des Chênes",Void/Supprimé,,,,,,
46008,"Provencher/Provencher"," 607","Niverville--Ritchot",369,207,34,23,1,634,
46008,"Provencher/Provencher"," 608","Hanover--La Broquerie",377,116,20,19,0,532,
46008,"Provencher/Provencher"," 609","La Broquerie",405,117,8,20,5,555,
46008,"Provencher/Provencher"," 610","Steinbach",476,147,18,26,1,668,
46008,"Provencher/Provencher"," 611","La Broquerie",331,91,10,11,2,445,
46008,"Provencher/Provencher"," 612","De Salaberry--Franklin",145,160,22,15,1,343,
46008,"Provencher/Provencher"," 613","Piney",104,28,11,2,0,145,
46008,"Provencher/Provencher"," 614","Falcon Lake",60,25,9,5,1,100,
46008,"Provencher/Provencher"," 615","Morris",42,42,2,6,2,94,
46008,"Provencher/Provencher",,"Group 1/Groupe 1",21,33,9,4,2,69,48
46008,"Provencher/Provencher",,"Group 2/Groupe 2",452,226,50,22,7,757,
