Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Billy Cann,Teresa Doyle,Lawrence MacAulay,Julius Patkai,Christene Squires,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 1","North Lake",22,15,109,18,6,1,171,291
11001,"Cardigan/Cardigan"," 2","Red Point",19,5,127,30,8,0,189,317
11001,"Cardigan/Cardigan"," 3","New Zealand",14,9,93,19,1,0,136,285
11001,"Cardigan/Cardigan"," 4","Chepstow",20,6,113,49,3,1,192,351
11001,"Cardigan/Cardigan"," 5","Souris River",21,12,105,17,3,1,159,300
11001,"Cardigan/Cardigan"," 6","Souris",15,6,77,26,3,0,127,265
11001,"Cardigan/Cardigan"," 7","Souris East",18,6,115,26,0,1,166,304
11001,"Cardigan/Cardigan"," 8","Souris West",17,4,118,15,2,0,156,318
11001,"Cardigan/Cardigan"," 9","Fortune",28,15,131,40,3,0,217,345
11001,"Cardigan/Cardigan"," 10","Saint-Charles",26,7,124,11,3,1,172,329
11001,"Cardigan/Cardigan"," 11","Cable Head",34,11,169,43,17,2,276,413
11001,"Cardigan/Cardigan"," 12","Five Houses",16,8,149,38,4,0,215,354
11001,"Cardigan/Cardigan"," 13","Milburn",19,11,118,41,3,3,195,348
11001,"Cardigan/Cardigan"," 14","Morell",23,14,139,43,7,0,226,349
11001,"Cardigan/Cardigan"," 15","Green Meadows",14,10,129,46,3,2,204,347
11001,"Cardigan/Cardigan"," 16","Savage Harbour",14,12,143,22,2,1,194,411
11001,"Cardigan/Cardigan"," 17","Mount Stewart",27,10,141,25,1,2,206,416
11001,"Cardigan/Cardigan"," 18","Tracadie Cross",36,14,202,23,0,2,277,426
11001,"Cardigan/Cardigan"," 19","Grand Tracadie",51,21,194,41,2,3,312,488
11001,"Cardigan/Cardigan"," 20","Bedford Station",32,13,199,38,3,1,286,416
11001,"Cardigan/Cardigan"," 21","Johnstons River",28,21,143,29,0,3,224,399
11001,"Cardigan/Cardigan"," 22","Fort Augustus",10,11,126,45,1,2,195,331
11001,"Cardigan/Cardigan"," 23","Glenfinnan",35,12,139,45,2,0,233,381
11001,"Cardigan/Cardigan"," 24","Peakes",18,17,118,35,1,0,189,373
11001,"Cardigan/Cardigan"," 25","Glenfanning",10,10,122,33,2,0,177,320
11001,"Cardigan/Cardigan"," 26","Launching",31,25,139,46,3,0,244,395
11001,"Cardigan/Cardigan"," 27","New Perth",21,4,116,33,2,2,178,411
11001,"Cardigan/Cardigan"," 28","Dundas",17,12,154,31,0,0,214,369
11001,"Cardigan/Cardigan"," 29","Head of Cardigan",18,15,162,28,4,0,227,402
11001,"Cardigan/Cardigan"," 30","Georgetown North",16,17,152,41,3,0,229,430
11001,"Cardigan/Cardigan"," 31","Georgetown South",28,9,158,44,11,0,250,380
11001,"Cardigan/Cardigan"," 32","Brudenell",12,11,101,24,2,0,150,392
11001,"Cardigan/Cardigan"," 33","North Montague",13,7,107,24,2,0,153,389
11001,"Cardigan/Cardigan"," 34","Central Montague",15,8,73,12,1,0,109,314
11001,"Cardigan/Cardigan"," 35","Lower Montague",19,14,136,22,0,3,194,390
11001,"Cardigan/Cardigan"," 36","Sturgeon",31,10,164,21,0,0,226,407
11001,"Cardigan/Cardigan"," 37","Murray Harbour North",19,11,147,28,3,0,208,309
11001,"Cardigan/Cardigan"," 38","Beach Point",15,14,152,37,7,0,225,354
11001,"Cardigan/Cardigan"," 39","Murray River South",17,12,116,35,5,1,186,337
11001,"Cardigan/Cardigan"," 40","Murray River North",12,13,145,19,1,0,190,325
11001,"Cardigan/Cardigan"," 41","Abney",19,10,120,26,12,0,187,295
11001,"Cardigan/Cardigan"," 42","Lewes",5,16,88,24,0,1,134,297
11001,"Cardigan/Cardigan"," 43","South Montague",18,8,112,19,3,1,161,409
11001,"Cardigan/Cardigan"," 44","West Montague",13,6,90,20,1,0,130,361
11001,"Cardigan/Cardigan"," 45","Victoria Cross",13,14,119,26,0,0,172,414
11001,"Cardigan/Cardigan"," 46","Valleyfield",23,5,107,35,5,0,175,369
11001,"Cardigan/Cardigan"," 47","Hermitage",29,20,158,48,2,3,260,387
11001,"Cardigan/Cardigan"," 48","Millview",17,7,165,20,10,0,219,319
11001,"Cardigan/Cardigan"," 49","Hazelbrook",19,14,132,27,2,1,195,389
11001,"Cardigan/Cardigan"," 50A","Mount Herbert",14,15,109,24,1,0,163,284
11001,"Cardigan/Cardigan"," 50B","Mount Herbert",11,10,119,28,0,1,169,335
11001,"Cardigan/Cardigan"," 51","Stratford",31,12,101,15,0,0,159,359
11001,"Cardigan/Cardigan"," 52","Stratford",37,19,168,38,1,1,264,498
11001,"Cardigan/Cardigan"," 53","Stratford",19,15,113,20,1,1,169,368
11001,"Cardigan/Cardigan"," 54A","Stratford",31,13,135,30,3,1,213,474
11001,"Cardigan/Cardigan"," 54B","Stratford",35,14,162,20,0,0,231,469
11001,"Cardigan/Cardigan"," 55","Stratford",27,18,115,34,3,0,197,413
11001,"Cardigan/Cardigan"," 56A","Stratford",25,18,82,33,1,0,159,295
11001,"Cardigan/Cardigan"," 56B","Stratford",17,18,95,29,1,0,160,324
11001,"Cardigan/Cardigan"," 57","Stratford",35,15,169,44,3,1,267,485
11001,"Cardigan/Cardigan"," 58A","Stratford",16,10,91,28,0,1,146,290
11001,"Cardigan/Cardigan"," 58B","Stratford",23,15,90,21,1,0,150,295
11001,"Cardigan/Cardigan"," 59","Stratford",14,10,71,22,1,0,118,261
11001,"Cardigan/Cardigan"," 60","Stratford",29,16,133,20,2,0,200,366
11001,"Cardigan/Cardigan"," 61","Stratford",15,11,102,36,3,1,168,341
11001,"Cardigan/Cardigan"," 62","Stratford",28,17,156,54,4,0,259,481
11001,"Cardigan/Cardigan"," 63A","Stratford",21,18,128,41,1,0,209,370
11001,"Cardigan/Cardigan"," 63B","Stratford",16,11,107,32,1,1,168,337
11001,"Cardigan/Cardigan"," 64A","Stratford",12,18,109,25,0,0,164,300
11001,"Cardigan/Cardigan"," 64B","Stratford",16,17,91,34,1,0,159,282
11001,"Cardigan/Cardigan"," 65","Alexandra",24,16,133,33,0,1,207,374
11001,"Cardigan/Cardigan"," 66","Pownal",26,31,157,46,3,1,264,421
11001,"Cardigan/Cardigan"," 67","Cherry Valley",21,11,141,36,2,0,211,305
11001,"Cardigan/Cardigan"," 68","Kinross",17,20,122,38,11,0,208,311
11001,"Cardigan/Cardigan"," 69","Iona",16,16,112,25,7,1,177,274
11001,"Cardigan/Cardigan"," 70","Mount Buchanan",18,16,160,39,7,0,240,387
11001,"Cardigan/Cardigan"," 71","Flat River",17,22,84,39,11,1,174,378
11001,"Cardigan/Cardigan"," 72","Wood Islands",17,8,82,24,1,0,132,320
11001,"Cardigan/Cardigan"," 73","Brooklyn",25,9,92,29,2,1,158,398
11001,"Cardigan/Cardigan"," 500","Mobile poll/Bureau itinérant",4,0,40,11,0,0,55,74
11001,"Cardigan/Cardigan"," 501A","Mobile poll/Bureau itinérant",4,5,29,22,0,3,63,105
11001,"Cardigan/Cardigan"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,15
11001,"Cardigan/Cardigan"," 502","Mobile poll/Bureau itinérant",5,3,30,24,0,3,65,77
11001,"Cardigan/Cardigan"," 503","Mobile poll/Bureau itinérant",6,4,44,13,1,0,68,79
11001,"Cardigan/Cardigan"," 600","Mount Stewart",76,32,527,131,3,5,774,
11001,"Cardigan/Cardigan"," 601","Souris",68,31,526,118,3,4,750,
11001,"Cardigan/Cardigan"," 602","Central Kings & Queens",46,33,391,106,7,6,589,
11001,"Cardigan/Cardigan"," 603","Stratford",106,95,601,144,11,7,964,
11001,"Cardigan/Cardigan"," 604","Stratford Center",195,89,935,276,9,5,1509,
11001,"Cardigan/Cardigan"," 605","Montague",106,29,532,107,7,1,782,
11001,"Cardigan/Cardigan"," 606","Wood Islands",59,34,299,90,12,1,495,
11001,"Cardigan/Cardigan",,"Group 1/Groupe 1",9,6,39,24,1,2,81,23
