Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gene Balfour,Lorne Cherry,Nancy Coldham,Margaret Leigh Fairbairn,Peter Kent,Josh Rachlis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Thornhill/Thornhill"," 1A","Vaughan",0,4,41,0,102,0,0,147,387
35104,"Thornhill/Thornhill"," 1B","Mobile poll/Bureau itinérant",2,7,54,1,58,3,3,128,82
35104,"Thornhill/Thornhill"," 2","Vaughan",1,16,52,1,144,0,0,214,437
35104,"Thornhill/Thornhill"," 3","Vaughan",0,5,28,0,160,0,0,193,465
35104,"Thornhill/Thornhill"," 4","Vaughan",2,0,45,0,152,0,0,199,464
35104,"Thornhill/Thornhill"," 5","Vaughan",0,6,50,0,170,2,1,229,485
35104,"Thornhill/Thornhill"," 6","Vaughan",1,15,49,0,132,0,1,198,406
35104,"Thornhill/Thornhill"," 7","Vaughan",0,4,44,0,133,2,0,183,440
35104,"Thornhill/Thornhill"," 8","Vaughan",3,7,31,0,98,4,1,144,314
35104,"Thornhill/Thornhill"," 9","Vaughan",1,9,49,0,138,0,3,200,443
35104,"Thornhill/Thornhill"," 10","Vaughan",2,4,49,0,137,1,0,193,396
35104,"Thornhill/Thornhill"," 11","Vaughan",0,4,53,0,164,5,1,227,478
35104,"Thornhill/Thornhill"," 12","Vaughan",4,11,63,1,134,3,0,216,513
35104,"Thornhill/Thornhill"," 13","Vaughan",2,6,55,0,151,1,0,215,467
35104,"Thornhill/Thornhill"," 14","Vaughan",2,4,57,0,137,3,0,203,420
35104,"Thornhill/Thornhill"," 15","Vaughan",3,4,40,0,146,0,0,193,407
35104,"Thornhill/Thornhill"," 16","Vaughan",0,8,49,0,131,3,1,192,496
35104,"Thornhill/Thornhill"," 17","Vaughan",1,8,54,0,135,2,0,200,427
35104,"Thornhill/Thornhill"," 18","Vaughan",4,18,76,0,114,1,2,215,461
35104,"Thornhill/Thornhill"," 19","Vaughan",2,8,48,0,100,2,4,164,371
35104,"Thornhill/Thornhill"," 20","Vaughan",4,17,78,2,79,1,1,182,384
35104,"Thornhill/Thornhill"," 21","Vaughan",1,16,56,1,128,2,0,204,436
35104,"Thornhill/Thornhill"," 22","Vaughan",1,10,80,0,147,0,0,238,433
35104,"Thornhill/Thornhill"," 23","Vaughan",6,3,67,0,164,2,2,244,448
35104,"Thornhill/Thornhill"," 24","Vaughan",3,12,71,0,159,0,2,247,478
35104,"Thornhill/Thornhill"," 25","Vaughan",2,13,87,0,151,3,2,258,497
35104,"Thornhill/Thornhill"," 26","Vaughan",3,11,70,0,127,3,0,214,461
35104,"Thornhill/Thornhill"," 27","Vaughan",4,8,52,0,95,5,2,166,392
35104,"Thornhill/Thornhill"," 28","Vaughan",6,12,87,0,77,1,4,187,486
35104,"Thornhill/Thornhill"," 29","Vaughan",0,6,38,0,135,1,0,180,381
35104,"Thornhill/Thornhill"," 30","Vaughan",4,1,20,0,146,0,0,171,381
35104,"Thornhill/Thornhill"," 31","Vaughan",0,5,33,0,156,0,0,194,380
35104,"Thornhill/Thornhill"," 32","Vaughan",1,7,46,0,127,2,0,183,369
35104,"Thornhill/Thornhill"," 33","Vaughan",0,8,34,0,108,2,0,152,293
