Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dev Balkissoon,George Brown,Al Gullon,David McGuinty,John Redins,Larry Wasslen,Damien Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"Ottawa South/Ottawa-Sud"," 1","Gloucester",46,20,2,89,4,1,0,0,162,265
35077,"Ottawa South/Ottawa-Sud"," 2","Ottawa",69,37,2,142,5,0,0,0,255,484
35077,"Ottawa South/Ottawa-Sud"," 3","Ottawa",44,24,5,124,6,1,1,0,205,346
35077,"Ottawa South/Ottawa-Sud"," 4","Ottawa",40,24,2,163,16,1,3,3,252,378
35077,"Ottawa South/Ottawa-Sud"," 5","Ottawa",66,29,2,125,8,0,0,0,230,415
35077,"Ottawa South/Ottawa-Sud"," 6","Ottawa",62,21,0,133,6,1,0,3,226,386
35077,"Ottawa South/Ottawa-Sud"," 7","Ottawa",63,24,3,170,3,0,0,3,266,465
35077,"Ottawa South/Ottawa-Sud"," 8","Ottawa",63,28,5,147,7,3,0,1,254,443
35077,"Ottawa South/Ottawa-Sud"," 9A","Ottawa",18,18,1,109,0,2,0,4,152,370
35077,"Ottawa South/Ottawa-Sud"," 9B","Ottawa",14,18,0,78,2,0,0,1,113,274
35077,"Ottawa South/Ottawa-Sud"," 10","Ottawa",Merged with No./Fusionné avec le n°9B,,,,,,,,,52
35077,"Ottawa South/Ottawa-Sud"," 11","Ottawa",58,28,1,129,6,1,0,1,224,422
35077,"Ottawa South/Ottawa-Sud"," 12","Ottawa",59,21,0,116,10,1,0,1,208,425
35077,"Ottawa South/Ottawa-Sud"," 13","Ottawa",71,30,3,176,8,1,0,2,291,430
35077,"Ottawa South/Ottawa-Sud"," 14","Ottawa",31,39,3,133,8,0,2,1,217,397
35077,"Ottawa South/Ottawa-Sud"," 15","Ottawa",40,29,2,145,12,0,0,1,229,420
35077,"Ottawa South/Ottawa-Sud"," 16","Ottawa",19,17,0,85,5,1,0,0,127,291
35077,"Ottawa South/Ottawa-Sud"," 17","Ottawa",30,31,0,148,16,0,1,0,226,482
35077,"Ottawa South/Ottawa-Sud"," 18","Ottawa",40,24,1,137,8,1,0,0,211,418
35077,"Ottawa South/Ottawa-Sud"," 19","Ottawa",43,27,2,144,5,0,3,2,226,335
35077,"Ottawa South/Ottawa-Sud"," 20","Ottawa",76,50,0,139,11,0,1,1,278,409
35077,"Ottawa South/Ottawa-Sud"," 21","Ottawa",26,22,0,91,4,0,1,2,146,183
35077,"Ottawa South/Ottawa-Sud"," 22","Ottawa",81,9,1,92,4,1,1,1,190,413
35077,"Ottawa South/Ottawa-Sud"," 23","Ottawa",61,15,1,147,5,0,0,0,229,409
35077,"Ottawa South/Ottawa-Sud"," 24","Ottawa",50,20,1,143,9,0,2,1,226,378
35077,"Ottawa South/Ottawa-Sud"," 25","Ottawa",54,21,0,104,7,0,1,1,188,376
35077,"Ottawa South/Ottawa-Sud"," 26","Ottawa",53,27,0,129,11,0,2,0,222,399
35077,"Ottawa South/Ottawa-Sud"," 27","Ottawa",47,38,2,149,9,0,1,0,246,449
35077,"Ottawa South/Ottawa-Sud"," 28","Ottawa",46,27,1,115,8,0,0,1,198,423
