Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Douglas Chiasson,Monika Dutt,Mark Eyking,Wayne James Hiscock,Adrianna MacKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"Sydney--Victoria/Sydney--Victoria"," 1","St. Margaret Village",16,6,125,0,6,0,153,305
12010,"Sydney--Victoria/Sydney--Victoria"," 2","Cape North",25,10,178,1,4,0,218,455
12010,"Sydney--Victoria/Sydney--Victoria"," 3","White Point",14,1,62,1,3,0,81,146
12010,"Sydney--Victoria/Sydney--Victoria"," 4","Neils Harbour",23,10,120,0,6,0,159,231
12010,"Sydney--Victoria/Sydney--Victoria"," 5","Ingonish",27,7,213,0,3,2,252,516
12010,"Sydney--Victoria/Sydney--Victoria"," 6","Ingonish Beach",23,6,125,1,9,0,164,318
12010,"Sydney--Victoria/Sydney--Victoria"," 7","Pleasant Bay",6,3,53,1,4,0,67,127
12010,"Sydney--Victoria/Sydney--Victoria"," 8","Little River",35,16,118,3,5,1,178,304
12010,"Sydney--Victoria/Sydney--Victoria"," 9","Englishtown",10,5,69,0,5,0,89,170
12010,"Sydney--Victoria/Sydney--Victoria"," 10","Point Aconi",13,16,154,1,6,1,191,331
12010,"Sydney--Victoria/Sydney--Victoria"," 11","Mill Creek",21,17,91,1,1,2,133,217
12010,"Sydney--Victoria/Sydney--Victoria"," 12","Alder Point",18,17,128,0,5,1,169,341
12010,"Sydney--Victoria/Sydney--Victoria"," 13","Little Bras d'Or South Side",24,12,123,1,1,2,163,283
12010,"Sydney--Victoria/Sydney--Victoria"," 14","Sydney Mines",19,16,113,1,9,3,161,381
12010,"Sydney--Victoria/Sydney--Victoria"," 15","Sydney Mines",11,7,90,0,2,0,110,305
12010,"Sydney--Victoria/Sydney--Victoria"," 16","Sydney Mines",20,24,101,0,3,1,149,337
12010,"Sydney--Victoria/Sydney--Victoria"," 17","Sydney Mines",19,16,104,0,3,2,144,308
12010,"Sydney--Victoria/Sydney--Victoria"," 18","Sydney Mines",20,24,120,0,9,1,174,355
12010,"Sydney--Victoria/Sydney--Victoria"," 19","New Victoria",10,35,162,1,6,0,214,420
12010,"Sydney--Victoria/Sydney--Victoria"," 20","New Waterford",5,22,104,1,4,1,137,332
12010,"Sydney--Victoria/Sydney--Victoria"," 21","New Waterford",11,38,126,0,5,0,180,377
12010,"Sydney--Victoria/Sydney--Victoria"," 22","New Waterford",8,29,99,2,6,1,145,317
12010,"Sydney--Victoria/Sydney--Victoria"," 23","New Waterford",6,15,97,1,0,1,120,337
12010,"Sydney--Victoria/Sydney--Victoria"," 24","New Victoria",7,18,102,1,2,0,130,294
12010,"Sydney--Victoria/Sydney--Victoria"," 25","New Victoria",16,24,110,0,1,0,151,304
12010,"Sydney--Victoria/Sydney--Victoria"," 26","New Waterford",12,30,112,1,4,3,162,402
12010,"Sydney--Victoria/Sydney--Victoria"," 27","New Waterford",4,20,90,1,4,1,120,290
12010,"Sydney--Victoria/Sydney--Victoria"," 28","New Waterford",10,14,89,0,3,0,116,271
12010,"Sydney--Victoria/Sydney--Victoria"," 29","New Waterford",12,27,113,3,3,1,159,323
12010,"Sydney--Victoria/Sydney--Victoria"," 30","New Waterford",26,38,130,0,5,0,199,387
12010,"Sydney--Victoria/Sydney--Victoria"," 31","New Waterford",13,27,106,1,6,0,153,368
12010,"Sydney--Victoria/Sydney--Victoria"," 32","New Waterford",18,41,146,1,1,2,209,432
12010,"Sydney--Victoria/Sydney--Victoria"," 33","New Waterford",6,29,130,0,3,1,169,420
12010,"Sydney--Victoria/Sydney--Victoria"," 34","New Waterford",17,38,100,2,4,0,161,366
12010,"Sydney--Victoria/Sydney--Victoria"," 35","New Waterford",17,30,128,3,9,2,189,409
12010,"Sydney--Victoria/Sydney--Victoria"," 36","Lingan",10,37,171,0,2,0,220,355
12010,"Sydney--Victoria/Sydney--Victoria"," 37","Scotchtown",20,27,123,0,1,0,171,373
12010,"Sydney--Victoria/Sydney--Victoria"," 38","Scotchtown",19,26,133,1,3,1,183,377
12010,"Sydney--Victoria/Sydney--Victoria"," 39","Scotchtown",8,22,83,0,0,0,113,255
12010,"Sydney--Victoria/Sydney--Victoria"," 40","Grand Lake Road",13,17,117,0,4,1,152,356
12010,"Sydney--Victoria/Sydney--Victoria"," 41","Scotchtown",16,15,81,0,0,0,112,275
12010,"Sydney--Victoria/Sydney--Victoria"," 42","Lingan Road",22,43,137,2,4,2,210,375
12010,"Sydney--Victoria/Sydney--Victoria"," 43","South Bar",16,21,115,1,4,2,159,263
12010,"Sydney--Victoria/Sydney--Victoria"," 44","South Bar",19,26,138,1,4,0,188,308
12010,"Sydney--Victoria/Sydney--Victoria"," 45","Sydney Mines",10,18,100,0,4,1,133,332
12010,"Sydney--Victoria/Sydney--Victoria"," 46","Sydney Mines",19,15,111,4,0,0,149,358
12010,"Sydney--Victoria/Sydney--Victoria"," 47","Sydney Mines",24,7,83,2,6,0,122,360
12010,"Sydney--Victoria/Sydney--Victoria"," 48","Sydney Mines",12,12,119,3,3,1,150,335
12010,"Sydney--Victoria/Sydney--Victoria"," 49","Sydney Mines",25,25,153,0,14,2,219,448
12010,"Sydney--Victoria/Sydney--Victoria"," 50","Sydney Mines",18,16,97,0,4,0,135,312
12010,"Sydney--Victoria/Sydney--Victoria"," 51","Sydney Mines",14,23,118,0,7,1,163,372
