Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hector Clouthier,Cheryl Gallant,Stefan Klietsch,Jeff Lehoux,Dan McCarthy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 1","Deep River",12,31,3,140,10,0,196,331
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 2","Deep River",10,24,2,128,16,0,180,354
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 3","Deep River",6,49,1,161,16,1,234,381
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 4","Deep River",7,53,2,151,22,1,236,385
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 5","Rolphton",22,75,2,91,16,1,207,383
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 6","Point Alexander",20,77,6,132,22,0,257,439
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 7","Deep River",11,49,3,127,12,2,204,410
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 8","Deep River",16,35,1,113,17,1,183,356
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 9","Deep River",14,26,1,66,10,0,117,227
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 10","Deep River",4,30,2,119,19,0,174,300
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 11","Deep River",7,23,4,120,11,0,165,312
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 12","Mountain View",22,76,5,53,22,0,178,313
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 13","Chalk River",20,83,5,83,25,1,217,400
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 14","Mountain View",36,50,2,65,9,0,162,312
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 15","Mountain View",26,65,4,100,26,0,221,430
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 16","Petawawa",16,96,7,43,17,0,179,475
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 17","Petawawa",6,65,7,77,14,1,170,436
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 18","Petawawa",12,63,4,50,18,3,150,418
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 19","Petawawa",46,119,12,104,24,1,306,630
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 20","Petawawa",23,67,6,80,16,0,192,456
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 21","Petawawa",61,102,7,90,26,1,287,690
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 22","Petawawa",34,75,4,85,12,1,211,441
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 23","Petawawa",35,85,0,46,16,1,183,404
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 24","Petawawa",26,119,4,80,23,1,253,565
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 25","Petawawa",40,65,1,72,14,1,193,403
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 26","Petawawa",41,128,11,109,12,1,302,588
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 27","Petawawa",28,66,4,71,15,0,184,428
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 28","Petawawa",28,101,7,62,16,0,214,462
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 29","Petawawa",36,98,7,59,18,1,219,510
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 30","Petawawa",41,75,1,83,9,0,209,488
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 31","Petawawa",56,60,4,64,18,0,202,433
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 32","Petawawa",40,84,1,64,18,1,208,395
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 33","Petawawa",46,72,5,66,10,1,200,392
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 34","Petawawa",53,72,3,73,18,3,222,474
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 35","Petawawa",55,80,7,66,11,1,220,442
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 36","Petawawa",56,81,4,82,9,0,232,403
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 37","Laurentian Valley",28,62,1,35,10,0,136,316
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 38","Laurentian Valley",36,61,1,38,8,2,146,332
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 39","Laurentian Valley",32,59,0,35,9,0,135,284
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 40","Hampelsfield",28,57,0,52,13,0,150,320
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 41","Hampelsfield",43,68,3,70,12,0,196,390
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 42","Pembroke",35,57,0,68,16,2,178,402
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 43","Pembroke",26,37,2,58,17,1,141,382
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 44","Pembroke",18,52,2,48,16,0,136,359
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 45","Pembroke",36,36,1,50,10,1,134,354
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 46","Pembroke",30,81,4,55,6,0,176,377
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 47","Pembroke",30,29,2,84,18,0,163,349
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 48","Pembroke",39,49,2,70,11,0,171,353
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 49","Pembroke",29,35,1,60,19,0,144,386
