Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matt Badura,Jason Devine,Judson Hansell,Deepak Obhrai,Abdou Souraya,Cam Stewart,Max Veress,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 44","Calgary",1,0,2,108,17,60,1,0,189,419
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 45","Calgary",2,2,4,76,16,66,0,4,170,366
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 46","Calgary",6,1,4,66,17,79,0,0,173,389
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 47","Calgary",3,0,16,147,21,62,0,3,252,349
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 48","Calgary",2,2,8,78,19,77,2,1,189,391
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 49","Calgary",4,1,7,89,25,64,0,0,190,382
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 50","Calgary",7,0,2,53,17,39,0,2,120,264
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 51","Calgary",6,0,6,56,14,87,0,1,170,381
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 52","Calgary",6,0,2,61,13,68,0,1,151,345
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 53","Calgary",3,1,2,103,25,106,0,3,243,471
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 54","Calgary",2,0,7,88,29,86,0,1,213,431
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 55","Calgary",2,1,7,106,27,120,0,1,264,466
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 56","Calgary",0,0,10,83,18,47,0,4,162,369
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 57","Calgary",6,3,7,91,27,85,2,4,225,427
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 58","Calgary",2,0,9,69,33,82,1,2,198,389
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 59","Calgary",4,1,4,74,18,46,0,5,152,360
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 60","Calgary",0,0,2,86,12,58,0,6,164,369
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 61A","Calgary",1,1,3,48,16,45,0,2,116,283
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 61B","Calgary",2,0,4,62,14,55,0,0,137,291
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 62","Calgary",5,0,1,140,17,62,1,2,228,475
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 63","Calgary",5,2,7,134,27,51,2,0,228,465
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 64","Calgary",2,1,3,98,15,61,0,2,182,368
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 65","Calgary",2,1,9,114,26,96,2,2,252,488
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 66","Calgary",5,0,5,77,25,75,2,0,189,387
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 67","Calgary",2,2,10,164,27,73,0,0,278,425
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 68","Calgary",3,3,8,159,24,56,2,0,255,426
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 69","Calgary",7,3,12,151,14,80,0,0,267,429
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 70","Calgary",2,0,10,152,21,92,3,2,282,416
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 71","Calgary",4,0,7,145,27,102,0,0,285,516
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 72","Calgary",9,1,6,99,23,66,0,1,205,357
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 73","Calgary",6,1,8,109,19,58,1,2,204,362
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 74","Calgary",2,0,5,113,15,47,0,3,185,352
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 75","Calgary",4,11,10,67,14,73,0,2,181,355
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 76","Calgary",2,0,8,115,12,78,1,1,217,438
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 77","Calgary",3,0,9,72,23,68,0,2,177,424
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 78","Calgary",4,1,7,62,22,61,0,5,162,422
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 79A","Calgary",5,1,3,49,16,53,0,0,127,269
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 79B","Calgary",5,1,7,51,12,52,0,1,129,295
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 80","Calgary",1,0,9,91,22,61,1,0,185,439
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 81","Calgary",7,0,1,66,8,46,0,4,132,376
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 82A","Calgary",5,0,5,59,24,78,1,1,173,388
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 82B","Calgary",3,0,8,48,18,79,0,3,159,370
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 83","Calgary",2,1,3,28,5,18,1,1,59,197
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 84","Calgary",4,1,9,85,29,58,0,0,186,380
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 85","Calgary",1,0,9,78,14,50,0,0,152,352
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 86","Calgary",3,0,9,58,13,42,0,2,127,365
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 87","Calgary",2,0,2,59,15,61,0,2,141,413
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 88","Calgary",6,25,7,96,27,53,0,1,215,428
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 89","Calgary",2,0,4,140,15,63,1,0,225,446
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 90","Calgary",1,2,1,97,19,46,2,0,168,344
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 91","Calgary",7,1,6,120,21,54,1,1,211,400
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 92","Calgary",1,1,9,141,13,45,1,1,212,404
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 93","Calgary",1,0,5,100,12,44,0,2,164,354
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 94","Calgary",5,0,5,103,21,66,1,3,204,415
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 95","Calgary",1,1,0,133,24,61,0,2,222,438
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 96","Calgary",5,0,3,116,32,77,1,0,234,464
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 97","Calgary",1,2,5,107,22,83,0,3,223,407
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 98","Calgary",2,1,5,133,39,72,0,0,252,476
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 99","Calgary",3,2,1,110,14,53,0,2,185,401
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 100","Calgary",1,0,6,113,19,77,0,1,217,444
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 101","Calgary",4,1,7,107,25,84,1,1,230,439
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 102","Calgary",1,3,8,107,20,56,1,0,196,378
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 103","Calgary",1,0,8,99,22,56,1,3,190,368
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 104","Calgary",0,0,2,115,21,57,2,1,198,375
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 105","Calgary",4,1,9,105,9,39,0,0,167,325
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 106","Calgary",2,1,8,91,32,87,1,1,223,429
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 107","Calgary",3,2,2,92,30,67,0,0,196,377
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 108","Calgary",6,1,7,93,22,59,1,2,191,441
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 109","Calgary",2,2,8,85,21,84,0,0,202,430
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 110","Calgary",3,1,7,58,30,61,3,2,165,425
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 111","Calgary",4,0,8,103,23,100,1,4,243,463
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 112","Calgary",6,0,8,99,14,64,0,1,192,363
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 113","Calgary",7,1,8,102,16,77,2,1,214,386
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 114","Calgary",2,1,6,96,16,52,0,3,176,340
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 115","Calgary",5,0,8,150,12,65,1,1,242,409
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 116","Calgary",2,4,6,102,7,56,0,1,178,365
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 117","Calgary",2,0,6,134,22,68,0,2,234,437
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 118","Calgary",4,1,9,134,13,88,0,1,250,473
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 119","Calgary",2,0,3,120,16,69,0,1,211,429
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 120","Calgary",1,0,7,125,22,83,0,3,241,378
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 121","Calgary",4,4,7,113,25,41,1,0,195,511
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 122","Calgary",1,0,7,79,16,55,0,1,159,332
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 123","Calgary",0,1,8,114,14,68,3,5,213,461
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 124","Calgary",1,2,12,97,14,66,0,0,192,387
