Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrice Jasmin-Tremblay,Marie-Josée Lemieux,Nicolas Makridis,Lorna Mungur,Yves Robillard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1","Laval",68,70,21,9,95,5,268,482
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 2","Laval",58,59,27,5,97,4,250,487
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 3","Laval",51,75,37,7,106,1,277,544
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 4","Laval",55,96,28,7,89,4,279,451
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 5","Laval",59,70,31,9,83,1,253,408
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 6","Laval",60,68,23,4,82,4,241,376
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 7","Laval",69,61,24,6,104,2,266,449
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 8","Laval",36,45,11,8,120,4,224,463
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 9","Laval",50,53,15,9,74,3,204,424
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 10","Laval",76,51,33,7,107,3,277,485
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 11","Laval",37,40,30,5,137,4,253,460
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 12","Laval",39,39,27,5,105,4,219,426
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 13","Laval",70,41,29,10,139,6,295,508
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 14","Laval",62,63,21,3,138,3,290,437
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 15","Laval",53,43,42,9,98,2,247,437
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 16","Laval",50,48,17,6,99,5,225,431
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 17","Laval",59,54,19,7,112,3,254,391
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 18","Laval",62,59,24,7,106,2,260,456
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 19","Laval",45,52,15,3,108,5,228,388
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 20","Laval",56,30,17,3,78,3,187,366
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 21","Laval",52,63,28,0,128,3,274,467
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 22","Laval",49,62,12,6,105,6,240,388
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 23","Laval",38,59,30,7,132,4,270,457
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 24","Laval",49,36,20,4,81,4,194,429
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 25","Laval",40,57,27,7,133,3,267,419
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 26","Laval",35,54,24,4,141,1,259,350
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 27","Laval",46,53,25,6,95,2,227,316
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 28","Laval",32,56,27,2,96,3,216,344
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 29","Laval",39,44,18,4,78,1,184,320
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 30","Laval",36,53,24,0,104,0,217,342
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 31","Laval",57,52,19,5,71,4,208,435
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 32","Laval",77,45,15,2,94,3,236,453
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 33","Laval",51,38,19,5,76,1,190,387
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 34","Laval",85,68,26,7,117,5,308,529
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 35","Laval",57,61,12,4,119,8,261,454
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 36","Laval",57,71,27,3,104,9,271,470
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 37","Laval",49,64,43,4,145,5,310,478
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 38","Laval",80,45,25,10,62,4,226,400
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 39","Laval",89,69,22,5,80,4,269,447
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 40","Laval",65,76,16,5,80,7,249,408
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 41","Laval",43,39,30,1,92,3,208,400
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 42","Laval",74,67,18,6,83,1,249,432
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 43","Laval",88,59,29,9,65,11,261,437
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 44","Laval",84,53,23,4,95,7,266,425
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 45A","Laval",44,31,1,9,44,3,132,282
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 45B","Laval",17,7,3,0,49,3,79,135
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 46","Laval",60,38,15,7,44,1,165,389
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 47","Laval",47,54,19,4,73,5,202,402
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 48","Laval",45,53,38,2,84,2,224,373
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 49","Laval",40,68,36,0,121,1,266,468
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 50","Laval",61,52,9,2,58,5,187,322
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 51A","Laval",52,59,34,1,68,1,215,387
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 51B","Laval",11,7,3,1,25,0,47,85
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 52","Laval",64,68,24,7,76,2,241,429
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 53","Laval",75,66,15,4,86,0,246,412
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 54","Laval",78,78,16,7,68,7,254,452
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 55","Laval",57,64,21,3,73,8,226,376
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 56","Laval",46,72,22,8,89,3,240,385
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 57","Laval",79,67,25,8,86,2,267,496
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 58","Laval",42,52,46,1,94,2,237,520
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 59","Laval",42,62,31,3,106,3,247,411
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 60","Laval",38,64,25,2,125,4,258,510
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 61","Laval",46,45,11,4,78,1,185,377
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 62","Laval",47,57,28,3,87,3,225,452
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 63","Laval",46,62,34,4,118,1,265,483
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 64","Laval",67,79,27,7,116,3,299,524
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 65","Laval",42,73,36,5,125,3,284,476
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 66","Laval",45,67,19,4,78,2,215,379
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 67","Laval",41,58,44,3,112,1,259,509
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 68","Laval",29,64,34,8,91,2,228,412
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 69","Laval",38,37,44,3,144,2,268,369
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 70","Laval",51,49,26,5,104,2,237,362
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 71","Laval",53,57,29,2,100,4,245,402
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 72","Laval",29,46,26,3,115,2,221,360
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 73","Laval",45,44,29,6,107,1,232,370
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 74","Laval",28,41,36,2,116,1,224,398
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 75","Laval",81,66,46,4,132,3,332,492
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 76","Laval",42,58,26,6,132,2,266,432
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 77","Laval",20,33,32,2,96,2,185,342
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 78","Laval",47,44,19,5,80,3,198,337
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 79","Laval",55,43,18,6,86,6,214,439
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 80","Laval",51,47,19,4,100,4,225,423
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 81","Laval",58,53,25,5,141,0,282,457
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 82","Laval",48,44,37,9,139,4,281,432
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 83","Laval",56,50,33,3,122,3,267,415
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 84","Laval",50,45,20,7,145,3,270,457
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 85","Laval",60,51,26,3,105,6,251,415
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 86","Laval",29,47,25,4,128,0,233,386
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 87","Laval",37,37,7,2,50,2,135,286
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 88","Laval",61,67,20,7,95,5,255,483
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 89","Laval",40,51,34,3,90,2,220,376
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 90","Laval",48,61,28,7,106,2,252,404
