Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chandra Arya,Jean-Luc Roger Cooke,Jesus Cosico,Sean Devine,Hubert Mamba,Tony Seed,Harry Splett,Andy Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35064,"Nepean/Nepean"," 1","Nepean",156,5,1,23,1,0,0,79,2,267,469
35064,"Nepean/Nepean"," 2","Nepean",163,11,0,33,1,1,1,90,1,301,509
35064,"Nepean/Nepean"," 3","Nepean",144,7,1,46,0,0,0,64,0,262,446
35064,"Nepean/Nepean"," 4","Nepean",96,6,2,26,0,0,0,62,0,192,370
35064,"Nepean/Nepean"," 5","Nepean",100,5,0,23,0,0,1,85,2,216,339
35064,"Nepean/Nepean"," 6","Nepean",93,5,1,20,1,0,0,53,0,173,351
35064,"Nepean/Nepean"," 7","Nepean",123,5,1,28,0,0,1,95,3,256,435
35064,"Nepean/Nepean"," 8","Nepean",94,3,0,16,0,0,0,64,0,177,318
35064,"Nepean/Nepean"," 9","Nepean",75,7,1,12,0,0,0,77,0,172,333
35064,"Nepean/Nepean"," 10","Nepean",118,5,0,20,0,0,2,78,1,224,359
35064,"Nepean/Nepean"," 11","Nepean",105,6,0,24,0,0,1,67,1,204,436
35064,"Nepean/Nepean"," 12","Nepean",147,8,1,31,0,0,0,56,0,243,451
35064,"Nepean/Nepean"," 13","Nepean",132,9,1,45,0,0,0,59,3,249,466
35064,"Nepean/Nepean"," 14","Nepean",136,6,0,13,0,0,0,83,1,239,479
35064,"Nepean/Nepean"," 15","Nepean",72,4,0,12,1,0,0,109,3,201,439
35064,"Nepean/Nepean"," 16","Nepean",131,5,3,30,0,0,1,79,1,250,488
35064,"Nepean/Nepean"," 17","Nepean",104,5,1,14,0,0,0,86,0,210,381
35064,"Nepean/Nepean"," 18","Nepean",107,4,4,15,0,0,0,83,0,213,431
35064,"Nepean/Nepean"," 19","Nepean",111,5,0,17,1,0,0,74,1,209,421
35064,"Nepean/Nepean"," 20","Nepean",65,4,0,22,0,0,1,75,1,168,300
35064,"Nepean/Nepean"," 21","Nepean",118,5,1,35,0,0,1,93,7,260,421
35064,"Nepean/Nepean"," 22","Nepean",110,9,1,26,0,0,0,108,0,254,423
35064,"Nepean/Nepean"," 23","Nepean",91,5,5,14,0,0,0,84,0,199,305
35064,"Nepean/Nepean"," 24","Nepean",98,2,1,8,0,0,0,49,0,158,268
35064,"Nepean/Nepean"," 25","Nepean",91,3,2,13,0,0,0,85,0,194,326
35064,"Nepean/Nepean"," 26","Nepean",95,8,0,29,0,0,0,58,0,190,391
35064,"Nepean/Nepean"," 27","Nepean",108,3,1,23,0,0,0,106,0,241,402
35064,"Nepean/Nepean"," 28","Nepean",138,16,0,18,0,0,0,91,0,263,461
35064,"Nepean/Nepean"," 29","Nepean",149,11,0,26,0,0,0,81,2,269,459
35064,"Nepean/Nepean"," 30","Nepean",116,6,1,19,1,0,0,101,0,244,512
35064,"Nepean/Nepean"," 31","Nepean",149,5,0,15,1,1,0,80,0,251,478
35064,"Nepean/Nepean"," 32","Nepean",147,4,0,38,0,1,0,86,1,277,472
35064,"Nepean/Nepean"," 33","Nepean",151,9,3,24,0,1,0,64,0,252,435
35064,"Nepean/Nepean"," 34","Nepean",80,3,3,2,0,0,0,120,0,208,319
35064,"Nepean/Nepean"," 35","Nepean",65,5,1,4,0,0,0,122,0,197,309
35064,"Nepean/Nepean"," 36","Nepean",111,12,2,14,0,2,0,129,2,272,381
35064,"Nepean/Nepean"," 37","Nepean",88,4,0,4,0,0,0,69,0,165,372
35064,"Nepean/Nepean"," 38","Nepean",136,11,1,20,0,0,0,94,1,263,435
35064,"Nepean/Nepean"," 39","Nepean",154,5,2,11,0,0,0,94,1,267,453
35064,"Nepean/Nepean"," 40","Nepean",138,8,0,8,0,0,0,101,0,255,428
35064,"Nepean/Nepean"," 41","Nepean",115,5,1,18,0,0,0,99,0,238,460
35064,"Nepean/Nepean"," 42","Nepean",87,2,2,11,0,1,0,67,1,171,307
35064,"Nepean/Nepean"," 43","Nepean",115,9,0,10,1,0,0,91,0,226,469
35064,"Nepean/Nepean"," 44","Nepean",130,5,0,10,0,1,0,133,0,279,449
35064,"Nepean/Nepean"," 45","Nepean",104,3,1,14,0,0,0,79,0,201,356
35064,"Nepean/Nepean"," 46","Nepean",135,4,0,12,0,0,0,79,1,231,358
35064,"Nepean/Nepean"," 47","Nepean",154,4,3,22,0,0,1,66,4,254,377
35064,"Nepean/Nepean"," 48","Nepean",138,6,3,15,0,0,0,81,0,243,384
35064,"Nepean/Nepean"," 49","Nepean",119,0,4,11,0,0,0,89,0,223,424
35064,"Nepean/Nepean"," 50","Nepean",112,3,2,15,0,0,1,66,0,199,365
35064,"Nepean/Nepean"," 51","Nepean",152,9,7,30,0,0,0,108,1,307,513
35064,"Nepean/Nepean"," 52","Nepean",150,9,2,20,2,0,1,86,0,270,439
35064,"Nepean/Nepean"," 53","Nepean",127,3,1,13,1,0,1,98,2,246,357
35064,"Nepean/Nepean"," 54","Nepean",162,8,2,20,0,0,0,93,2,287,457
35064,"Nepean/Nepean"," 55","Nepean",135,5,3,26,0,0,0,79,0,248,389
35064,"Nepean/Nepean"," 56","Nepean",115,5,1,28,0,0,0,87,1,237,406
35064,"Nepean/Nepean"," 57","Nepean",134,5,6,22,0,0,0,102,0,269,456
35064,"Nepean/Nepean"," 58","Nepean",137,4,1,24,1,0,0,115,0,282,465
35064,"Nepean/Nepean"," 59","Nepean",134,8,4,11,0,0,0,98,0,255,449
35064,"Nepean/Nepean"," 60","Nepean",102,5,7,15,1,0,0,116,2,248,448
35064,"Nepean/Nepean"," 61","Nepean",138,9,2,40,0,1,0,85,1,276,538
35064,"Nepean/Nepean"," 62","Nepean",129,5,0,21,1,1,0,110,0,267,437
35064,"Nepean/Nepean"," 63A","Nepean",131,5,1,32,0,0,0,53,3,225,373
35064,"Nepean/Nepean"," 63B","Nepean",149,5,1,20,1,0,0,63,0,239,384
35064,"Nepean/Nepean"," 64A","Nepean",149,2,2,14,0,0,1,104,3,275,423
