Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Pierre Asselin,Andrée-Anne Beaudoin-Julien,Denis Blanchette,Stefan Jetchick,Joël Lightbound,Caroline Pageau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Louis-Hébert/Louis-Hébert"," 1","Québec",35,5,18,0,100,31,1,190,292
24044,"Louis-Hébert/Louis-Hébert"," 2","Québec",17,7,52,0,60,45,2,183,316
24044,"Louis-Hébert/Louis-Hébert"," 3","Québec",61,2,59,0,94,30,2,248,441
24044,"Louis-Hébert/Louis-Hébert"," 4","Québec",16,0,23,0,74,25,0,138,419
24044,"Louis-Hébert/Louis-Hébert"," 5","Québec",19,4,21,0,18,14,1,77,219
24044,"Louis-Hébert/Louis-Hébert"," 6","Québec",43,2,37,0,78,34,1,195,334
24044,"Louis-Hébert/Louis-Hébert"," 7","Québec",18,8,77,1,59,33,2,198,303
24044,"Louis-Hébert/Louis-Hébert"," 8","Québec",36,4,47,0,85,33,0,205,378
24044,"Louis-Hébert/Louis-Hébert"," 9A","Québec",32,8,64,0,76,42,3,225,417
24044,"Louis-Hébert/Louis-Hébert"," 9B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,41
24044,"Louis-Hébert/Louis-Hébert"," 10","Québec",27,5,53,0,41,32,5,163,336
24044,"Louis-Hébert/Louis-Hébert"," 11","Québec",48,6,53,2,94,28,1,232,458
24044,"Louis-Hébert/Louis-Hébert"," 12","Québec",51,6,53,0,110,58,0,278,507
24044,"Louis-Hébert/Louis-Hébert"," 13","Québec",63,6,52,1,132,33,1,288,489
24044,"Louis-Hébert/Louis-Hébert"," 14","Québec",71,2,45,0,120,30,3,271,500
24044,"Louis-Hébert/Louis-Hébert"," 15","Québec",76,10,57,0,112,31,2,288,453
24044,"Louis-Hébert/Louis-Hébert"," 16","Québec",46,6,58,1,96,32,0,239,442
