Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Gauvin,Joël Godin,Raymond Harvey,Élaine Michaud,Johanne Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 1","Stoneham-et-Tewkesbury",29,46,37,45,6,0,163,319
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 2","Stoneham-et-Tewkesbury",25,77,23,28,5,2,160,343
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 3","Stoneham-et-Tewkesbury",38,67,20,23,3,2,153,373
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 4","Stoneham-et-Tewkesbury",46,115,27,48,2,4,242,439
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 5","Stoneham-et-Tewkesbury",42,83,25,37,3,6,196,437
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 6","Stoneham-et-Tewkesbury",55,94,24,37,7,5,222,439
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 7","Stoneham-et-Tewkesbury",46,88,27,46,2,0,209,413
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 8","Stoneham-et-Tewkesbury",65,113,27,45,6,4,260,530
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 9","Stoneham-et-Tewkesbury",36,58,12,27,4,2,139,302
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 10","Stoneham-et-Tewkesbury",34,74,11,20,4,2,145,263
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 11","Stoneham-et-Tewkesbury",31,65,21,31,7,7,162,379
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 12","Stoneham-et-Tewkesbury",23,75,18,33,6,4,159,369
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 13","Stoneham-et-Tewkesbury",38,51,21,21,8,1,140,399
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 14","Stoneham-et-Tewkesbury",33,91,19,24,4,2,173,395
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 15","Stoneham-et-Tewkesbury",17,54,23,18,1,3,116,216
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 16","Stoneham-et-Tewkesbury",32,79,15,14,0,3,143,251
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 17","Stoneham-et-Tewkesbury",38,70,33,67,7,4,219,420
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 18","Sainte-Brigitte-de-Laval",26,76,27,44,3,2,178,353
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 19","Sainte-Brigitte-de-Laval",57,95,34,28,8,2,224,401
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 20","Sainte-Brigitte-de-Laval",34,140,37,44,4,4,263,469
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 21","Sainte-Brigitte-de-Laval",43,107,17,27,4,0,198,353
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 22","Sainte-Brigitte-de-Laval",31,105,18,30,7,0,191,370
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 23","Sainte-Brigitte-de-Laval",31,62,11,24,1,5,134,286
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 24","Sainte-Brigitte-de-Laval",30,78,16,15,5,1,145,262
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 25","L'Ange-Gardien",33,74,36,33,7,3,186,348
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 26","Sainte-Brigitte-de-Laval",56,145,33,31,6,3,274,429
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 27","Sainte-Brigitte-de-Laval",70,162,34,38,3,9,316,532
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 28","Sainte-Brigitte-de-Laval",52,178,44,57,7,8,346,585
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 29","Sainte-Brigitte-de-Laval",11,50,21,33,4,2,121,252
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 30","Sainte-Brigitte-de-Laval",23,80,20,21,0,1,145,279
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 31","L'Ange-Gardien",25,73,15,30,7,2,152,282
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 32","Lac-Beauport",44,110,36,39,2,4,235,476
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 33","Lac-Beauport",59,80,35,43,8,5,230,420
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 34","Lac-Beauport",40,40,12,16,4,1,113,203
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 35","Lac-Beauport",57,101,34,47,4,1,244,440
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 36","Lac-Beauport",60,66,29,39,5,3,202,379
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 37","Lac-Beauport",39,62,15,24,3,2,145,272
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 38","Lac-Beauport",35,58,11,22,1,0,127,255
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 39","Lac-Beauport",37,52,9,23,0,1,122,260
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 40","Lac-Beauport",39,45,10,15,4,1,114,239
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 41","Lac-Beauport",76,105,24,46,6,1,258,478
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 42","Lac-Beauport",48,49,12,15,1,0,125,237
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 43","Lac-Beauport",26,42,20,26,5,1,120,253
