Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dominique Breau,Serge Cormier,Riba Girouard-Riordon,Jason Godin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 1","Miscou Plains",3,82,12,97,2,196,291
13001,"Acadie--Bathurst/Acadie--Bathurst"," 2","Miscou Centre",2,62,10,42,0,116,211
13001,"Acadie--Bathurst/Acadie--Bathurst"," 3","Pigeon Hill",4,136,17,84,3,244,358
13001,"Acadie--Bathurst/Acadie--Bathurst"," 4","Coteau Road",1,112,11,122,0,246,434
13001,"Acadie--Bathurst/Acadie--Bathurst"," 5","Cap-Bateau",3,106,9,105,0,223,351
13001,"Acadie--Bathurst/Acadie--Bathurst"," 6","Cap-Bateau",6,86,4,133,3,232,394
13001,"Acadie--Bathurst/Acadie--Bathurst"," 7","Sainte-Marie--Saint-Raphaël",3,64,3,97,1,168,311
13001,"Acadie--Bathurst/Acadie--Bathurst"," 8A","Lamèque",9,119,12,79,1,220,432
13001,"Acadie--Bathurst/Acadie--Bathurst"," 8B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,16
13001,"Acadie--Bathurst/Acadie--Bathurst"," 9","Lamèque",3,63,16,61,1,144,349
13001,"Acadie--Bathurst/Acadie--Bathurst"," 10","Pointe-Alexandre",4,57,7,68,0,136,257
13001,"Acadie--Bathurst/Acadie--Bathurst"," 11","Petite-Lamèque",1,60,9,66,1,137,288
13001,"Acadie--Bathurst/Acadie--Bathurst"," 12","Lamèque",2,44,8,64,2,120,283
13001,"Acadie--Bathurst/Acadie--Bathurst"," 13","Sainte-Marie--Saint-Raphaël",4,63,9,91,0,167,260
13001,"Acadie--Bathurst/Acadie--Bathurst"," 14","Petite-Rivière-de-l'Ile",9,79,2,74,0,164,262
13001,"Acadie--Bathurst/Acadie--Bathurst"," 15","Petite-Rivière-de-l'Ile",7,102,9,117,2,237,388
13001,"Acadie--Bathurst/Acadie--Bathurst"," 16","Sainte-Cécile",3,57,3,82,2,147,271
13001,"Acadie--Bathurst/Acadie--Bathurst"," 17","Pokesudie",1,107,10,75,0,193,333
13001,"Acadie--Bathurst/Acadie--Bathurst"," 18","Bas-Caraquet",2,110,14,103,1,230,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 19","Bas-Caraquet",1,110,11,99,0,221,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 20","Bas-Caraquet",1,81,10,95,2,189,319
13001,"Acadie--Bathurst/Acadie--Bathurst"," 21","Chiasson",2,78,5,135,3,223,414
13001,"Acadie--Bathurst/Acadie--Bathurst"," 22","Shippegan",6,47,10,39,3,105,252
13001,"Acadie--Bathurst/Acadie--Bathurst"," 23A","Haut-Shippegan",4,84,15,75,1,179,340
13001,"Acadie--Bathurst/Acadie--Bathurst"," 23B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,88
13001,"Acadie--Bathurst/Acadie--Bathurst"," 24","Shippagan",3,76,1,83,2,165,345
13001,"Acadie--Bathurst/Acadie--Bathurst"," 25","Shippagan",7,103,11,78,2,201,386
13001,"Acadie--Bathurst/Acadie--Bathurst"," 26","Shippagan",4,75,4,96,1,180,347
13001,"Acadie--Bathurst/Acadie--Bathurst"," 27","Shippagan",4,100,9,76,2,191,351
13001,"Acadie--Bathurst/Acadie--Bathurst"," 28","Haut-Shippegan",2,100,6,106,3,217,378
13001,"Acadie--Bathurst/Acadie--Bathurst"," 29","Le Goulet",2,110,6,122,1,241,390
13001,"Acadie--Bathurst/Acadie--Bathurst"," 30","Shippagan--Pointe-Sauvage",4,73,7,77,1,162,297
13001,"Acadie--Bathurst/Acadie--Bathurst"," 31","Le Goulet",3,116,3,89,0,211,339
13001,"Acadie--Bathurst/Acadie--Bathurst"," 32","Centre-Saint-Simon",3,102,10,77,0,192,347
13001,"Acadie--Bathurst/Acadie--Bathurst"," 33","Haut-Saint-Simon",2,89,7,52,1,151,273
13001,"Acadie--Bathurst/Acadie--Bathurst"," 34","Caraquet",2,76,8,41,1,128,267
13001,"Acadie--Bathurst/Acadie--Bathurst"," 35","Caraquet",1,120,14,57,0,192,374
13001,"Acadie--Bathurst/Acadie--Bathurst"," 36","Caraquet",1,105,7,91,1,205,371
13001,"Acadie--Bathurst/Acadie--Bathurst"," 37","Caraquet",4,138,3,93,0,238,436
13001,"Acadie--Bathurst/Acadie--Bathurst"," 38","Caraquet",2,114,6,59,0,181,362
13001,"Acadie--Bathurst/Acadie--Bathurst"," 39A","Caraquet",5,74,4,37,0,120,235
13001,"Acadie--Bathurst/Acadie--Bathurst"," 39B","Caraquet",3,88,7,28,0,126,246
13001,"Acadie--Bathurst/Acadie--Bathurst"," 40","Pointe-Rocheuse",5,124,10,75,2,216,454
13001,"Acadie--Bathurst/Acadie--Bathurst"," 41A","Caraquet",0,77,7,37,2,123,242
13001,"Acadie--Bathurst/Acadie--Bathurst"," 41B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,44
13001,"Acadie--Bathurst/Acadie--Bathurst"," 42","Sainte-Anne-du-Bocage",1,71,13,67,1,153,339
13001,"Acadie--Bathurst/Acadie--Bathurst"," 43A","Caraquet",7,91,2,35,1,136,251
13001,"Acadie--Bathurst/Acadie--Bathurst"," 43B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,44
13001,"Acadie--Bathurst/Acadie--Bathurst"," 44","Maisonnette",1,51,1,102,1,156,234
13001,"Acadie--Bathurst/Acadie--Bathurst"," 45","Maisonnette",2,40,4,103,3,152,236
13001,"Acadie--Bathurst/Acadie--Bathurst"," 46","Grande Anse",1,66,6,52,0,125,217
13001,"Acadie--Bathurst/Acadie--Bathurst"," 47","Dugas--Anse-Bleu",5,47,0,69,0,121,229
13001,"Acadie--Bathurst/Acadie--Bathurst"," 48","Grande Anse",2,61,4,86,0,153,345
13001,"Acadie--Bathurst/Acadie--Bathurst"," 49","Grande Anse",1,83,6,55,0,145,283
13001,"Acadie--Bathurst/Acadie--Bathurst"," 50","Saint-Léolin",1,86,9,74,1,171,295
13001,"Acadie--Bathurst/Acadie--Bathurst"," 51","Saint-Léolin",3,108,4,71,3,189,288
13001,"Acadie--Bathurst/Acadie--Bathurst"," 52","Pokeshaw",5,43,51,36,0,135,208
13001,"Acadie--Bathurst/Acadie--Bathurst"," 53A","Petit-Paquetville",2,84,7,78,1,172,346
13001,"Acadie--Bathurst/Acadie--Bathurst"," 53B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°518,,,,,,9
13001,"Acadie--Bathurst/Acadie--Bathurst"," 54","Rang-Saint-Georges",0,83,2,91,0,176,323
13001,"Acadie--Bathurst/Acadie--Bathurst"," 55","Rang-Saint-Georges",2,86,5,80,12,185,380
13001,"Acadie--Bathurst/Acadie--Bathurst"," 56","Paquetville",1,85,3,67,0,156,295
13001,"Acadie--Bathurst/Acadie--Bathurst"," 57","Burnsville",2,79,5,122,1,209,395
13001,"Acadie--Bathurst/Acadie--Bathurst"," 58","Duguayville",1,51,1,62,0,115,283
13001,"Acadie--Bathurst/Acadie--Bathurst"," 59","Blanchard Settlement",3,102,7,92,1,205,322
13001,"Acadie--Bathurst/Acadie--Bathurst"," 60","Maltampec",9,123,8,80,1,221,371
13001,"Acadie--Bathurst/Acadie--Bathurst"," 61A","Maltampec",4,90,6,87,2,189,288
13001,"Acadie--Bathurst/Acadie--Bathurst"," 61B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,10
13001,"Acadie--Bathurst/Acadie--Bathurst"," 62","Evangeline",4,117,7,117,3,248,349
13001,"Acadie--Bathurst/Acadie--Bathurst"," 63","Inkerman",4,118,25,85,4,236,331
13001,"Acadie--Bathurst/Acadie--Bathurst"," 64","Four Roads",1,95,8,134,1,239,355
13001,"Acadie--Bathurst/Acadie--Bathurst"," 65","Six Roads",7,111,12,104,2,236,409
13001,"Acadie--Bathurst/Acadie--Bathurst"," 66","Landry",3,118,10,82,2,215,321
13001,"Acadie--Bathurst/Acadie--Bathurst"," 67","Sainte-Rose",6,90,9,84,0,189,337
13001,"Acadie--Bathurst/Acadie--Bathurst"," 68","Sainte-Rose",2,81,7,85,3,178,299
13001,"Acadie--Bathurst/Acadie--Bathurst"," 69","Gaspereau",10,107,6,141,1,265,448
13001,"Acadie--Bathurst/Acadie--Bathurst"," 70A","Saumarez",5,65,10,76,0,156,238
13001,"Acadie--Bathurst/Acadie--Bathurst"," 70B","Saumarez",7,52,6,66,3,134,228
13001,"Acadie--Bathurst/Acadie--Bathurst"," 71","Pont-Landry",5,102,7,59,0,173,253
13001,"Acadie--Bathurst/Acadie--Bathurst"," 72","Tracadie-Sheila",5,76,7,77,1,166,354
13001,"Acadie--Bathurst/Acadie--Bathurst"," 73","Tracadie-Sheila",7,99,7,54,1,168,325
13001,"Acadie--Bathurst/Acadie--Bathurst"," 74","Gauvreau",13,116,3,101,3,236,412
13001,"Acadie--Bathurst/Acadie--Bathurst"," 75","Tracadie-Sheila",4,83,15,73,3,178,364
13001,"Acadie--Bathurst/Acadie--Bathurst"," 76","Rivière-à-la-Truite",3,123,6,80,1,213,378
13001,"Acadie--Bathurst/Acadie--Bathurst"," 77","Pointe-à-Boileau",5,90,9,77,0,181,371
13001,"Acadie--Bathurst/Acadie--Bathurst"," 78","Pointe-à-Boileau",15,110,7,85,1,218,395
13001,"Acadie--Bathurst/Acadie--Bathurst"," 79","Tracadie-Sheila",11,113,19,64,0,207,373
13001,"Acadie--Bathurst/Acadie--Bathurst"," 80","Tracadie-Sheila",4,78,10,78,0,170,300
13001,"Acadie--Bathurst/Acadie--Bathurst"," 81","Tracadie-Sheila",8,92,9,66,4,179,344
13001,"Acadie--Bathurst/Acadie--Bathurst"," 82","Tracadie-Sheila",11,71,5,64,0,151,360
13001,"Acadie--Bathurst/Acadie--Bathurst"," 83A","Tracadie-Sheila",7,48,10,53,2,120,274
13001,"Acadie--Bathurst/Acadie--Bathurst"," 83B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,0
13001,"Acadie--Bathurst/Acadie--Bathurst"," 84A","Tracadie-Sheila",5,60,12,60,0,137,319
13001,"Acadie--Bathurst/Acadie--Bathurst"," 84B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507A,,,,,,72
13001,"Acadie--Bathurst/Acadie--Bathurst"," 85","Tracadie-Sheila",6,95,5,54,2,162,327
13001,"Acadie--Bathurst/Acadie--Bathurst"," 86","Saumarez",7,85,7,106,1,206,389
13001,"Acadie--Bathurst/Acadie--Bathurst"," 87","Saumarez",8,111,5,140,0,264,386
13001,"Acadie--Bathurst/Acadie--Bathurst"," 88A","Haut Sheila",7,111,7,95,1,221,378
13001,"Acadie--Bathurst/Acadie--Bathurst"," 88B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,8
13001,"Acadie--Bathurst/Acadie--Bathurst"," 89","Saint-Pons",6,69,5,78,2,160,330
13001,"Acadie--Bathurst/Acadie--Bathurst"," 90","Haut Sheila",8,87,3,99,3,200,370
13001,"Acadie--Bathurst/Acadie--Bathurst"," 91","Leech",3,79,8,72,2,164,292
13001,"Acadie--Bathurst/Acadie--Bathurst"," 92","Leech",3,70,1,60,0,134,222
13001,"Acadie--Bathurst/Acadie--Bathurst"," 93","Val-Comeau",6,154,9,94,0,263,365
13001,"Acadie--Bathurst/Acadie--Bathurst"," 94","Tracadie Beach",9,111,13,113,3,249,389
13001,"Acadie--Bathurst/Acadie--Bathurst"," 95","Pont-Lafrance",9,89,5,107,1,211,352
13001,"Acadie--Bathurst/Acadie--Bathurst"," 96","Pont-Lafrance",7,49,5,87,0,148,271
13001,"Acadie--Bathurst/Acadie--Bathurst"," 97","Saint-Irénée",5,94,7,104,1,211,351
13001,"Acadie--Bathurst/Acadie--Bathurst"," 98","Saint-Irénée",3,90,7,100,0,200,285
13001,"Acadie--Bathurst/Acadie--Bathurst"," 99","Hacheyville",12,77,7,52,0,148,296
13001,"Acadie--Bathurst/Acadie--Bathurst"," 100","St. Isidore",11,82,4,61,1,159,298
13001,"Acadie--Bathurst/Acadie--Bathurst"," 101","Hacheyville",11,81,5,83,0,180,358
13001,"Acadie--Bathurst/Acadie--Bathurst"," 102","Tilley Road",15,71,8,79,1,174,350
13001,"Acadie--Bathurst/Acadie--Bathurst"," 103","Tilley Road--Bois Gagnon",6,74,8,85,1,174,314
13001,"Acadie--Bathurst/Acadie--Bathurst"," 104","Val-Doucet",1,58,4,93,0,156,333
13001,"Acadie--Bathurst/Acadie--Bathurst"," 105","Val-Doucet",2,50,11,109,0,172,256
13001,"Acadie--Bathurst/Acadie--Bathurst"," 106","Notre-Dame-des-Érables",2,95,13,146,0,256,363
13001,"Acadie--Bathurst/Acadie--Bathurst"," 107","Salmon Beach",4,67,69,36,0,176,299
13001,"Acadie--Bathurst/Acadie--Bathurst"," 108","Janesville",4,79,71,34,1,189,334
13001,"Acadie--Bathurst/Acadie--Bathurst"," 109","Beresford",3,127,17,63,2,212,390
13001,"Acadie--Bathurst/Acadie--Bathurst"," 110","Beresford",7,107,19,43,2,178,300
13001,"Acadie--Bathurst/Acadie--Bathurst"," 111A","Beresford",4,78,11,34,0,127,251
13001,"Acadie--Bathurst/Acadie--Bathurst"," 111B","Beresford",4,79,5,38,1,127,236
13001,"Acadie--Bathurst/Acadie--Bathurst"," 112A","Beresford",9,82,9,36,0,136,264
13001,"Acadie--Bathurst/Acadie--Bathurst"," 112B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°516A,,,,,,11
13001,"Acadie--Bathurst/Acadie--Bathurst"," 113","Beresford",1,100,12,40,0,153,329
13001,"Acadie--Bathurst/Acadie--Bathurst"," 114","Beresford",4,111,13,68,0,196,343
13001,"Acadie--Bathurst/Acadie--Bathurst"," 115","Beresford",0,121,9,36,1,167,312
13001,"Acadie--Bathurst/Acadie--Bathurst"," 116","Beresford",3,116,11,29,1,160,286
13001,"Acadie--Bathurst/Acadie--Bathurst"," 117","Beresford",2,104,7,45,1,159,322
13001,"Acadie--Bathurst/Acadie--Bathurst"," 118","Beresford",4,123,10,62,2,201,394
13001,"Acadie--Bathurst/Acadie--Bathurst"," 119","Nigadoo",5,170,13,60,3,251,402
13001,"Acadie--Bathurst/Acadie--Bathurst"," 120","Nigadoo",2,154,12,75,0,243,415
13001,"Acadie--Bathurst/Acadie--Bathurst"," 121","Petit-Rocher-Nord",9,106,11,45,0,171,341
13001,"Acadie--Bathurst/Acadie--Bathurst"," 122","Petit-Rocher",4,118,7,68,0,197,370
13001,"Acadie--Bathurst/Acadie--Bathurst"," 123","Petit-Rocher-Sud",2,139,5,62,0,208,353
13001,"Acadie--Bathurst/Acadie--Bathurst"," 124","Tremblay",1,109,2,53,0,165,272
13001,"Acadie--Bathurst/Acadie--Bathurst"," 125","Petit-Rocher",1,133,8,59,1,202,372
13001,"Acadie--Bathurst/Acadie--Bathurst"," 126","Pointe-Verte",4,111,4,39,0,158,237
13001,"Acadie--Bathurst/Acadie--Bathurst"," 127","Pointe-Verte",2,107,9,63,1,182,264
13001,"Acadie--Bathurst/Acadie--Bathurst"," 128","Pointe-Verte",2,130,4,62,0,198,264
13001,"Acadie--Bathurst/Acadie--Bathurst"," 129","Madran",5,124,12,92,3,236,380
13001,"Acadie--Bathurst/Acadie--Bathurst"," 130A","Petit-Rocher",4,115,13,44,2,178,312
13001,"Acadie--Bathurst/Acadie--Bathurst"," 130B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,21
13001,"Acadie--Bathurst/Acadie--Bathurst"," 131A","Petit-Rocher",0,109,8,39,0,156,286
13001,"Acadie--Bathurst/Acadie--Bathurst"," 131B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°514,,,,,,8
13001,"Acadie--Bathurst/Acadie--Bathurst"," 132","Petit-Rocher",1,109,6,49,1,166,283
13001,"Acadie--Bathurst/Acadie--Bathurst"," 133","Petit-Rocher",4,85,9,42,0,140,280
13001,"Acadie--Bathurst/Acadie--Bathurst"," 134","Jacquet River",1,46,12,46,2,107,265
13001,"Acadie--Bathurst/Acadie--Bathurst"," 135","Belledune",5,39,16,28,3,91,214
13001,"Acadie--Bathurst/Acadie--Bathurst"," 136","Lorne",2,41,15,31,2,91,228
13001,"Acadie--Bathurst/Acadie--Bathurst"," 137","Belledune",4,56,13,24,0,97,246
13001,"Acadie--Bathurst/Acadie--Bathurst"," 138","Belledune",9,88,44,62,1,204,323
13001,"Acadie--Bathurst/Acadie--Bathurst"," 139","Laplante",2,100,4,40,0,146,250
13001,"Acadie--Bathurst/Acadie--Bathurst"," 140","Alcida",1,91,3,46,1,142,264
13001,"Acadie--Bathurst/Acadie--Bathurst"," 141","Robertville",2,144,18,77,0,241,439
13001,"Acadie--Bathurst/Acadie--Bathurst"," 142","Free Grant",4,94,1,54,0,153,318
13001,"Acadie--Bathurst/Acadie--Bathurst"," 143","Robertville",7,152,10,76,1,246,453
