Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Bragdon,TJ Harvey,Robert Kitchen,Terry Wishart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 1","Riley Brook",50,29,5,2,0,86,130
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 2","New Denmark",47,106,28,10,0,191,338
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 3","Salmonhurst Corner",61,97,18,7,1,184,377
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 4","Drummond",24,109,27,10,3,173,334
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 5","Drummond",20,89,31,5,2,147,344
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 6","Drummond",28,86,21,6,3,144,296
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 7","Drummond",17,83,16,3,0,119,285
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 8","Drummond",16,89,20,9,2,136,325
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 9","Drummond",22,88,23,10,2,145,289
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 10","Drummond",17,117,27,4,1,166,367
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 11","Saint-André",20,86,21,6,2,135,208
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 12","Saint-André",15,101,27,3,3,149,271
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 13","Saint-André",17,106,18,5,3,149,258
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 14","Saint-André",14,105,29,6,5,159,238
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 15","Saint-André",20,121,42,14,6,203,373
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 16","Saint-André",24,82,19,9,1,135,265
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 17","Grand Falls--Grand-Sault",15,101,15,5,1,137,331
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 18","Grand Falls--Grand-Sault",28,94,29,4,1,156,389
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 19","Grand Falls--Grand-Sault",33,133,32,6,1,205,443
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 20","Grand Falls--Grand-Sault",30,101,26,5,2,164,358
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 21","Grand Falls--Grand-Sault",24,98,29,5,3,159,390
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 22","Grand Falls--Grand-Sault",20,87,16,7,2,132,387
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 23","Grand Falls--Grand-Sault",26,90,29,3,2,150,419
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 24","Grand Falls--Grand-Sault",19,94,20,7,4,144,346
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 25","Grand Falls--Grand-Sault",33,114,19,4,0,170,423
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 26","Grand Falls--Grand-Sault",29,116,30,5,1,181,439
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 27","Grand Falls--Grand-Sault",35,107,37,3,1,183,407
