Political affiliation/Appartenance politique,0-9.9,10-19.9,20-29.9,30-39.9,40 or more/40 et plus,Total
"Alliance of the North/Alliance du Nord",1,0,0,0,0,1
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",8,0,0,0,0,8
"Bloc Québécois/Bloc Québécois",13,30,26,8,1,78
"Canada Party/Parti Canada",1,0,0,0,0,1
"Canadian Action Party/Parti action canadienne",3,0,0,0,0,3
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",30,0,0,0,0,30
"Communist Party of Canada/Parti communiste du Canada",26,0,0,0,0,26
"Conservative Party of Canada/Parti conservateur du Canada",29,79,54,73,103,338
"Democratic Advancement Party of Canada/Parti pour l'Avancement de la Démocratie au Canada",4,0,0,0,0,4
"Forces et Démocratie/Forces et Démocratie",16,1,0,0,0,17
"Green Party of Canada/Le Parti Vert du Canada",327,7,0,1,1,336
"Liberal Party of Canada/Parti libéral du Canada",1,23,71,72,171,338
"Libertarian Party of Canada/Parti Libertarien du Canada",72,0,0,0,0,72
"Marijuana Party/Parti Marijuana",8,0,0,0,0,8
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",70,0,0,0,0,70
"New Democratic Party/Nouveau Parti démocratique",78,111,78,49,22,338
"Party for Accountability, Competency and Transparency/Parti pour la Responsabilisation, la Compétence et la Transparence",1,0,0,0,0,1
"Pirate Party of Canada/Parti Pirate du Canada",5,0,0,0,0,5
"Progressive Canadian Party/Parti Progressiste Canadien",8,0,0,0,0,8
"Rhinoceros Party/Parti Rhinocéros",27,0,0,0,0,27
"Seniors Party of Canada/Parti des aînés du Canada",1,0,0,0,0,1
"The Bridge Party of Canada/Parti pour nouer des liens entre Canadiens",1,0,0,0,0,1
"United Party of Canada/Parti Uni du Canada",1,0,0,0,0,1
"Independent/Indépendant",72,2,0,0,0,74
"No Affiliation/Aucune appartenance",5,1,0,0,0,6
