Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Margaret Andrade,Gord Brown,Mary Jean McFall,Lorraine A. Rekmans,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 1","North Grenville",11,100,70,6,0,187,319
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 2","North Grenville",8,89,75,8,1,181,322
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 3","North Grenville",10,119,60,5,1,195,391
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 4","North Grenville",16,141,85,6,0,248,442
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 5","North Grenville",15,112,58,5,1,191,348
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 6","North Grenville",7,56,49,3,0,115,243
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 7","North Grenville",2,77,68,5,0,152,286
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 8","North Grenville",21,183,121,16,0,341,645
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 9","North Grenville",15,64,41,11,1,132,294
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 10","North Grenville",5,72,54,4,0,135,300
35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes"," 11","North Grenville",15,70,64,10,1,160,327
