Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Johnstone,Peter Ormond,Vincent Samuel,Filomena Tassi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 1","Dundas",51,13,57,100,1,222,379
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 2","Dundas",34,14,85,150,2,285,459
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 3","Dundas",31,12,89,157,0,289,448
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 4","Dundas",50,22,82,133,1,288,437
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 5","Dundas",26,18,68,116,0,228,339
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 6","Dundas",38,19,87,148,0,292,465
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 7","Dundas",39,15,37,131,0,222,391
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 8","Dundas",38,4,53,57,0,152,309
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 9","Dundas",40,23,65,68,0,196,310
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 10","Dundas",26,11,45,95,1,178,405
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 11","Hamilton ",37,21,34,158,1,251,390
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 12","Hamilton ",44,18,38,131,0,231,376
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 13","Hamilton ",52,16,35,149,0,252,412
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 14","Hamilton ",88,16,50,181,1,336,473
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 15","Hamilton ",51,16,54,126,1,248,477
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 16","Hamilton ",31,8,49,119,0,207,357
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 17","Hamilton ",25,7,34,174,0,240,380
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 18","Hamilton ",51,10,38,118,0,217,373
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 19","Hamilton ",46,11,40,130,1,228,428
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 20","Hamilton ",44,9,49,118,2,222,410
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 21","Hamilton ",38,12,29,111,2,192,405
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 22","Hamilton ",56,15,40,154,4,269,508
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 23","Hamilton ",47,8,60,153,3,271,474
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 24","Hamilton ",25,11,37,75,2,150,375
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 25","Dundas",52,14,63,123,0,252,448
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 26","Dundas",43,17,55,114,3,232,409
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 27","Dundas",43,8,49,128,0,228,443
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 28","Dundas",43,16,78,165,0,302,469
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 29","Dundas",41,21,78,139,0,279,432
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 30","Hamilton ",28,13,38,63,0,142,320
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 31","Hamilton ",29,10,35,57,2,133,331
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 32","Hamilton ",43,13,53,82,4,195,358
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 33","Hamilton ",39,12,64,129,1,245,364
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 34","Hamilton ",53,13,59,138,3,266,495
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 35","Hamilton ",31,13,37,62,1,144,291
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 36","Hamilton ",50,11,46,135,1,243,442
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 37","Hamilton ",53,12,61,137,0,263,492
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 38","Hamilton ",41,10,34,72,0,157,333
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 39","Hamilton ",11,3,14,60,0,88,188
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 40","Hamilton ",56,14,79,154,2,305,458
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 41","Ancaster",11,9,131,115,2,268,430
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 42","Ancaster",26,23,87,149,0,285,464
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 43","Ancaster",15,4,115,92,0,226,398
