Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Étienne Boulrice,Maude Chouinard-Boucher,Luc Desjardins,Greg Fergus,Roger Fleury,Gabriel Girard-Bernier,Sean J. Mulligan,Nycole Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Hull--Aylmer/Hull--Aylmer"," 1","Gatineau",15,41,0,163,1,0,1,95,1,317,485
24030,"Hull--Aylmer/Hull--Aylmer"," 2","Gatineau",10,28,0,184,3,0,0,84,1,310,447
24030,"Hull--Aylmer/Hull--Aylmer"," 3","Gatineau",10,34,1,122,4,0,0,94,3,268,434
24030,"Hull--Aylmer/Hull--Aylmer"," 4","Gatineau",5,20,1,108,3,0,0,53,1,191,370
24030,"Hull--Aylmer/Hull--Aylmer"," 5","Gatineau",6,18,1,131,2,2,0,80,0,240,392
24030,"Hull--Aylmer/Hull--Aylmer"," 6","Gatineau",32,18,0,156,6,0,1,69,1,283,394
24030,"Hull--Aylmer/Hull--Aylmer"," 7","Gatineau",19,23,0,142,3,0,0,92,0,279,425
24030,"Hull--Aylmer/Hull--Aylmer"," 8","Gatineau",22,19,2,148,6,1,0,78,2,278,407
24030,"Hull--Aylmer/Hull--Aylmer"," 9","Gatineau",14,10,0,113,2,0,0,45,1,185,376
24030,"Hull--Aylmer/Hull--Aylmer"," 10","Gatineau",9,26,1,120,2,1,4,70,1,234,416
24030,"Hull--Aylmer/Hull--Aylmer"," 11","Gatineau",10,15,1,97,6,2,0,67,2,200,381
24030,"Hull--Aylmer/Hull--Aylmer"," 12","Gatineau",9,8,3,52,5,0,0,40,1,118,264
24030,"Hull--Aylmer/Hull--Aylmer"," 13","Gatineau",13,17,1,119,9,0,0,106,0,265,443
24030,"Hull--Aylmer/Hull--Aylmer"," 14","Gatineau",13,15,0,90,4,0,0,46,1,169,333
24030,"Hull--Aylmer/Hull--Aylmer"," 15","Gatineau",7,26,0,86,2,1,1,68,1,192,359
24030,"Hull--Aylmer/Hull--Aylmer"," 16","Gatineau",3,4,0,71,3,1,1,49,2,134,303
24030,"Hull--Aylmer/Hull--Aylmer"," 17","Gatineau",3,16,0,64,4,0,2,44,1,134,287
24030,"Hull--Aylmer/Hull--Aylmer"," 18","Gatineau",4,12,1,68,2,1,2,31,0,121,358
24030,"Hull--Aylmer/Hull--Aylmer"," 19","Gatineau",12,19,2,101,0,3,0,73,0,210,341
24030,"Hull--Aylmer/Hull--Aylmer"," 20","Gatineau",11,18,1,100,2,0,0,71,2,205,344
24030,"Hull--Aylmer/Hull--Aylmer"," 21","Gatineau",11,10,1,67,7,2,0,40,0,138,447
24030,"Hull--Aylmer/Hull--Aylmer"," 22","Gatineau",6,8,2,71,2,1,0,33,0,123,314
24030,"Hull--Aylmer/Hull--Aylmer"," 23","Gatineau",11,12,0,76,2,1,1,67,1,171,380
24030,"Hull--Aylmer/Hull--Aylmer"," 24","Gatineau",6,18,0,96,2,2,0,72,3,199,380
24030,"Hull--Aylmer/Hull--Aylmer"," 25","Gatineau",8,28,0,91,5,0,3,66,1,202,362
24030,"Hull--Aylmer/Hull--Aylmer"," 26","Gatineau",20,21,0,108,6,1,1,62,11,230,402
24030,"Hull--Aylmer/Hull--Aylmer"," 27","Gatineau",25,24,1,82,6,0,2,69,0,209,341
24030,"Hull--Aylmer/Hull--Aylmer"," 28","Gatineau",6,9,0,114,4,1,0,76,0,210,392
24030,"Hull--Aylmer/Hull--Aylmer"," 29","Gatineau",17,31,2,113,1,2,2,86,4,258,485
24030,"Hull--Aylmer/Hull--Aylmer"," 30","Gatineau",9,11,0,83,4,1,0,48,2,158,402
24030,"Hull--Aylmer/Hull--Aylmer"," 31","Gatineau",22,14,3,106,5,1,1,70,2,224,365
24030,"Hull--Aylmer/Hull--Aylmer"," 32","Gatineau",14,18,1,105,4,0,4,60,2,208,369
24030,"Hull--Aylmer/Hull--Aylmer"," 33","Gatineau",13,12,0,105,4,0,1,70,2,207,359
24030,"Hull--Aylmer/Hull--Aylmer"," 34","Gatineau",13,13,0,98,4,0,0,51,5,184,401
24030,"Hull--Aylmer/Hull--Aylmer"," 35","Gatineau",12,13,1,71,1,0,0,38,1,137,432
24030,"Hull--Aylmer/Hull--Aylmer"," 36","Gatineau",10,13,2,64,5,1,0,29,2,126,390
24030,"Hull--Aylmer/Hull--Aylmer"," 37","Gatineau",26,10,1,89,4,0,0,38,0,168,376
24030,"Hull--Aylmer/Hull--Aylmer"," 38","Gatineau",16,13,0,52,1,1,2,37,3,125,371
24030,"Hull--Aylmer/Hull--Aylmer"," 39","Gatineau",10,21,0,79,6,0,0,45,0,161,380
24030,"Hull--Aylmer/Hull--Aylmer"," 40","Gatineau",11,9,0,123,2,0,1,45,2,193,489
24030,"Hull--Aylmer/Hull--Aylmer"," 41","Gatineau",11,18,1,73,2,0,1,38,0,144,407
24030,"Hull--Aylmer/Hull--Aylmer"," 42","Gatineau",17,25,1,109,4,3,0,58,5,222,505
24030,"Hull--Aylmer/Hull--Aylmer"," 43","Gatineau",20,28,0,136,5,0,1,78,1,269,430
24030,"Hull--Aylmer/Hull--Aylmer"," 44","Gatineau",13,20,1,87,2,0,2,55,0,180,371
24030,"Hull--Aylmer/Hull--Aylmer"," 45","Gatineau",8,14,1,102,4,0,0,52,3,184,403
24030,"Hull--Aylmer/Hull--Aylmer"," 46","Gatineau",11,22,1,125,4,0,6,106,1,276,447
24030,"Hull--Aylmer/Hull--Aylmer"," 47","Gatineau",18,14,0,83,2,0,4,60,7,188,349
24030,"Hull--Aylmer/Hull--Aylmer"," 48","Gatineau",11,31,0,135,7,2,4,72,1,263,402
24030,"Hull--Aylmer/Hull--Aylmer"," 49","Gatineau",6,19,0,104,4,0,4,63,1,201,418
24030,"Hull--Aylmer/Hull--Aylmer"," 50","Gatineau",12,16,0,120,4,0,0,89,1,242,411
24030,"Hull--Aylmer/Hull--Aylmer"," 51","Gatineau",11,15,1,93,5,0,3,67,2,197,476
24030,"Hull--Aylmer/Hull--Aylmer"," 52","Gatineau",7,33,1,93,8,1,0,66,2,211,402
24030,"Hull--Aylmer/Hull--Aylmer"," 53","Gatineau",14,30,1,86,6,1,0,77,2,217,458
24030,"Hull--Aylmer/Hull--Aylmer"," 54","Gatineau",7,24,2,123,3,0,1,51,0,211,448
24030,"Hull--Aylmer/Hull--Aylmer"," 55","Gatineau",7,11,0,75,4,0,1,74,0,172,418
24030,"Hull--Aylmer/Hull--Aylmer"," 56","Gatineau",10,14,0,49,3,0,1,41,2,120,299
24030,"Hull--Aylmer/Hull--Aylmer"," 57","Gatineau",7,24,1,108,6,0,3,52,2,203,399
24030,"Hull--Aylmer/Hull--Aylmer"," 58","Gatineau",15,16,0,104,7,0,1,66,1,210,383
24030,"Hull--Aylmer/Hull--Aylmer"," 59","Gatineau",9,23,0,118,1,0,0,76,2,229,407
24030,"Hull--Aylmer/Hull--Aylmer"," 60","Gatineau",14,22,0,110,6,0,1,90,4,247,403
24030,"Hull--Aylmer/Hull--Aylmer"," 61","Gatineau",9,19,0,97,9,1,1,85,1,222,472
24030,"Hull--Aylmer/Hull--Aylmer"," 62","Gatineau",24,11,0,113,2,0,0,75,1,226,436
24030,"Hull--Aylmer/Hull--Aylmer"," 63","Gatineau",10,9,1,77,5,0,0,44,0,146,328
24030,"Hull--Aylmer/Hull--Aylmer"," 64","Gatineau",16,10,2,100,4,1,0,45,2,180,430
24030,"Hull--Aylmer/Hull--Aylmer"," 65","Gatineau",6,14,0,59,4,0,1,55,2,141,368
24030,"Hull--Aylmer/Hull--Aylmer"," 66","Gatineau",6,9,1,68,3,4,1,47,1,140,341
24030,"Hull--Aylmer/Hull--Aylmer"," 67","Gatineau",11,9,0,59,7,1,1,42,1,131,329
24030,"Hull--Aylmer/Hull--Aylmer"," 68","Gatineau",6,10,0,40,1,1,0,31,1,90,282
