Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ruth Ellen Brosseau,Cate Burton,Pierre Destrempes,Marianne Foucrault,Yves Perron,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 1","Saint-Mathieu-du-Parc",74,4,42,8,27,2,157,297
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 2","Saint-Mathieu-du-Parc",58,4,32,9,39,4,146,282
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 3","Saint-Mathieu-du-Parc",61,1,32,10,28,2,134,319
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 4","Saint-Mathieu-du-Parc",73,0,27,8,27,2,137,289
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 5","Saint-Alexis-des-Monts",66,2,39,17,24,3,151,375
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 6","Saint-Alexis-des-Monts",71,3,21,15,48,2,160,381
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 7","Saint-Alexis-des-Monts",60,4,49,10,18,0,141,361
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 8","Saint-Alexis-des-Monts",67,2,34,12,19,1,135,312
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 9","Saint-Alexis-des-Monts",57,0,29,10,7,2,105,258
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",46,0,22,10,16,2,96,288
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",61,0,26,11,12,1,111,284
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 12","Saint-Alexis-des-Monts",67,3,27,7,35,2,141,366
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 13","Saint-Élie",91,2,38,21,32,0,184,314
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 14","Saint-Élie",115,3,56,20,48,5,247,419
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 15","Saint-Élie",99,4,51,26,26,1,207,337
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 16","Saint-Élie",89,2,40,16,61,6,214,337
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 17","St. Boniface",108,2,44,23,27,1,205,377
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 18","St. Boniface",63,2,19,22,27,8,141,259
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 19","St. Boniface",90,4,61,19,36,3,213,390
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 20","St. Boniface",68,2,35,17,47,1,170,342
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 21","St. Boniface",74,5,46,10,24,4,163,298
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 22","St. Boniface",84,1,45,34,30,1,195,363
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 23","St. Boniface",61,1,44,16,20,3,145,278
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 24","St. Boniface",74,0,40,20,19,1,154,319
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 25","St. Boniface",75,1,42,16,22,3,159,317
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 26","St. Boniface",32,1,30,20,38,0,121,272
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 27","St. Boniface",65,3,34,16,26,2,146,271
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 28","St. Boniface",72,2,24,17,17,1,133,231
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 29","Saint-Étienne-des-Grès",78,5,35,45,50,4,217,390
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 30","Saint-Étienne-des-Grès",104,3,35,22,60,1,225,377
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 31","Saint-Étienne-des-Grès",50,2,36,38,23,5,154,344
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 32","Saint-Étienne-des-Grès",74,3,48,25,36,2,188,314
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 33","Saint-Étienne-des-Grès",86,6,49,19,46,0,206,408
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 34","Saint-Étienne-des-Grès",113,3,47,43,43,5,254,459
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 35","Saint-Étienne-des-Grès",67,3,49,25,34,4,182,401
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 36","Saint-Étienne-des-Grès",81,2,20,23,24,2,152,294
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 37","Saint-Étienne-des-Grès",99,3,18,31,30,5,186,412
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 38","Saint-Étienne-des-Grès",42,1,16,6,10,1,76,183
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 39","Saint-Barnabé",139,0,33,12,39,0,223,412
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 40","Saint-Barnabé",113,3,44,24,27,3,214,372
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 41","Charette",127,4,46,28,35,2,242,411
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 42","Charette",94,3,44,27,32,4,204,394
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 43","Saint-Paulin",89,3,26,20,29,0,167,381
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 44","Saint-Paulin",100,0,46,28,24,1,199,422
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 45","Saint-Paulin",120,2,39,9,28,5,203,410
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 46","Sainte-Angèle-de-Prémont",79,1,14,17,15,1,127,268
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 47","Sainte-Angèle-de-Prémont",81,0,21,14,32,0,148,279
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 48","Saint-Léon-le-Grand",133,1,47,16,29,3,229,403
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 49","Saint-Léon-le-Grand",139,5,32,21,36,4,237,397
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 50","Saint-Sévère",83,2,21,5,42,0,153,235
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 51","Yamachiche",124,2,34,19,26,3,208,368
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 52","Yamachiche",89,2,36,11,26,1,165,393
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 53","Yamachiche",97,3,33,19,23,0,175,370
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 54","Yamachiche",97,4,28,21,32,2,184,409
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 55","Yamachiche",111,3,25,17,24,0,180,342
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 56","Yamachiche",60,3,30,17,36,0,146,342
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 57","Saint-Thomas-de-Caxton",67,1,24,20,20,0,132,234
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 58","Trois-Rivières",93,3,51,18,46,3,214,440
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 59","Trois-Rivières",91,4,41,32,32,2,202,363
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 60","Trois-Rivières",99,0,50,57,21,4,231,394
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 61","Trois-Rivières",121,2,45,45,42,1,256,451
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 62","Trois-Rivières",132,3,54,46,47,5,287,459
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 63","Trois-Rivières",100,2,41,36,32,3,214,385
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 64","Trois-Rivières",86,9,48,48,46,9,246,479
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 65","Trois-Rivières",67,5,33,14,33,2,154,376
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 66","Trois-Rivières",71,0,49,39,42,1,202,443
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 67","Trois-Rivières",79,5,38,25,22,1,170,350
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 68","Trois-Rivières",79,3,40,39,29,5,195,358
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 69","Trois-Rivières",84,3,52,27,18,2,186,318
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 70","Trois-Rivières",93,1,25,36,26,4,185,342
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 71","Trois-Rivières",94,2,24,25,42,3,190,375
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 72","Trois-Rivières",86,2,60,32,28,6,214,472
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 73","Trois-Rivières",75,2,52,26,44,3,202,381
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 74","Trois-Rivières",63,4,32,33,35,4,171,395
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 75","Louiseville",104,1,27,26,23,2,183,387
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 76","Louiseville",67,3,35,19,14,1,139,393
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 77","Louiseville",97,2,28,13,23,0,163,420
