Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Duguid,Gordon Giesbrecht,Brianne Goertzen,Adam Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 36","Winnipeg",151,98,10,1,0,260,414
46013,"Winnipeg South/Winnipeg-Sud"," 37","Winnipeg",192,123,12,4,0,331,487
46013,"Winnipeg South/Winnipeg-Sud"," 38","Winnipeg",97,64,8,4,0,173,325
46013,"Winnipeg South/Winnipeg-Sud"," 39","Winnipeg",166,67,10,5,1,249,403
46013,"Winnipeg South/Winnipeg-Sud"," 40","Winnipeg",167,82,9,2,1,261,517
46013,"Winnipeg South/Winnipeg-Sud"," 41","Winnipeg",97,66,10,4,0,177,379
46013,"Winnipeg South/Winnipeg-Sud"," 42","Winnipeg",88,39,4,4,0,135,226
46013,"Winnipeg South/Winnipeg-Sud"," 43","Winnipeg",173,85,13,6,2,279,517
46013,"Winnipeg South/Winnipeg-Sud"," 44","Winnipeg",92,55,8,11,0,166,294
46013,"Winnipeg South/Winnipeg-Sud"," 45","Winnipeg",154,72,9,4,1,240,422
46013,"Winnipeg South/Winnipeg-Sud"," 46A","Winnipeg",122,101,15,6,0,244,444
46013,"Winnipeg South/Winnipeg-Sud"," 46B","Winnipeg",122,120,15,0,0,257,452
46013,"Winnipeg South/Winnipeg-Sud"," 47","Winnipeg",192,80,16,9,0,297,507
46013,"Winnipeg South/Winnipeg-Sud"," 48","Winnipeg",207,97,16,12,1,333,481
46013,"Winnipeg South/Winnipeg-Sud"," 49","Winnipeg",152,94,6,5,0,257,413
46013,"Winnipeg South/Winnipeg-Sud"," 50","Winnipeg",110,69,15,1,0,195,319
46013,"Winnipeg South/Winnipeg-Sud"," 51","Winnipeg",154,101,3,7,0,265,426
46013,"Winnipeg South/Winnipeg-Sud"," 52","Winnipeg",159,91,10,1,1,262,383
46013,"Winnipeg South/Winnipeg-Sud"," 53","Winnipeg",183,114,16,4,2,319,513
46013,"Winnipeg South/Winnipeg-Sud"," 54","Winnipeg",106,112,12,6,1,237,370
46013,"Winnipeg South/Winnipeg-Sud"," 55","Winnipeg",97,77,12,5,0,191,303
46013,"Winnipeg South/Winnipeg-Sud"," 56","Winnipeg",20,13,6,4,0,43,168
46013,"Winnipeg South/Winnipeg-Sud"," 57","Winnipeg",146,62,13,4,0,225,413
46013,"Winnipeg South/Winnipeg-Sud"," 58","Winnipeg",98,92,7,6,0,203,395
46013,"Winnipeg South/Winnipeg-Sud"," 59A","Winnipeg",79,76,7,3,0,165,326
46013,"Winnipeg South/Winnipeg-Sud"," 59B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,38
46013,"Winnipeg South/Winnipeg-Sud"," 60","Winnipeg",127,69,11,7,1,215,427
46013,"Winnipeg South/Winnipeg-Sud"," 61","Winnipeg",63,45,8,3,3,122,204
46013,"Winnipeg South/Winnipeg-Sud"," 62","Winnipeg",75,19,14,3,0,111,212
46013,"Winnipeg South/Winnipeg-Sud"," 63A","Winnipeg",118,44,13,8,2,185,366
46013,"Winnipeg South/Winnipeg-Sud"," 63B","Winnipeg",146,64,18,5,0,233,414
46013,"Winnipeg South/Winnipeg-Sud"," 64","Winnipeg",171,63,13,5,0,252,403
46013,"Winnipeg South/Winnipeg-Sud"," 65","Winnipeg",179,95,18,10,0,302,449
46013,"Winnipeg South/Winnipeg-Sud"," 66","Winnipeg",154,79,8,5,0,246,379
46013,"Winnipeg South/Winnipeg-Sud"," 67","Winnipeg",160,64,16,6,2,248,389
46013,"Winnipeg South/Winnipeg-Sud"," 68A","Winnipeg",127,39,18,6,0,190,395
46013,"Winnipeg South/Winnipeg-Sud"," 68B","Winnipeg",117,41,20,2,1,181,395
46013,"Winnipeg South/Winnipeg-Sud"," 69","Winnipeg",98,64,18,7,0,187,375
46013,"Winnipeg South/Winnipeg-Sud"," 70","Winnipeg",101,78,10,4,0,193,353
