Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniela Chivu,Anju Dhillon,Vincent J. Carbonneau,Isabelle Morin,Soulèye Ndiaye,Jean-Frédéric Vaudry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 500A","Mobile poll/Bureau itinérant",15,83,3,20,3,10,3,137,105
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,64
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 501","Mobile poll/Bureau itinérant",12,108,4,13,3,16,4,160,218
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 502","Mobile poll/Bureau itinérant",8,45,5,15,0,4,3,80,179
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 503","Mobile poll/Bureau itinérant",2,34,1,6,0,10,2,55,150
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 504","Mobile poll/Bureau itinérant",9,63,4,5,1,8,2,92,167
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 600","Dorval",135,704,40,228,2,30,4,1143,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 601","Dorval",172,614,17,208,5,36,6,1058,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 602","Dorval",99,422,14,173,1,37,5,751,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 603","Montréal",149,628,22,336,2,70,6,1213,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 604","Montréal",146,508,19,307,1,81,5,1067,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 605","Montréal",81,385,16,211,7,77,5,782,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 606","Montréal",59,293,13,231,1,132,10,739,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 607","Montréal",61,258,12,244,4,139,9,727,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 608","Montréal",69,235,15,183,2,79,7,590,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 609","Montréal",189,282,11,209,4,84,8,787,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 610","Montréal",77,467,10,104,2,48,10,718,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 611","Montréal",142,583,11,159,5,66,16,982,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 612","Montréal",97,607,19,157,0,83,16,979,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 613","Montréal",125,480,12,153,6,49,4,829,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle",,"Group 1/Groupe 1",24,70,4,22,0,5,21,146,128
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle",,"Group 2/Groupe 2",124,574,45,440,9,72,28,1292,
