Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Dyck,Peter Fragiskatos,German Gutierrez,Marvin Roman,Susan Truppe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"London North Centre/London-Centre-Nord"," 1","London",17,158,37,2,150,1,365,655
35052,"London North Centre/London-Centre-Nord"," 2","London",9,127,44,0,103,0,283,499
35052,"London North Centre/London-Centre-Nord"," 3","London",6,136,32,0,80,0,254,409
35052,"London North Centre/London-Centre-Nord"," 4","London",3,117,21,0,48,0,189,325
35052,"London North Centre/London-Centre-Nord"," 5","London",4,95,30,1,53,0,183,339
35052,"London North Centre/London-Centre-Nord"," 6","London",7,153,26,3,155,0,344,638
35052,"London North Centre/London-Centre-Nord"," 7","London",5,112,28,1,110,0,256,455
35052,"London North Centre/London-Centre-Nord"," 8","London",2,127,22,0,115,1,267,487
35052,"London North Centre/London-Centre-Nord"," 9","London",2,150,29,0,116,1,298,529
35052,"London North Centre/London-Centre-Nord"," 10","London",5,131,30,0,145,0,311,481
35052,"London North Centre/London-Centre-Nord"," 11","London",7,138,34,0,75,0,254,493
35052,"London North Centre/London-Centre-Nord"," 12","London",7,138,36,1,92,2,276,478
35052,"London North Centre/London-Centre-Nord"," 13","London",9,120,30,0,89,1,249,404
35052,"London North Centre/London-Centre-Nord"," 14","London",5,141,40,0,90,0,276,511
35052,"London North Centre/London-Centre-Nord"," 15","London",7,133,39,0,86,1,266,455
35052,"London North Centre/London-Centre-Nord"," 16","London",8,97,18,0,78,1,202,354
35052,"London North Centre/London-Centre-Nord"," 17","London",8,150,45,0,141,1,345,540
35052,"London North Centre/London-Centre-Nord"," 18","London",8,118,34,0,108,1,269,552
35052,"London North Centre/London-Centre-Nord"," 19","London",0,50,14,0,70,0,134,295
35052,"London North Centre/London-Centre-Nord"," 20","London",3,87,31,0,85,2,208,402
35052,"London North Centre/London-Centre-Nord"," 21","London",5,90,24,0,81,0,200,380
35052,"London North Centre/London-Centre-Nord"," 22","London",8,165,44,0,123,0,340,487
35052,"London North Centre/London-Centre-Nord"," 23","London",11,177,33,0,123,0,344,473
35052,"London North Centre/London-Centre-Nord"," 24","London",10,127,35,2,103,1,278,415
35052,"London North Centre/London-Centre-Nord"," 25","London",4,138,19,0,96,1,258,389
35052,"London North Centre/London-Centre-Nord"," 26","London",12,108,30,0,70,0,220,370
35052,"London North Centre/London-Centre-Nord"," 27","London",10,148,36,0,99,2,295,515
35052,"London North Centre/London-Centre-Nord"," 28","London",8,130,28,21,97,1,285,450
35052,"London North Centre/London-Centre-Nord"," 29","London",14,174,63,1,77,0,329,642
35052,"London North Centre/London-Centre-Nord"," 30","London",7,126,48,1,60,2,244,455
35052,"London North Centre/London-Centre-Nord"," 31","London",9,137,21,1,93,0,261,424
35052,"London North Centre/London-Centre-Nord"," 32","London",12,107,9,0,109,0,237,410
35052,"London North Centre/London-Centre-Nord"," 33","London",7,121,28,0,107,2,265,441
35052,"London North Centre/London-Centre-Nord"," 34","London",12,127,24,0,76,1,240,418
35052,"London North Centre/London-Centre-Nord"," 35","London",6,139,20,1,107,0,273,431
35052,"London North Centre/London-Centre-Nord"," 36","London",10,151,18,1,119,0,299,510
35052,"London North Centre/London-Centre-Nord"," 37","London",6,107,31,0,110,0,254,421
35052,"London North Centre/London-Centre-Nord"," 38","London",8,55,7,0,73,0,143,286
35052,"London North Centre/London-Centre-Nord"," 39","London",12,208,29,2,165,8,424,665
35052,"London North Centre/London-Centre-Nord"," 40A","London",2,102,8,0,132,1,245,400
35052,"London North Centre/London-Centre-Nord"," 40B","London",5,89,7,0,117,1,219,369
35052,"London North Centre/London-Centre-Nord"," 41","London",11,128,21,0,149,0,309,528
35052,"London North Centre/London-Centre-Nord"," 42","London",3,89,14,0,93,0,199,472
35052,"London North Centre/London-Centre-Nord"," 43","London",3,133,11,0,154,0,301,536
35052,"London North Centre/London-Centre-Nord"," 44","London",0,118,7,0,155,0,280,510
35052,"London North Centre/London-Centre-Nord"," 45","London",8,176,13,1,187,1,386,663
35052,"London North Centre/London-Centre-Nord"," 46","London",13,128,32,0,79,0,252,382
35052,"London North Centre/London-Centre-Nord"," 47","London",4,130,23,0,139,1,297,528
35052,"London North Centre/London-Centre-Nord"," 48","London",13,123,11,0,119,1,267,532
35052,"London North Centre/London-Centre-Nord"," 49","London",12,138,24,0,121,0,295,443
35052,"London North Centre/London-Centre-Nord"," 50","London",4,132,9,0,105,0,250,435
35052,"London North Centre/London-Centre-Nord"," 51","London",6,150,17,0,132,1,306,546
35052,"London North Centre/London-Centre-Nord"," 52","London",5,119,19,0,105,1,249,452
35052,"London North Centre/London-Centre-Nord"," 53","London",2,54,4,0,38,0,98,229
35052,"London North Centre/London-Centre-Nord"," 54","London",8,170,36,0,130,1,345,689
35052,"London North Centre/London-Centre-Nord"," 55","London",8,88,11,0,37,0,144,303
35052,"London North Centre/London-Centre-Nord"," 56","London",3,81,14,0,52,0,150,330
35052,"London North Centre/London-Centre-Nord"," 57","London",1,87,12,0,62,0,162,281
35052,"London North Centre/London-Centre-Nord"," 58","London",6,111,13,1,113,0,244,416
35052,"London North Centre/London-Centre-Nord"," 59","London",3,103,14,1,76,0,197,382
35052,"London North Centre/London-Centre-Nord"," 60","London",7,126,13,0,88,0,234,402
35052,"London North Centre/London-Centre-Nord"," 61","London",8,116,29,0,86,1,240,381
35052,"London North Centre/London-Centre-Nord"," 62","London",4,124,21,0,89,0,238,382
35052,"London North Centre/London-Centre-Nord"," 63","London",10,107,16,0,82,1,216,321
35052,"London North Centre/London-Centre-Nord"," 64","London",3,110,20,0,80,0,213,364
35052,"London North Centre/London-Centre-Nord"," 65","London",7,133,26,0,47,0,213,367
35052,"London North Centre/London-Centre-Nord"," 66","London",3,104,5,1,89,1,203,349
35052,"London North Centre/London-Centre-Nord"," 67","London",7,96,11,0,85,0,199,355
35052,"London North Centre/London-Centre-Nord"," 68","London",6,65,7,0,109,2,189,348
35052,"London North Centre/London-Centre-Nord"," 69","London",3,84,3,0,103,0,193,357
35052,"London North Centre/London-Centre-Nord"," 70A","London",6,73,12,0,71,0,162,313
35052,"London North Centre/London-Centre-Nord"," 70B","London",Merged with No./Fusionné avec le n°70-1,,,,,,,44
35052,"London North Centre/London-Centre-Nord"," 70-1","London",12,242,53,1,77,0,385,504
35052,"London North Centre/London-Centre-Nord"," 71","London",10,151,17,0,61,1,240,365
35052,"London North Centre/London-Centre-Nord"," 72","London",11,149,29,3,67,0,259,408
35052,"London North Centre/London-Centre-Nord"," 73","London",10,132,40,0,58,1,241,453
35052,"London North Centre/London-Centre-Nord"," 74","London",5,127,17,0,66,1,216,385
35052,"London North Centre/London-Centre-Nord"," 75","London",5,112,21,0,60,0,198,388
35052,"London North Centre/London-Centre-Nord"," 76","London",21,337,65,0,121,0,544,784
35052,"London North Centre/London-Centre-Nord"," 77","London",5,142,31,0,65,0,243,446
35052,"London North Centre/London-Centre-Nord"," 78","London",10,154,32,0,78,1,275,419
35052,"London North Centre/London-Centre-Nord"," 79","London",16,111,52,0,42,3,224,477
35052,"London North Centre/London-Centre-Nord"," 80","London",4,82,31,1,57,0,175,340
35052,"London North Centre/London-Centre-Nord"," 81","London",11,84,50,0,41,0,186,437
35052,"London North Centre/London-Centre-Nord"," 82","London",8,92,43,0,46,1,190,348
35052,"London North Centre/London-Centre-Nord"," 83","London",5,105,45,1,40,3,199,463
35052,"London North Centre/London-Centre-Nord"," 84","London",11,107,24,3,56,0,201,293
35052,"London North Centre/London-Centre-Nord"," 85","London",3,87,25,1,52,0,168,404
35052,"London North Centre/London-Centre-Nord"," 86","London",4,96,25,0,100,1,226,480
35052,"London North Centre/London-Centre-Nord"," 87","London",3,97,36,3,106,4,249,460
35052,"London North Centre/London-Centre-Nord"," 88","London",3,91,31,0,88,1,214,386
35052,"London North Centre/London-Centre-Nord"," 89","London",5,102,50,0,80,1,238,360
35052,"London North Centre/London-Centre-Nord"," 90","London",5,88,47,0,90,0,230,413
35052,"London North Centre/London-Centre-Nord"," 91","London",6,96,35,1,60,2,200,391
35052,"London North Centre/London-Centre-Nord"," 92","London",9,60,31,1,28,1,130,362
35052,"London North Centre/London-Centre-Nord"," 93","London",10,65,36,0,33,0,144,407
