Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vince Fiorito,Karina Gould,David Laird,Mike Wallace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35015,"Burlington/Burlington"," 34","Burlington",2,78,10,110,0,200,393
35015,"Burlington/Burlington"," 35","Burlington",3,95,8,122,0,228,410
35015,"Burlington/Burlington"," 36","Burlington",3,83,11,139,2,238,421
35015,"Burlington/Burlington"," 37","Burlington",6,100,18,91,0,215,401
35015,"Burlington/Burlington"," 38","Burlington",3,97,25,102,0,227,382
35015,"Burlington/Burlington"," 39","Burlington",7,115,19,103,2,246,389
35015,"Burlington/Burlington"," 40","Burlington",2,73,20,76,0,171,291
35015,"Burlington/Burlington"," 41","Burlington",6,77,7,90,1,181,337
35015,"Burlington/Burlington"," 42","Burlington",2,98,17,79,2,198,362
35015,"Burlington/Burlington"," 43","Burlington",8,88,14,78,0,188,349
35015,"Burlington/Burlington"," 44","Burlington",7,109,22,85,1,224,417
35015,"Burlington/Burlington"," 45","Burlington",3,116,17,131,0,267,494
35015,"Burlington/Burlington"," 46","Burlington",2,100,17,92,2,213,369
35015,"Burlington/Burlington"," 47","Burlington",5,108,12,110,0,235,374
35015,"Burlington/Burlington"," 48","Burlington",12,116,39,121,2,290,539
35015,"Burlington/Burlington"," 49","Burlington",6,82,21,69,1,179,331
35015,"Burlington/Burlington"," 50","Burlington",9,115,27,115,0,266,449
35015,"Burlington/Burlington"," 51","Burlington",7,104,25,119,7,262,443
35015,"Burlington/Burlington"," 52","Burlington",6,120,22,126,0,274,473
35015,"Burlington/Burlington"," 53","Burlington",10,125,19,91,1,246,425
35015,"Burlington/Burlington"," 54","Burlington",5,111,18,119,2,255,392
35015,"Burlington/Burlington"," 55","Burlington",6,112,4,89,0,211,363
35015,"Burlington/Burlington"," 56","Burlington",8,114,30,100,3,255,493
35015,"Burlington/Burlington"," 57","Burlington",5,133,25,100,1,264,466
35015,"Burlington/Burlington"," 58","Burlington",5,112,17,111,0,245,430
35015,"Burlington/Burlington"," 59","Burlington",9,116,22,101,1,249,404
35015,"Burlington/Burlington"," 60","Burlington",8,110,27,101,1,247,442
35015,"Burlington/Burlington"," 61","Burlington",5,64,31,56,0,156,307
35015,"Burlington/Burlington"," 62","Burlington",4,128,38,91,0,261,421
35015,"Burlington/Burlington"," 63","Burlington",5,100,32,83,1,221,419
35015,"Burlington/Burlington"," 64","Burlington",4,99,19,78,1,201,436
35015,"Burlington/Burlington"," 65","Burlington",6,107,24,92,1,230,493
35015,"Burlington/Burlington"," 66","Burlington",10,63,11,69,1,154,318
35015,"Burlington/Burlington"," 67","Burlington",6,99,37,85,0,227,462
35015,"Burlington/Burlington"," 68","Burlington",3,98,18,86,2,207,410
35015,"Burlington/Burlington"," 69","Burlington",5,90,17,65,0,177,348
35015,"Burlington/Burlington"," 70","Burlington",2,91,33,64,1,191,381
35015,"Burlington/Burlington"," 71","Burlington",4,99,29,91,0,223,351
35015,"Burlington/Burlington"," 72","Burlington",13,74,55,87,0,229,374
35015,"Burlington/Burlington"," 73","Burlington",5,95,31,103,0,234,411
35015,"Burlington/Burlington"," 74","Burlington",7,102,22,94,4,229,355
35015,"Burlington/Burlington"," 75","Burlington",14,137,44,138,2,335,466
35015,"Burlington/Burlington"," 76","Burlington",5,105,19,91,0,220,371
35015,"Burlington/Burlington"," 77","Burlington",8,93,50,71,0,222,386
35015,"Burlington/Burlington"," 78","Burlington",4,78,22,86,1,191,347
35015,"Burlington/Burlington"," 79","Burlington",7,95,25,92,0,219,315
35015,"Burlington/Burlington"," 80","Burlington",4,91,31,62,1,189,320
35015,"Burlington/Burlington"," 81","Burlington",13,123,20,97,0,253,404
35015,"Burlington/Burlington"," 82","Burlington",12,112,38,83,1,246,450
35015,"Burlington/Burlington"," 83","Burlington",3,115,26,89,0,233,455
35015,"Burlington/Burlington"," 84","Burlington",6,99,24,99,1,229,440
35015,"Burlington/Burlington"," 85","Burlington",5,119,22,101,0,247,437
35015,"Burlington/Burlington"," 86","Burlington",7,140,19,149,1,316,512
