Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Bilek,Bob Dechert,Iqra Khalid,Andrew Roblin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 1","Mississauga",15,89,104,7,0,215,495
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 2","Mississauga",14,92,96,1,0,203,430
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 3","Mississauga",22,67,100,4,2,195,548
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 4","Mississauga",18,103,110,1,3,235,525
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 5","Mississauga",25,104,131,3,5,268,586
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 6","Mississauga",8,96,66,5,0,175,365
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 7","Mississauga",21,63,83,2,1,170,375
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 8","Mississauga",20,81,102,5,1,209,468
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 9","Mississauga",11,64,75,0,0,150,322
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 10","Mississauga",16,76,133,3,1,229,493
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 11","Mississauga",25,102,93,3,1,224,434
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 12","Mississauga",14,104,86,3,0,207,430
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 13","Mississauga",26,107,87,1,0,221,416
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 14","Mississauga",13,75,60,1,1,150,350
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 15","Mississauga",19,74,89,4,0,186,396
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 16","Mississauga",18,84,137,4,1,244,478
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 17","Mississauga",26,101,106,7,1,241,424
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 18","Mississauga",14,57,91,2,0,164,376
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 19","Mississauga",30,96,145,4,0,275,592
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 20","Mississauga",8,36,72,1,0,117,321
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 21","Mississauga",19,99,118,9,1,246,613
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 22A","Mississauga",20,66,92,4,1,183,394
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 22B","Mississauga",16,67,94,6,0,183,421
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 23","Mississauga",14,165,115,2,0,296,517
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 24A","Mississauga",15,67,68,2,0,152,349
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 24B","Mississauga",15,80,83,1,1,180,384
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 25","Mississauga",15,112,112,2,1,242,531
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 26","Mississauga",18,63,83,1,0,165,387
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 27","Mississauga",24,62,61,3,0,150,403
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 28","Mississauga",12,95,125,0,2,234,480
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 29","Mississauga",8,73,73,4,0,158,325
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 30","Mississauga",7,112,122,8,3,252,529
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 31","Mississauga",26,62,135,2,0,225,439
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 32A","Mississauga",13,47,62,2,0,124,208
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 32B","Mississauga",11,33,58,2,0,104,191
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 33","Mississauga",13,104,98,2,0,217,443
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 34","Mississauga",12,73,98,4,1,188,402
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 35","Mississauga",15,89,90,4,1,199,405
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 36","Mississauga",11,121,90,6,1,229,447
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 37","Mississauga",15,128,89,4,0,236,432
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 38","Mississauga",22,105,136,5,2,270,462
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 39","Mississauga",19,120,130,6,0,275,465
