Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tristan Dineen,Alexander Fekri,Kornelis Klevering,Gloria Kovach,Lloyd Longfield,Gord Miller,Andrew Seagram,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 1","Guelph",0,1,1,79,158,18,38,0,295,598
35032,"Guelph/Guelph"," 2","Guelph",1,1,1,56,92,11,31,0,193,392
35032,"Guelph/Guelph"," 3","Guelph",0,0,0,80,79,24,27,0,210,437
35032,"Guelph/Guelph"," 4","Guelph",0,1,0,100,101,23,19,1,245,477
35032,"Guelph/Guelph"," 5","Guelph",0,2,0,71,112,27,24,0,236,287
35032,"Guelph/Guelph"," 6","Guelph",1,2,1,64,93,19,32,1,213,403
35032,"Guelph/Guelph"," 7","Guelph",0,5,0,67,99,22,25,2,220,437
35032,"Guelph/Guelph"," 8","Guelph",0,2,0,39,77,23,41,0,182,447
35032,"Guelph/Guelph"," 9","Guelph",0,3,0,80,91,21,44,0,239,456
35032,"Guelph/Guelph"," 10","Guelph",1,5,1,112,147,29,28,0,323,616
35032,"Guelph/Guelph"," 11","Guelph",0,7,0,96,152,46,38,6,345,630
35032,"Guelph/Guelph"," 12","Guelph",0,0,2,84,141,27,28,1,283,478
35032,"Guelph/Guelph"," 13","Guelph",1,2,0,55,76,23,32,0,189,368
35032,"Guelph/Guelph"," 14","Guelph",0,2,1,49,103,15,23,1,194,378
35032,"Guelph/Guelph"," 15","Guelph",3,3,0,49,78,27,27,0,187,351
35032,"Guelph/Guelph"," 16","Guelph",0,2,1,66,125,32,30,3,259,460
35032,"Guelph/Guelph"," 17","Guelph",0,1,0,83,116,12,22,0,234,431
35032,"Guelph/Guelph"," 18","Guelph",1,1,0,115,101,31,31,0,280,478
35032,"Guelph/Guelph"," 19","Guelph",0,4,0,89,133,32,32,0,290,501
35032,"Guelph/Guelph"," 20","Guelph",0,4,0,81,130,22,20,0,257,430
35032,"Guelph/Guelph"," 21","Guelph",0,3,3,69,116,20,34,1,246,511
35032,"Guelph/Guelph"," 22","Guelph",0,2,2,65,130,28,32,2,261,470
35032,"Guelph/Guelph"," 23","Guelph",0,3,0,77,123,27,30,0,260,490
35032,"Guelph/Guelph"," 24","Guelph",0,0,3,82,107,28,39,1,260,472
35032,"Guelph/Guelph"," 25","Guelph",0,1,2,62,78,15,35,1,194,439
35032,"Guelph/Guelph"," 26","Guelph",0,1,1,67,119,26,43,0,257,511
35032,"Guelph/Guelph"," 27A","Guelph",0,0,1,26,52,20,19,0,118,230
