Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jessie Adcock,Fin Donnelly,Tim Laidler,Marcus Madsen,Roland Verrier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 1","Indian Arm",81,48,81,8,1,0,219,399
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 2","Anmore",62,36,83,9,0,0,190,344
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 3","Anmore",74,66,113,11,0,0,264,454
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 4","Anmore",66,36,100,9,0,0,211,388
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 5","Belcarra",53,62,99,6,0,0,220,338
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 6","Port Moody",40,50,67,4,1,0,162,304
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 7","Port Moody",61,55,58,8,0,0,182,310
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 8","Port Moody",87,66,81,4,0,0,238,379
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 9","Port Moody",66,58,88,12,0,0,224,424
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 10","Port Moody",50,51,113,11,3,1,229,394
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 11","Port Moody",72,87,52,16,0,0,227,372
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 12","Port Moody",87,43,70,6,0,0,206,389
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 13","Port Moody",96,67,91,12,0,0,266,470
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 14","Port Moody",59,46,87,7,0,1,200,411
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 15","Port Moody",85,66,103,2,0,0,256,439
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 16","Port Moody",64,46,75,5,0,0,190,355
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 17","Port Moody",88,71,84,6,0,0,249,463
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 18A","Port Moody",46,40,59,3,0,0,148,243
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 18B","Port Moody",49,35,68,3,0,0,155,285
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 19","Port Moody",97,50,115,3,0,0,265,529
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 20","Port Moody",81,59,75,2,0,0,217,384
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 21","Port Moody",82,35,116,6,0,0,239,457
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 22A","Port Moody",44,36,61,7,0,0,148,288
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 22B","Port Moody",67,25,40,1,0,0,133,262
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 23","Port Moody",70,59,84,6,0,1,220,431
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 24","Port Moody",100,62,91,7,0,0,260,484
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 25","Port Moody",85,99,88,8,0,1,281,516
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 26","Port Moody",74,73,69,6,0,0,222,437
