Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claudette Menchenton,Kevin George O'Brien,Elizabeth Perry,Scott Simms,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 1","Tilting",1,11,0,91,0,103,172
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 2","Joe Batt's Arm",4,11,1,148,2,166,309
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 3","Joe Batt's Arm-Barr'd Islands-Shoal Bay",3,17,1,118,0,139,252
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 4","Fogo",4,4,0,124,0,132,284
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 5","Fogo",7,14,1,135,0,157,290
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 6","Island Harbour--Deep Bay",1,4,0,81,0,86,193
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 7","Seldom",5,8,0,163,1,177,334
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 8","Stag Harbour",6,3,0,48,0,57,121
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 9","Change Islands",1,21,1,101,0,124,212
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 10","Herring Neck",8,11,0,94,1,114,367
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 11","Durrell",7,23,0,157,1,188,408
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 12","Twillingate",6,36,4,181,2,229,527
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 13","Twillingate",13,30,1,139,1,184,406
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 14","Twillingate--Little Harbour",9,18,0,148,2,177,408
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 15","Twillingate",9,29,1,276,0,315,433
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 16","Valley Pond",2,7,0,47,0,56,95
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 17","Moreton's Harbour",5,26,0,98,0,129,284
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 18","Virgin Arm",4,22,0,40,0,66,143
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 19","Carter's Cove",7,61,0,79,0,147,351
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 20","Pikes Arm",6,9,0,84,1,100,178
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 21","Hillgrade",1,18,0,49,1,69,129
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 22","Fairbank",4,16,0,36,0,56,78
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 23","Stoneville--Port Albert",3,56,1,46,0,106,311
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 24","Horwood",8,24,0,66,0,98,227
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 25","Boyd's Cove",5,14,0,90,2,111,179
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 26","Summerford",4,23,0,71,0,98,301
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 27","Summerford",4,25,2,81,0,112,277
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 28","Summerford",6,19,1,85,1,112,236
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 29","Cottlesville",5,27,0,100,0,132,233
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 30","Little Burnt Bay",8,24,1,50,1,84,229
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 31","Beaumont",3,15,2,69,0,89,176
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 32","Shoe Cove",1,24,0,51,0,76,129
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 33","Pacquet",6,33,0,43,0,82,151
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 34","Fleur de Lys",5,23,1,99,0,128,222
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 35","Coachman's Cove",2,4,0,32,0,38,95
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 36","Wild Cove",2,11,0,13,0,26,36
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 37","Seal Cove",7,20,1,77,1,106,271
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 38","Ming's Bight",8,59,0,51,1,119,263
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 39","Woodstock",3,19,0,54,1,77,175
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 40","Brent's Cove",7,10,1,62,2,82,139
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 41","La Scie",6,13,1,74,0,94,213
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 42","La Scie",1,15,0,119,0,135,287
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 43","La Scie",3,8,0,60,1,72,193
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 44","Harbour Round",4,8,0,62,1,75,153
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 45","Nippers Harbour",1,0,0,40,0,41,81
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 46","Smith's Harbour",8,28,1,23,0,60,84
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 47","Burlington",4,68,0,40,0,112,293
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 48","Little Bay",5,19,1,55,2,82,140
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 49","Little Bay Islands",7,6,0,36,0,49,84
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 50","Little Bay",11,46,0,91,0,148,266
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 51","Port Anson",3,70,0,30,0,103,236
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 52","Pilley's Island",4,32,0,97,0,133,256
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 53","Brighton",3,41,0,44,0,88,149
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 54","Beaumont",6,89,1,92,0,188,388
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 55","Triton",9,87,0,95,0,191,430
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 56","Robert's Arm",17,50,2,84,2,155,377
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 57","Robert's Arm",12,50,0,75,1,138,324
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 58","Leading Tickles",7,18,0,183,1,209,335
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 59","Cottrell's Cove",8,9,0,58,0,75,175
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 60","Point of Bay",5,33,5,61,0,104,219
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 61","Brown's Arm--Porterville",20,26,0,87,0,133,294
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 62","Campbellton",7,31,0,105,2,145,291
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 63","Campbellton--Loon Bay",13,30,2,138,0,183,354
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 64","Comfort Cove-Newstead",21,32,0,110,0,163,346
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 65","Baytona",9,22,0,72,0,103,254
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 66","Birchy Bay",8,67,1,137,0,213,492
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 67","Victoria Cove",9,47,2,128,0,186,417
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 68","Clarke's Head",8,12,0,89,0,109,164
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 69","Gander",4,17,0,91,0,112,375
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 70","Gander",9,35,4,145,0,193,394
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 71","Gander",8,23,2,158,0,191,368
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 72","Gander",13,25,1,160,1,200,448
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 73","Benton",6,27,0,52,0,85,127
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 74","Gander",11,47,2,215,0,275,564
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 75","Gander",9,27,1,143,0,180,381
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 76","Gander",16,15,2,119,1,153,348
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 77","Gander",10,22,2,150,0,184,379
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 78","Gander",16,20,0,125,0,161,334
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 79","Gander",8,25,2,172,1,208,393
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 80","Gander",23,34,2,137,2,198,405
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 81","Gander",16,20,3,130,0,169,414
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 82","Gander",6,22,1,118,0,147,403
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 83","Gander",19,23,0,121,0,163,379
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 84","Gander",8,39,3,181,1,232,465
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 85","Gander",8,25,1,146,2,182,411
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 86","Gander",7,18,1,100,0,126,269
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 87","Gander",9,34,3,103,0,149,320
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 88","Gander",13,21,2,117,1,154,341
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 89","Gander",6,25,0,107,0,138,281
