Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Faizan Butt,Edward Gao,Bruce Kaufman,Robert Prcic,Michelle Rempel,Laurie Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48009,"Calgary Nose Hill/Calgary Nose Hill"," 1","Calgary",2,3,22,97,189,6,1,320,677
48009,"Calgary Nose Hill/Calgary Nose Hill"," 2","Calgary",3,1,18,84,88,5,1,200,393
48009,"Calgary Nose Hill/Calgary Nose Hill"," 3","Calgary",0,2,6,69,93,3,3,176,397
48009,"Calgary Nose Hill/Calgary Nose Hill"," 4","Calgary",0,2,17,117,149,2,1,288,594
48009,"Calgary Nose Hill/Calgary Nose Hill"," 5","Calgary",0,3,20,66,97,6,0,192,426
48009,"Calgary Nose Hill/Calgary Nose Hill"," 6","Calgary",1,3,15,77,121,7,2,226,429
48009,"Calgary Nose Hill/Calgary Nose Hill"," 7","Calgary",2,3,4,31,108,1,3,152,313
48009,"Calgary Nose Hill/Calgary Nose Hill"," 8","Calgary",2,0,8,72,98,0,1,181,441
48009,"Calgary Nose Hill/Calgary Nose Hill"," 9","Calgary",2,8,13,70,122,3,0,218,533
48009,"Calgary Nose Hill/Calgary Nose Hill"," 10","Calgary",0,3,4,43,91,1,0,142,336
48009,"Calgary Nose Hill/Calgary Nose Hill"," 11","Calgary",0,2,6,48,111,2,1,170,390
48009,"Calgary Nose Hill/Calgary Nose Hill"," 12","Calgary",0,2,11,35,82,2,1,133,298
48009,"Calgary Nose Hill/Calgary Nose Hill"," 13","Calgary",1,4,10,75,103,2,2,197,502
48009,"Calgary Nose Hill/Calgary Nose Hill"," 14","Calgary",0,6,15,74,118,3,0,216,418
48009,"Calgary Nose Hill/Calgary Nose Hill"," 15","Calgary",0,5,27,88,118,3,2,243,491
48009,"Calgary Nose Hill/Calgary Nose Hill"," 16","Calgary",1,1,9,67,120,7,1,206,417
48009,"Calgary Nose Hill/Calgary Nose Hill"," 17","Calgary",0,6,23,97,144,2,3,275,616
48009,"Calgary Nose Hill/Calgary Nose Hill"," 18","Calgary",1,0,9,76,105,3,3,197,405
48009,"Calgary Nose Hill/Calgary Nose Hill"," 19","Calgary",1,0,17,64,138,7,0,227,422
48009,"Calgary Nose Hill/Calgary Nose Hill"," 20","Calgary",4,1,12,71,162,8,1,259,438
48009,"Calgary Nose Hill/Calgary Nose Hill"," 21","Calgary",0,3,17,66,173,7,0,266,448
48009,"Calgary Nose Hill/Calgary Nose Hill"," 22","Calgary",2,0,16,67,186,1,3,275,430
48009,"Calgary Nose Hill/Calgary Nose Hill"," 23","Calgary",2,2,9,80,133,2,1,229,463
48009,"Calgary Nose Hill/Calgary Nose Hill"," 24","Calgary",1,5,14,64,127,2,1,214,446
48009,"Calgary Nose Hill/Calgary Nose Hill"," 25","Calgary",0,5,5,51,86,2,0,149,369
48009,"Calgary Nose Hill/Calgary Nose Hill"," 26","Calgary",1,3,14,57,126,3,1,205,439
48009,"Calgary Nose Hill/Calgary Nose Hill"," 27","Calgary",1,2,13,69,112,1,1,199,420
48009,"Calgary Nose Hill/Calgary Nose Hill"," 28","Calgary",1,5,7,68,163,3,2,249,518
48009,"Calgary Nose Hill/Calgary Nose Hill"," 29","Calgary",0,2,14,67,106,3,1,193,453
48009,"Calgary Nose Hill/Calgary Nose Hill"," 30","Calgary",0,4,7,61,87,5,2,166,479
48009,"Calgary Nose Hill/Calgary Nose Hill"," 31","Calgary",0,1,21,61,94,4,1,182,453
48009,"Calgary Nose Hill/Calgary Nose Hill"," 32","Calgary",0,4,13,65,114,3,1,200,407
48009,"Calgary Nose Hill/Calgary Nose Hill"," 33","Calgary",1,1,10,54,111,1,0,178,425
48009,"Calgary Nose Hill/Calgary Nose Hill"," 34","Calgary",0,6,23,63,133,7,2,234,542
48009,"Calgary Nose Hill/Calgary Nose Hill"," 35","Calgary",2,0,10,41,116,1,0,170,410
48009,"Calgary Nose Hill/Calgary Nose Hill"," 36","Calgary",1,1,11,47,98,2,0,160,365
48009,"Calgary Nose Hill/Calgary Nose Hill"," 37","Calgary",0,1,14,38,108,1,2,164,386
48009,"Calgary Nose Hill/Calgary Nose Hill"," 38","Calgary",0,7,4,52,136,2,5,206,435
48009,"Calgary Nose Hill/Calgary Nose Hill"," 39","Calgary",0,1,8,62,108,0,2,181,385
48009,"Calgary Nose Hill/Calgary Nose Hill"," 40","Calgary",0,1,15,71,139,5,0,231,454
48009,"Calgary Nose Hill/Calgary Nose Hill"," 41","Calgary",1,4,27,63,113,11,0,219,416
48009,"Calgary Nose Hill/Calgary Nose Hill"," 42","Calgary",1,4,15,83,196,10,0,309,515
48009,"Calgary Nose Hill/Calgary Nose Hill"," 43","Calgary",2,3,30,108,112,13,0,268,455
48009,"Calgary Nose Hill/Calgary Nose Hill"," 44","Calgary",2,2,23,78,174,6,0,285,490
48009,"Calgary Nose Hill/Calgary Nose Hill"," 45","Calgary",1,1,9,27,116,3,0,157,307
48009,"Calgary Nose Hill/Calgary Nose Hill"," 46","Calgary",0,3,10,57,178,6,1,255,510
48009,"Calgary Nose Hill/Calgary Nose Hill"," 47","Calgary",1,2,24,69,140,6,0,242,409
48009,"Calgary Nose Hill/Calgary Nose Hill"," 48","Calgary",1,2,16,59,129,8,1,216,398
48009,"Calgary Nose Hill/Calgary Nose Hill"," 49","Calgary",1,2,20,75,128,9,1,236,447
48009,"Calgary Nose Hill/Calgary Nose Hill"," 50","Calgary",0,1,7,80,123,8,0,219,441
48009,"Calgary Nose Hill/Calgary Nose Hill"," 51","Calgary",0,2,18,51,181,8,0,260,461
48009,"Calgary Nose Hill/Calgary Nose Hill"," 52","Calgary",0,0,10,48,137,1,1,197,399
48009,"Calgary Nose Hill/Calgary Nose Hill"," 53","Calgary",0,2,15,35,110,2,1,165,335
48009,"Calgary Nose Hill/Calgary Nose Hill"," 54","Calgary",2,2,12,52,128,9,0,205,432
48009,"Calgary Nose Hill/Calgary Nose Hill"," 55","Calgary",0,2,8,47,102,6,1,166,374
48009,"Calgary Nose Hill/Calgary Nose Hill"," 56","Calgary",0,4,9,41,153,4,0,211,469
48009,"Calgary Nose Hill/Calgary Nose Hill"," 57","Calgary",0,2,2,33,141,6,0,184,458
48009,"Calgary Nose Hill/Calgary Nose Hill"," 58","Calgary",0,4,4,59,107,2,0,176,384
48009,"Calgary Nose Hill/Calgary Nose Hill"," 59","Calgary",0,2,6,58,135,0,0,201,501
48009,"Calgary Nose Hill/Calgary Nose Hill"," 60","Calgary",1,0,13,49,123,3,0,189,385
48009,"Calgary Nose Hill/Calgary Nose Hill"," 61","Calgary",1,1,5,44,97,1,1,150,341
48009,"Calgary Nose Hill/Calgary Nose Hill"," 62","Calgary",1,1,10,66,120,2,0,200,454
48009,"Calgary Nose Hill/Calgary Nose Hill"," 63","Calgary",1,0,7,38,86,1,0,133,378
48009,"Calgary Nose Hill/Calgary Nose Hill"," 64","Calgary",1,4,11,44,112,4,0,176,465
48009,"Calgary Nose Hill/Calgary Nose Hill"," 65","Calgary",1,2,10,48,118,1,0,180,452
48009,"Calgary Nose Hill/Calgary Nose Hill"," 66","Calgary",0,3,12,65,136,2,1,219,480
48009,"Calgary Nose Hill/Calgary Nose Hill"," 67","Calgary",0,1,9,45,115,0,0,170,430
48009,"Calgary Nose Hill/Calgary Nose Hill"," 68","Calgary",1,4,4,45,114,1,3,172,436
48009,"Calgary Nose Hill/Calgary Nose Hill"," 69","Calgary",1,4,7,52,90,0,2,156,391
48009,"Calgary Nose Hill/Calgary Nose Hill"," 70","Calgary",1,6,13,66,125,2,1,214,466
48009,"Calgary Nose Hill/Calgary Nose Hill"," 71","Calgary",1,2,5,47,115,0,1,171,377
48009,"Calgary Nose Hill/Calgary Nose Hill"," 72","Calgary",1,8,31,76,117,2,1,236,499
48009,"Calgary Nose Hill/Calgary Nose Hill"," 73","Calgary",0,1,11,37,110,2,0,161,296
48009,"Calgary Nose Hill/Calgary Nose Hill"," 74","Calgary",0,3,18,60,128,8,0,217,438
48009,"Calgary Nose Hill/Calgary Nose Hill"," 75","Calgary",0,0,3,32,87,2,0,124,252
48009,"Calgary Nose Hill/Calgary Nose Hill"," 76","Calgary",0,1,4,26,140,2,1,174,341
48009,"Calgary Nose Hill/Calgary Nose Hill"," 77","Calgary",0,2,12,48,132,6,0,200,460
48009,"Calgary Nose Hill/Calgary Nose Hill"," 78","Calgary",1,0,11,51,113,5,1,182,496
48009,"Calgary Nose Hill/Calgary Nose Hill"," 79","Calgary",1,0,6,43,79,1,2,132,284
48009,"Calgary Nose Hill/Calgary Nose Hill"," 80","Calgary",0,2,5,30,82,2,2,123,298
48009,"Calgary Nose Hill/Calgary Nose Hill"," 81","Calgary",0,5,18,48,137,0,1,209,476
48009,"Calgary Nose Hill/Calgary Nose Hill"," 82","Calgary",0,3,16,68,146,6,0,239,514
48009,"Calgary Nose Hill/Calgary Nose Hill"," 83","Calgary",0,1,3,38,97,0,2,141,312
48009,"Calgary Nose Hill/Calgary Nose Hill"," 84","Calgary",0,3,12,60,162,1,2,240,442
48009,"Calgary Nose Hill/Calgary Nose Hill"," 85","Calgary",0,1,9,33,109,1,0,153,326
48009,"Calgary Nose Hill/Calgary Nose Hill"," 86","Calgary",0,3,15,60,121,3,0,202,392
48009,"Calgary Nose Hill/Calgary Nose Hill"," 87","Calgary",1,1,12,55,96,4,0,169,332
48009,"Calgary Nose Hill/Calgary Nose Hill"," 88","Calgary",4,2,12,74,152,1,1,246,497
48009,"Calgary Nose Hill/Calgary Nose Hill"," 89","Calgary",0,2,19,73,130,4,0,228,472
48009,"Calgary Nose Hill/Calgary Nose Hill"," 90","Calgary",0,4,36,82,121,14,0,257,469
48009,"Calgary Nose Hill/Calgary Nose Hill"," 91","Calgary",0,1,20,44,148,7,0,220,417
48009,"Calgary Nose Hill/Calgary Nose Hill"," 92","Calgary",0,4,17,68,134,3,0,226,420
48009,"Calgary Nose Hill/Calgary Nose Hill"," 93","Calgary",0,5,30,80,190,4,0,309,487
48009,"Calgary Nose Hill/Calgary Nose Hill"," 94","Calgary",1,5,16,73,129,12,1,237,468
48009,"Calgary Nose Hill/Calgary Nose Hill"," 95","Calgary",0,3,15,74,156,4,1,253,534
48009,"Calgary Nose Hill/Calgary Nose Hill"," 96","Calgary",0,4,9,51,117,5,0,186,392
48009,"Calgary Nose Hill/Calgary Nose Hill"," 97","Calgary",1,2,21,57,61,5,1,148,310
48009,"Calgary Nose Hill/Calgary Nose Hill"," 98","Calgary",0,7,18,54,154,8,0,241,453
48009,"Calgary Nose Hill/Calgary Nose Hill"," 99","Calgary",1,4,15,54,176,8,0,258,410
48009,"Calgary Nose Hill/Calgary Nose Hill"," 100","Calgary",0,0,15,56,166,8,0,245,416
48009,"Calgary Nose Hill/Calgary Nose Hill"," 101","Calgary",0,3,27,59,172,11,0,272,523
48009,"Calgary Nose Hill/Calgary Nose Hill"," 102","Calgary",0,5,28,62,159,10,0,264,470
48009,"Calgary Nose Hill/Calgary Nose Hill"," 103","Calgary",0,5,24,73,153,6,2,263,486
48009,"Calgary Nose Hill/Calgary Nose Hill"," 104","Calgary",1,0,20,73,170,9,0,273,492
48009,"Calgary Nose Hill/Calgary Nose Hill"," 105","Calgary",1,4,31,66,109,13,2,226,454
48009,"Calgary Nose Hill/Calgary Nose Hill"," 106","Calgary",2,2,13,59,155,6,2,239,473
48009,"Calgary Nose Hill/Calgary Nose Hill"," 107","Calgary",1,4,13,58,217,4,2,299,524
48009,"Calgary Nose Hill/Calgary Nose Hill"," 108","Calgary",0,6,26,49,156,13,1,251,429
48009,"Calgary Nose Hill/Calgary Nose Hill"," 109","Calgary",1,1,16,47,125,9,2,201,452
48009,"Calgary Nose Hill/Calgary Nose Hill"," 110","Calgary",2,3,18,53,134,5,1,216,439
48009,"Calgary Nose Hill/Calgary Nose Hill"," 111","Calgary",1,6,19,69,138,6,1,240,492
48009,"Calgary Nose Hill/Calgary Nose Hill"," 112","Calgary",0,2,13,65,129,9,3,221,491
48009,"Calgary Nose Hill/Calgary Nose Hill"," 113","Calgary",0,1,19,44,139,5,0,208,412
48009,"Calgary Nose Hill/Calgary Nose Hill"," 114","Calgary",0,4,10,55,159,8,2,238,484
48009,"Calgary Nose Hill/Calgary Nose Hill"," 115","Calgary",0,7,15,69,128,4,0,223,451
48009,"Calgary Nose Hill/Calgary Nose Hill"," 116","Calgary",0,2,6,57,137,5,0,207,393
48009,"Calgary Nose Hill/Calgary Nose Hill"," 117","Calgary",2,3,13,56,103,3,2,182,391
48009,"Calgary Nose Hill/Calgary Nose Hill"," 118","Calgary",0,3,15,48,140,6,1,213,458
48009,"Calgary Nose Hill/Calgary Nose Hill"," 119","Calgary",0,1,18,47,90,3,1,160,337
48009,"Calgary Nose Hill/Calgary Nose Hill"," 120","Calgary",0,2,24,49,118,7,0,200,383
48009,"Calgary Nose Hill/Calgary Nose Hill"," 121","Calgary",1,4,26,61,136,5,0,233,445
48009,"Calgary Nose Hill/Calgary Nose Hill"," 122","Calgary",0,2,13,63,199,3,1,281,514
48009,"Calgary Nose Hill/Calgary Nose Hill"," 123","Calgary",0,1,12,54,130,0,0,197,405
48009,"Calgary Nose Hill/Calgary Nose Hill"," 124","Calgary",1,3,14,54,194,2,0,268,470
48009,"Calgary Nose Hill/Calgary Nose Hill"," 125","Calgary",1,1,20,40,137,6,0,205,415
48009,"Calgary Nose Hill/Calgary Nose Hill"," 126","Calgary",1,8,17,57,130,9,0,222,360
48009,"Calgary Nose Hill/Calgary Nose Hill"," 127","Calgary",0,4,14,39,100,5,1,163,333
48009,"Calgary Nose Hill/Calgary Nose Hill"," 128","Calgary",1,1,17,51,133,6,2,211,402
48009,"Calgary Nose Hill/Calgary Nose Hill"," 129","Calgary",0,1,23,59,130,6,0,219,459
48009,"Calgary Nose Hill/Calgary Nose Hill"," 130","Calgary",3,1,26,48,85,15,1,179,395
48009,"Calgary Nose Hill/Calgary Nose Hill"," 131","Calgary",1,6,25,60,124,6,0,222,433
48009,"Calgary Nose Hill/Calgary Nose Hill"," 132","Calgary",1,7,19,43,82,14,3,169,337
48009,"Calgary Nose Hill/Calgary Nose Hill"," 133","Calgary",0,7,34,91,162,19,1,314,548
48009,"Calgary Nose Hill/Calgary Nose Hill"," 134","Calgary",1,3,28,51,134,6,0,223,394
48009,"Calgary Nose Hill/Calgary Nose Hill"," 135","Calgary",1,2,22,65,157,9,0,256,527
48009,"Calgary Nose Hill/Calgary Nose Hill"," 136","Calgary",0,3,19,47,90,5,1,165,377
48009,"Calgary Nose Hill/Calgary Nose Hill"," 137","Calgary",0,5,15,59,120,4,1,204,415
48009,"Calgary Nose Hill/Calgary Nose Hill"," 138","Calgary",1,4,24,59,98,10,3,199,429
48009,"Calgary Nose Hill/Calgary Nose Hill"," 139","Calgary",0,3,36,75,90,6,0,210,507
48009,"Calgary Nose Hill/Calgary Nose Hill"," 140","Calgary",0,3,26,68,133,16,1,247,497
48009,"Calgary Nose Hill/Calgary Nose Hill"," 141","Calgary",0,2,21,46,92,3,0,164,332
48009,"Calgary Nose Hill/Calgary Nose Hill"," 142","Calgary",2,6,26,76,109,4,1,224,452
48009,"Calgary Nose Hill/Calgary Nose Hill"," 143","Calgary",0,3,12,28,88,2,1,134,297
48009,"Calgary Nose Hill/Calgary Nose Hill"," 144","Calgary",0,4,24,49,110,10,1,198,370
48009,"Calgary Nose Hill/Calgary Nose Hill"," 145","Calgary",0,2,13,47,109,3,0,174,364
48009,"Calgary Nose Hill/Calgary Nose Hill"," 146","Calgary",1,2,37,56,181,16,2,295,501
48009,"Calgary Nose Hill/Calgary Nose Hill"," 147","Calgary",0,5,20,39,93,12,0,169,338
48009,"Calgary Nose Hill/Calgary Nose Hill"," 148","Calgary",1,7,18,48,109,11,1,195,375
48009,"Calgary Nose Hill/Calgary Nose Hill"," 149","Calgary",3,3,18,74,71,10,3,182,432
48009,"Calgary Nose Hill/Calgary Nose Hill"," 150","Calgary",1,2,14,48,140,9,2,216,426
48009,"Calgary Nose Hill/Calgary Nose Hill"," 151","Calgary",0,4,25,53,89,12,1,184,405
48009,"Calgary Nose Hill/Calgary Nose Hill"," 152","Calgary",1,4,27,50,109,6,1,198,397
48009,"Calgary Nose Hill/Calgary Nose Hill"," 153","Calgary",0,6,39,59,186,8,3,301,555
48009,"Calgary Nose Hill/Calgary Nose Hill"," 154","Calgary",1,2,23,74,140,13,0,253,392
