Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Blaine Calkins,Doug Hart,Les Kuzyk,Jeff Rock,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 1","Hoadley",211,26,8,20,0,265,392
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 2","Homeglen",123,8,4,15,0,150,250
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 3","Bluffton",187,18,8,27,1,241,407
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 4","Dakota",160,19,1,8,3,191,358
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 5","Crestomere",218,14,1,20,0,253,307
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 6","Crestomere",165,17,2,10,0,194,278
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 7","Last West",155,6,1,11,2,175,307
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 8","Rimbey",163,11,10,15,0,199,320
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 9","Rimbey",170,2,2,12,1,187,325
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 10A","Rimbey",164,11,3,19,0,197,383
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 10B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,55
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 11","Rimbey",115,19,3,20,2,159,326
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 12","Rimbey",168,22,6,29,0,225,513
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 13A","Rimbey",214,16,8,23,0,261,443
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 13B","Rimbey",187,10,2,24,1,224,386
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 14","Rimbey",130,12,4,22,0,168,317
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 15","Rimbey",190,9,3,18,0,220,377
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 16","Gilby",265,7,5,13,1,291,485
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 17","Bentley",197,13,13,42,1,266,364
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 18","Bentley",211,16,10,15,1,253,364
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 19","Bentley",190,23,10,28,0,251,381
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 20","Bentley",266,18,5,42,0,331,507
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 21","Birchcliff",201,20,5,21,0,247,429
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 22","Gull Lake",284,18,6,32,1,341,521
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 23","Lacombe County",213,12,6,18,0,249,391
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 24","Lacombe County",298,19,10,31,0,358,612
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 25","Lacombe County",209,17,7,23,2,258,388
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 26","Lacombe County",218,16,4,31,0,269,486
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 27","Lacombe County",220,12,6,18,0,256,363
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 28","Ponoka County No. 3",149,19,5,12,0,185,297
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 29","Ponoka County No. 3",278,18,6,25,0,327,542
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 30","Ponoka",121,29,2,27,0,179,331
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 31","Ponoka",163,30,14,35,0,242,467
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 32","Ponoka County No. 3",104,32,6,21,0,163,276
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 33","Ponoka",109,30,4,27,0,170,334
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 34","Ponoka",201,30,8,43,0,282,445
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 35","Ponoka County No. 3",173,14,2,15,0,204,327
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 36","Ponoka County No. 3",152,10,3,14,0,179,318
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 37","Ponoka County No. 3",233,16,2,29,0,280,426
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 38","Ponoka County No. 3",208,8,5,19,0,240,360
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 39A","Ponoka",114,10,2,12,2,140,262
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 39B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,79
