Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Andrews,Jeannie Baldwin,Lorraine E. Barnett,Krista Byrne-Puumala,Jennifer McCreath,Ken McDonald,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 1","Freshwater",39,9,4,0,0,55,0,107,133
10001,"Avalon/Avalon"," 2","Salmon Cove--Perry's Cove",Void/Supprimé,,,,,,,,
10001,"Avalon/Avalon"," 3","Victoria",71,16,17,1,1,86,1,193,337
10001,"Avalon/Avalon"," 4","Victoria",59,29,38,1,0,87,4,218,444
10001,"Avalon/Avalon"," 5","Victoria",61,22,14,0,1,85,0,183,459
10001,"Avalon/Avalon"," 6","Victoria",59,9,13,0,0,45,0,126,269
10001,"Avalon/Avalon"," 7","Carbonear",45,31,11,0,0,74,2,163,343
10001,"Avalon/Avalon"," 8","Carbonear",43,31,17,0,0,97,0,188,426
10001,"Avalon/Avalon"," 9","Carbonear",55,18,13,1,0,103,0,190,381
10001,"Avalon/Avalon"," 10","Carbonear",48,15,15,0,0,78,3,159,365
10001,"Avalon/Avalon"," 11","Carbonear",33,9,18,0,0,84,1,145,306
10001,"Avalon/Avalon"," 12","Carbonear",43,20,16,0,0,120,0,199,421
10001,"Avalon/Avalon"," 13","Harbour Grace--Bristol's Hope",54,25,33,0,0,128,0,240,481
10001,"Avalon/Avalon"," 14","Harbour Grace",44,15,16,2,0,99,1,177,417
10001,"Avalon/Avalon"," 15","Harbour Grace",40,14,6,0,0,50,0,110,210
10001,"Avalon/Avalon"," 16","Carbonear",49,8,19,0,1,83,0,160,339
10001,"Avalon/Avalon"," 17","Carbonear",43,14,18,0,0,73,0,148,366
10001,"Avalon/Avalon"," 18","Carbonear",28,11,11,0,0,96,0,146,299
10001,"Avalon/Avalon"," 19","Carbonear",27,17,19,0,0,86,0,149,320
10001,"Avalon/Avalon"," 20","Carbonear",25,17,12,0,1,99,1,155,373
10001,"Avalon/Avalon"," 21","Bryant's Cove",15,12,8,0,0,133,0,168,280
10001,"Avalon/Avalon"," 22","Upper Island Cove",63,12,13,0,0,142,0,230,489
10001,"Avalon/Avalon"," 23","Upper Island Cove",35,12,10,0,0,75,3,135,289
10001,"Avalon/Avalon"," 24","Upper Island Cove",30,9,7,1,0,70,0,117,234
10001,"Avalon/Avalon"," 25","Upper Island Cove",47,23,11,2,0,101,0,184,351
10001,"Avalon/Avalon"," 26","Harbour Grace South",29,13,9,1,0,62,1,115,205
10001,"Avalon/Avalon"," 27","Harbour Grace South",32,10,17,1,0,70,1,131,288
10001,"Avalon/Avalon"," 28","Riverhead--Harbour Grace",19,22,9,1,0,42,0,93,246
10001,"Avalon/Avalon"," 29","Harbour Grace",27,14,18,3,2,84,1,149,377
10001,"Avalon/Avalon"," 30","Harbour Grace",65,13,27,1,1,81,1,189,378
10001,"Avalon/Avalon"," 31","Harbour Grace",47,17,7,0,0,68,0,139,303
10001,"Avalon/Avalon"," 32","Spaniard's Bay",46,16,11,0,0,69,5,147,382
10001,"Avalon/Avalon"," 33","Spaniard's Bay",55,18,20,0,0,121,1,215,301
10001,"Avalon/Avalon"," 34A","Spaniard's Bay",45,24,15,2,0,110,2,198,404
10001,"Avalon/Avalon"," 34B","Spaniard's Bay",Merged with No./Fusionné avec le n°33,,,,,,,,126
10001,"Avalon/Avalon"," 35","Spaniard's Bay",34,10,12,1,0,135,1,193,397
10001,"Avalon/Avalon"," 36","Tilton",37,20,6,1,0,104,1,169,309
10001,"Avalon/Avalon"," 37","Spaniard's Bay",19,9,16,0,0,53,0,97,267
10001,"Avalon/Avalon"," 38","Bay Roberts",47,28,37,4,0,135,1,252,550
10001,"Avalon/Avalon"," 39","Bay Roberts",45,21,33,0,0,129,3,231,503
10001,"Avalon/Avalon"," 40","Bay Roberts",49,17,39,0,0,147,3,255,510
10001,"Avalon/Avalon"," 41","Bay Roberts",46,17,35,2,0,143,2,245,477
10001,"Avalon/Avalon"," 42","Blow Me Down--Port de Grave",20,5,29,0,0,41,0,95,150
10001,"Avalon/Avalon"," 43","Port de Grave",31,2,31,0,0,54,0,118,230
10001,"Avalon/Avalon"," 44","Cupids",53,15,3,1,0,54,0,126,238
10001,"Avalon/Avalon"," 45","Cupids",49,20,28,0,1,114,0,212,313
10001,"Avalon/Avalon"," 46","Conception Bay South",52,50,24,2,1,121,1,251,472
10001,"Avalon/Avalon"," 47A","Conception Bay South",43,31,25,1,0,146,0,246,478
10001,"Avalon/Avalon"," 47B","Conception Bay South",38,36,34,2,0,139,2,251,476
10001,"Avalon/Avalon"," 48","Conception Bay South",47,39,35,0,1,182,0,304,549
10001,"Avalon/Avalon"," 49","Conception Bay South",36,49,16,0,1,148,0,250,437
10001,"Avalon/Avalon"," 50","Conception Bay South",32,30,11,0,0,108,1,182,391
10001,"Avalon/Avalon"," 51","Conception Bay South",26,44,7,1,0,181,1,260,527
10001,"Avalon/Avalon"," 52","Conception Bay South",25,36,24,1,0,141,0,227,436
10001,"Avalon/Avalon"," 53A","Conception Bay South",19,14,12,1,0,102,0,148,284
10001,"Avalon/Avalon"," 53B","Conception Bay South",22,22,11,0,0,73,0,128,274
10001,"Avalon/Avalon"," 54A","Conception Bay South",35,34,12,2,0,116,0,199,430
10001,"Avalon/Avalon"," 54B","Conception Bay South",25,47,16,2,0,131,2,223,454
10001,"Avalon/Avalon"," 55","Conception Bay South",36,41,8,1,0,112,2,200,439
10001,"Avalon/Avalon"," 56","Conception Bay South",22,26,9,1,0,90,0,148,334
10001,"Avalon/Avalon"," 57","Conception Bay South",24,37,26,1,0,117,3,208,444
10001,"Avalon/Avalon"," 58","Conception Bay South",39,35,27,3,1,132,0,237,458
10001,"Avalon/Avalon"," 59","Conception Bay South",46,49,23,1,2,153,0,274,519
10001,"Avalon/Avalon"," 60","Conception Bay South",53,41,24,2,1,143,1,265,541
10001,"Avalon/Avalon"," 61","Conception Bay South",49,32,13,1,1,134,0,230,445
10001,"Avalon/Avalon"," 62A","Conception Bay South",20,28,7,0,0,79,1,135,294
10001,"Avalon/Avalon"," 62B","Conception Bay South",25,24,5,2,0,88,0,144,277
10001,"Avalon/Avalon"," 63","Conception Bay South",65,12,38,1,0,152,0,268,517
10001,"Avalon/Avalon"," 64","Conception Bay South",46,37,21,2,0,124,0,230,470
10001,"Avalon/Avalon"," 65","Conception Bay South",27,53,20,0,0,129,0,229,477
10001,"Avalon/Avalon"," 66","Conception Bay South",41,22,19,2,1,123,1,209,405
10001,"Avalon/Avalon"," 67","Conception Bay South",35,46,17,1,0,122,0,221,494
10001,"Avalon/Avalon"," 68","Conception Bay South",30,72,20,3,0,172,2,299,538
10001,"Avalon/Avalon"," 69","Conception Bay South",27,58,21,4,1,141,1,253,444
10001,"Avalon/Avalon"," 70","Conception Bay South",28,35,15,1,0,136,1,216,408
10001,"Avalon/Avalon"," 71A","Conception Bay South",18,18,21,1,1,94,2,155,302
10001,"Avalon/Avalon"," 71B","Conception Bay South",15,27,9,2,1,100,0,154,313
10001,"Avalon/Avalon"," 72","Conception Bay South",31,42,16,2,0,154,0,245,525
10001,"Avalon/Avalon"," 73","Conception Bay South",32,52,25,0,0,121,2,232,522
10001,"Avalon/Avalon"," 74A","Conception Bay South",16,27,15,2,0,98,0,158,307
10001,"Avalon/Avalon"," 74B","Conception Bay South",20,39,11,0,0,91,0,161,310
10001,"Avalon/Avalon"," 75","Conception Bay South",20,39,31,2,2,169,0,263,464
10001,"Avalon/Avalon"," 76","Conception Bay South",18,41,22,1,0,154,1,237,449
10001,"Avalon/Avalon"," 77","Conception Bay South",20,60,14,1,0,170,3,268,488
10001,"Avalon/Avalon"," 78","Conception Bay South",38,51,31,1,0,162,1,284,512
10001,"Avalon/Avalon"," 79","Conception Bay South",21,25,11,0,0,90,0,147,331
10001,"Avalon/Avalon"," 80","Conception Bay South",11,51,25,3,0,135,0,225,466
10001,"Avalon/Avalon"," 81A","Paradise",12,31,14,0,1,88,0,146,324
10001,"Avalon/Avalon"," 81B","Paradise",9,34,14,0,1,101,0,159,313
10001,"Avalon/Avalon"," 82A","Paradise",15,60,15,2,0,177,0,269,515
10001,"Avalon/Avalon"," 82B","Paradise",Merged with No./Fusionné avec le n°83,,,,,,,,178
10001,"Avalon/Avalon"," 83","Paradise",13,44,22,0,0,139,2,220,318
10001,"Avalon/Avalon"," 84","Paradise",8,40,21,3,0,139,0,211,438
10001,"Avalon/Avalon"," 85A","Paradise",10,30,12,0,0,94,0,146,300
10001,"Avalon/Avalon"," 85B","Paradise",7,32,12,1,0,98,0,150,298
