Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,Don Davies,Matt Kadioglu,Steven Kou,Catherine Moore,Donna Petersen,Jojo Quimpo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Kingsway/Vancouver Kingsway"," 1","Vancouver",0,126,1,82,20,0,26,1,256,469
59038,"Vancouver Kingsway/Vancouver Kingsway"," 2","Vancouver",3,118,2,69,9,0,44,2,247,473
59038,"Vancouver Kingsway/Vancouver Kingsway"," 3","Vancouver",2,91,2,43,11,0,38,5,192,428
59038,"Vancouver Kingsway/Vancouver Kingsway"," 4","Vancouver",2,112,3,57,7,0,33,0,214,428
59038,"Vancouver Kingsway/Vancouver Kingsway"," 5","Vancouver",0,110,0,62,9,0,31,4,216,450
59038,"Vancouver Kingsway/Vancouver Kingsway"," 6","Vancouver",5,153,4,54,14,0,43,1,274,462
59038,"Vancouver Kingsway/Vancouver Kingsway"," 7","Vancouver",1,95,2,73,8,0,36,3,218,444
59038,"Vancouver Kingsway/Vancouver Kingsway"," 8","Vancouver",2,147,5,65,9,0,51,1,280,520
59038,"Vancouver Kingsway/Vancouver Kingsway"," 9","Vancouver",5,107,1,62,15,0,39,1,230,484
59038,"Vancouver Kingsway/Vancouver Kingsway"," 10","Vancouver",4,96,2,59,7,0,48,2,218,456
59038,"Vancouver Kingsway/Vancouver Kingsway"," 11","Vancouver",0,84,3,66,7,0,33,0,193,392
59038,"Vancouver Kingsway/Vancouver Kingsway"," 12","Vancouver",0,75,2,74,4,0,39,2,196,425
59038,"Vancouver Kingsway/Vancouver Kingsway"," 13","Vancouver",3,113,2,46,8,0,34,2,208,389
59038,"Vancouver Kingsway/Vancouver Kingsway"," 14","Vancouver",2,76,4,51,3,0,26,0,162,361
59038,"Vancouver Kingsway/Vancouver Kingsway"," 15","Vancouver",0,115,1,62,12,1,30,0,221,439
59038,"Vancouver Kingsway/Vancouver Kingsway"," 16","Vancouver",2,129,0,55,12,0,33,4,235,460
59038,"Vancouver Kingsway/Vancouver Kingsway"," 17","Vancouver",6,157,1,45,9,0,40,1,259,436
59038,"Vancouver Kingsway/Vancouver Kingsway"," 18","Vancouver",2,115,3,57,13,0,44,2,236,441
59038,"Vancouver Kingsway/Vancouver Kingsway"," 19","Vancouver",2,90,0,55,6,0,31,3,187,375
59038,"Vancouver Kingsway/Vancouver Kingsway"," 20","Vancouver",1,79,2,67,4,1,37,2,193,378
59038,"Vancouver Kingsway/Vancouver Kingsway"," 21","Vancouver",3,94,0,75,6,0,53,4,235,425
59038,"Vancouver Kingsway/Vancouver Kingsway"," 22","Vancouver",2,93,5,72,5,0,67,5,249,438
59038,"Vancouver Kingsway/Vancouver Kingsway"," 23","Vancouver",1,83,3,70,5,0,36,1,199,373
59038,"Vancouver Kingsway/Vancouver Kingsway"," 24","Vancouver",4,76,2,68,6,1,47,3,207,395
59038,"Vancouver Kingsway/Vancouver Kingsway"," 25","Vancouver",6,95,6,54,3,1,58,6,229,451
59038,"Vancouver Kingsway/Vancouver Kingsway"," 26","Vancouver",1,76,0,53,10,0,28,1,169,390
59038,"Vancouver Kingsway/Vancouver Kingsway"," 27","Vancouver",1,107,2,53,8,0,34,4,209,471
59038,"Vancouver Kingsway/Vancouver Kingsway"," 28","Vancouver",0,122,4,90,8,0,37,1,262,512
59038,"Vancouver Kingsway/Vancouver Kingsway"," 29","Vancouver",0,118,3,81,15,2,31,2,252,419
