Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Birinder Singh Ahluwalia,James Arruda,Ali Ehsassi,Chungsen Leung,Pouyan Tabasinejad,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35115,"Willowdale/Willowdale"," 462","North York",0,6,134,29,12,1,182,295
35115,"Willowdale/Willowdale"," 462-1","North York",Void/Supprimé,,,,,,,
35115,"Willowdale/Willowdale"," 462-2","North York",0,3,95,27,9,0,134,231
35115,"Willowdale/Willowdale"," 463","North York",Void/Supprimé,,,,,,,
35115,"Willowdale/Willowdale"," 464","North York",Void/Supprimé,,,,,,,
35115,"Willowdale/Willowdale"," 465","North York",Void/Supprimé,,,,,,,
35115,"Willowdale/Willowdale"," 466","North York",2,3,158,84,15,1,263,467
35115,"Willowdale/Willowdale"," 467","North York",1,4,149,85,8,1,248,414
35115,"Willowdale/Willowdale"," 468","North York",Merged with No./Fusionné avec le n°469,,,,,,,137
35115,"Willowdale/Willowdale"," 469","North York",0,8,135,40,23,0,206,201
35115,"Willowdale/Willowdale"," 470","North York",1,4,86,42,16,0,149,242
35115,"Willowdale/Willowdale"," 471","North York",0,4,99,49,10,1,163,295
35115,"Willowdale/Willowdale"," 472","North York",0,4,117,73,7,0,201,396
35115,"Willowdale/Willowdale"," 473","North York",0,2,129,53,16,0,200,314
35115,"Willowdale/Willowdale"," 473-1","North York",Merged with No./Fusionné avec le n°102,,,,,,,137
35115,"Willowdale/Willowdale"," 474","North York",1,6,143,72,15,1,238,446
35115,"Willowdale/Willowdale"," 475","North York",0,4,67,64,7,0,142,255
35115,"Willowdale/Willowdale"," 476","North York",0,1,58,48,8,1,116,229
35115,"Willowdale/Willowdale"," 477","North York",0,2,112,139,8,2,263,425
35115,"Willowdale/Willowdale"," 478","North York",2,5,104,70,13,0,194,397
35115,"Willowdale/Willowdale"," 479","North York",0,7,149,102,24,0,282,544
35115,"Willowdale/Willowdale"," 480","North York",4,2,68,57,8,1,140,226
35115,"Willowdale/Willowdale"," 481","North York",0,5,115,77,7,2,206,347
35115,"Willowdale/Willowdale"," 482","North York",1,8,174,74,25,0,282,293
35115,"Willowdale/Willowdale"," 483","North York",Merged with No./Fusionné avec le n°482,,,,,,,269
35115,"Willowdale/Willowdale"," 484","North York",0,9,178,103,28,3,321,294
35115,"Willowdale/Willowdale"," 485","North York",Merged with No./Fusionné avec le n°484,,,,,,,288
35115,"Willowdale/Willowdale"," 486","North York",1,1,50,37,13,0,102,215
35115,"Willowdale/Willowdale"," 487","North York",2,1,66,55,13,1,138,258
35115,"Willowdale/Willowdale"," 488","North York",0,2,55,52,3,0,112,263
35115,"Willowdale/Willowdale"," 489","North York",0,8,145,78,6,1,238,400
35115,"Willowdale/Willowdale"," 490","North York",2,5,171,76,24,3,281,295
35115,"Willowdale/Willowdale"," 491","North York",Merged with No./Fusionné avec le n°490,,,,,,,180
35115,"Willowdale/Willowdale"," 492","North York",2,7,93,76,13,2,193,422
35115,"Willowdale/Willowdale"," 493","North York",0,2,59,57,6,2,126,326
35115,"Willowdale/Willowdale"," 494","North York",0,1,142,37,10,0,190,382
35115,"Willowdale/Willowdale"," 495","North York",3,2,63,90,9,9,176,253
35115,"Willowdale/Willowdale"," 496","North York",0,6,139,69,9,1,224,400
35115,"Willowdale/Willowdale"," 497","North York",Void/Supprimé,,,,,,,
35115,"Willowdale/Willowdale"," 498","North York",2,10,153,104,21,3,293,465
35115,"Willowdale/Willowdale"," 499","North York",3,8,137,95,25,1,269,408
35115,"Willowdale/Willowdale"," 500","Mobile poll/Bureau itinérant",2,1,50,24,4,3,84,237
35115,"Willowdale/Willowdale"," 501","Mobile poll/Bureau itinérant",1,2,59,39,8,2,111,200
35115,"Willowdale/Willowdale"," 502","Mobile poll/Bureau itinérant",2,4,85,47,11,2,151,205
35115,"Willowdale/Willowdale"," 600","North York",5,13,364,330,56,5,773,
35115,"Willowdale/Willowdale"," 601","North York",4,11,390,291,33,1,730,
35115,"Willowdale/Willowdale"," 602","North York",1,22,371,334,52,2,782,
35115,"Willowdale/Willowdale"," 603","North York",0,9,197,142,37,4,389,
35115,"Willowdale/Willowdale"," 604","North York",3,15,478,319,63,2,880,
35115,"Willowdale/Willowdale"," 605","North York",0,11,281,182,42,0,516,
35115,"Willowdale/Willowdale"," 606","North York",2,5,319,294,29,0,649,
35115,"Willowdale/Willowdale"," 607","North York",4,25,602,399,75,1,1106,
35115,"Willowdale/Willowdale"," 608","North York",3,17,376,230,31,1,658,
35115,"Willowdale/Willowdale"," 609","North York",2,5,377,225,39,2,650,
35115,"Willowdale/Willowdale"," 610","North York",1,6,172,121,31,0,331,
35115,"Willowdale/Willowdale"," 611","North York",1,11,329,215,40,3,599,
35115,"Willowdale/Willowdale"," 612","North York",1,7,186,88,29,0,311,
35115,"Willowdale/Willowdale",,"Group 1/Groupe 1",0,2,54,26,15,5,102,94
35115,"Willowdale/Willowdale",,"Group 2/Groupe 2",8,39,666,392,141,16,1262,
