Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Majid Jowhari,Michael Parsa,Gwendolyn Veenema,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Richmond Hill/Richmond Hill"," 1","Richmond Hill",28,109,54,3,1,195,403
35087,"Richmond Hill/Richmond Hill"," 2","Richmond Hill",34,99,76,9,3,221,432
35087,"Richmond Hill/Richmond Hill"," 3","Richmond Hill",28,75,58,5,0,166,437
35087,"Richmond Hill/Richmond Hill"," 4","Richmond Hill",28,86,66,6,0,186,409
35087,"Richmond Hill/Richmond Hill"," 5","Richmond Hill",29,79,72,6,3,189,441
35087,"Richmond Hill/Richmond Hill"," 6","Richmond Hill",13,70,77,2,0,162,384
35087,"Richmond Hill/Richmond Hill"," 7","Richmond Hill",5,52,83,1,0,141,347
35087,"Richmond Hill/Richmond Hill"," 8","Richmond Hill",8,59,73,0,1,141,375
35087,"Richmond Hill/Richmond Hill"," 9","Richmond Hill",19,87,79,4,2,191,493
35087,"Richmond Hill/Richmond Hill"," 10","Richmond Hill",8,56,67,2,3,136,385
35087,"Richmond Hill/Richmond Hill"," 11","Richmond Hill",15,50,96,3,1,165,408
35087,"Richmond Hill/Richmond Hill"," 12","Richmond Hill",10,58,80,3,0,151,405
35087,"Richmond Hill/Richmond Hill"," 13","Richmond Hill",6,46,57,4,0,113,297
35087,"Richmond Hill/Richmond Hill"," 14","Richmond Hill",21,89,53,5,1,169,425
35087,"Richmond Hill/Richmond Hill"," 15","Richmond Hill",29,109,72,4,1,215,433
35087,"Richmond Hill/Richmond Hill"," 16","Richmond Hill",24,75,31,4,2,136,414
35087,"Richmond Hill/Richmond Hill"," 17","Richmond Hill",16,86,70,7,0,179,459
35087,"Richmond Hill/Richmond Hill"," 18","Richmond Hill",21,81,65,5,0,172,461
35087,"Richmond Hill/Richmond Hill"," 19","Richmond Hill",26,115,78,5,8,232,483
35087,"Richmond Hill/Richmond Hill"," 20","Richmond Hill",6,32,78,2,0,118,280
35087,"Richmond Hill/Richmond Hill"," 21","Richmond Hill",11,64,62,1,1,139,362
35087,"Richmond Hill/Richmond Hill"," 22","Richmond Hill",6,81,75,1,0,163,404
35087,"Richmond Hill/Richmond Hill"," 23","Richmond Hill",8,52,86,4,1,151,374
35087,"Richmond Hill/Richmond Hill"," 24","Richmond Hill",7,70,77,0,1,155,379
35087,"Richmond Hill/Richmond Hill"," 25","Richmond Hill",14,75,75,0,1,165,401
35087,"Richmond Hill/Richmond Hill"," 26","Richmond Hill",8,82,73,1,0,164,421
35087,"Richmond Hill/Richmond Hill"," 27","Richmond Hill",3,60,64,2,1,130,418
35087,"Richmond Hill/Richmond Hill"," 28","Richmond Hill",14,62,65,4,0,145,488
35087,"Richmond Hill/Richmond Hill"," 29","Richmond Hill",6,49,90,4,1,150,376
35087,"Richmond Hill/Richmond Hill"," 30","Richmond Hill",6,44,106,4,1,161,418
35087,"Richmond Hill/Richmond Hill"," 31","Richmond Hill",10,72,122,5,1,210,543
35087,"Richmond Hill/Richmond Hill"," 32","Richmond Hill",3,51,93,2,2,151,415
35087,"Richmond Hill/Richmond Hill"," 33","Richmond Hill",5,56,60,0,0,121,368
35087,"Richmond Hill/Richmond Hill"," 34","Richmond Hill",5,46,72,3,0,126,336
35087,"Richmond Hill/Richmond Hill"," 35","Richmond Hill",2,70,70,1,0,143,396
35087,"Richmond Hill/Richmond Hill"," 36","Richmond Hill",6,74,75,4,0,159,476
35087,"Richmond Hill/Richmond Hill"," 37","Richmond Hill",2,77,82,1,3,165,436
35087,"Richmond Hill/Richmond Hill"," 38","Richmond Hill",7,78,72,2,0,159,426
35087,"Richmond Hill/Richmond Hill"," 39","Richmond Hill",2,45,72,2,0,121,387
35087,"Richmond Hill/Richmond Hill"," 40","Richmond Hill",4,97,109,1,2,213,498
35087,"Richmond Hill/Richmond Hill"," 41","Richmond Hill",9,61,88,0,1,159,378
35087,"Richmond Hill/Richmond Hill"," 42","Richmond Hill",3,33,85,0,1,122,268
35087,"Richmond Hill/Richmond Hill"," 43","Richmond Hill",15,97,119,0,1,232,463
35087,"Richmond Hill/Richmond Hill"," 44","Richmond Hill",8,61,58,1,0,128,374
35087,"Richmond Hill/Richmond Hill"," 45","Richmond Hill",13,71,55,3,0,142,417
35087,"Richmond Hill/Richmond Hill"," 46","Richmond Hill",26,85,44,3,0,158,351
35087,"Richmond Hill/Richmond Hill"," 47","Richmond Hill",14,53,68,4,2,141,293
35087,"Richmond Hill/Richmond Hill"," 48","Richmond Hill",14,83,63,5,1,166,393
35087,"Richmond Hill/Richmond Hill"," 49","Richmond Hill",18,88,55,1,1,163,468
35087,"Richmond Hill/Richmond Hill"," 50","Richmond Hill",20,78,69,7,0,174,430
35087,"Richmond Hill/Richmond Hill"," 51","Richmond Hill",23,112,101,3,1,240,471
35087,"Richmond Hill/Richmond Hill"," 52","Richmond Hill",17,64,48,5,2,136,340
35087,"Richmond Hill/Richmond Hill"," 53","Richmond Hill",15,69,59,3,0,146,303
35087,"Richmond Hill/Richmond Hill"," 54","Richmond Hill",29,99,84,4,1,217,418
35087,"Richmond Hill/Richmond Hill"," 55","Richmond Hill",31,84,64,1,2,182,384
35087,"Richmond Hill/Richmond Hill"," 56","Richmond Hill",28,62,90,2,2,184,458
35087,"Richmond Hill/Richmond Hill"," 57","Richmond Hill",23,98,77,5,2,205,463
35087,"Richmond Hill/Richmond Hill"," 58","Richmond Hill",28,123,83,8,0,242,551
35087,"Richmond Hill/Richmond Hill"," 59","Richmond Hill",16,57,93,3,7,176,276
35087,"Richmond Hill/Richmond Hill"," 60","Richmond Hill",22,76,49,6,0,153,315
35087,"Richmond Hill/Richmond Hill"," 61","Richmond Hill",25,58,39,2,0,124,291
35087,"Richmond Hill/Richmond Hill"," 62","Richmond Hill",20,100,112,5,0,237,461
35087,"Richmond Hill/Richmond Hill"," 63","Richmond Hill",28,81,70,2,2,183,432
35087,"Richmond Hill/Richmond Hill"," 64","Richmond Hill",16,120,80,7,0,223,457
35087,"Richmond Hill/Richmond Hill"," 65","Richmond Hill",19,88,74,9,1,191,383
35087,"Richmond Hill/Richmond Hill"," 66","Richmond Hill",24,103,64,5,1,197,381
35087,"Richmond Hill/Richmond Hill"," 67","Richmond Hill",18,97,85,3,1,204,427
35087,"Richmond Hill/Richmond Hill"," 68","Richmond Hill",21,109,56,6,1,193,355
35087,"Richmond Hill/Richmond Hill"," 69","Richmond Hill",29,94,56,4,1,184,378
35087,"Richmond Hill/Richmond Hill"," 70","Richmond Hill",17,96,73,8,0,194,390
35087,"Richmond Hill/Richmond Hill"," 71","Richmond Hill",21,111,79,8,1,220,391
35087,"Richmond Hill/Richmond Hill"," 72","Richmond Hill",24,87,95,4,0,210,424
35087,"Richmond Hill/Richmond Hill"," 73","Richmond Hill",14,115,128,0,1,258,471
35087,"Richmond Hill/Richmond Hill"," 74","Richmond Hill",12,108,115,5,1,241,501
35087,"Richmond Hill/Richmond Hill"," 75","Richmond Hill",17,77,145,3,0,242,475
35087,"Richmond Hill/Richmond Hill"," 76","Richmond Hill",14,117,145,3,0,279,495
35087,"Richmond Hill/Richmond Hill"," 77","Richmond Hill",8,84,114,7,0,213,415
35087,"Richmond Hill/Richmond Hill"," 78","Richmond Hill",15,79,115,7,1,217,419
35087,"Richmond Hill/Richmond Hill"," 79","Richmond Hill",20,93,130,3,0,246,463
35087,"Richmond Hill/Richmond Hill"," 80","Richmond Hill",25,119,103,7,0,254,397
35087,"Richmond Hill/Richmond Hill"," 81","Richmond Hill",22,90,105,8,0,225,389
35087,"Richmond Hill/Richmond Hill"," 82","Richmond Hill",8,73,65,9,0,155,316
35087,"Richmond Hill/Richmond Hill"," 83","Richmond Hill",16,75,82,5,0,178,430
35087,"Richmond Hill/Richmond Hill"," 84","Richmond Hill",21,102,83,7,1,214,429
35087,"Richmond Hill/Richmond Hill"," 85","Richmond Hill",9,78,58,1,0,146,359
35087,"Richmond Hill/Richmond Hill"," 86","Richmond Hill",14,63,65,1,1,144,331
35087,"Richmond Hill/Richmond Hill"," 87","Richmond Hill",25,126,124,4,0,279,524
35087,"Richmond Hill/Richmond Hill"," 88","Richmond Hill",27,103,81,2,1,214,373
35087,"Richmond Hill/Richmond Hill"," 89","Richmond Hill",15,95,110,2,2,224,403
35087,"Richmond Hill/Richmond Hill"," 90","Richmond Hill",11,81,83,2,1,178,354
35087,"Richmond Hill/Richmond Hill"," 91","Richmond Hill",30,105,74,3,3,215,398
35087,"Richmond Hill/Richmond Hill"," 92","Richmond Hill",16,64,82,3,0,165,324
35087,"Richmond Hill/Richmond Hill"," 93","Richmond Hill",10,65,80,0,1,156,296
35087,"Richmond Hill/Richmond Hill"," 94","Richmond Hill",12,119,119,3,3,256,513
35087,"Richmond Hill/Richmond Hill"," 95","Richmond Hill",20,99,46,0,1,166,351
35087,"Richmond Hill/Richmond Hill"," 96","Richmond Hill",19,105,68,10,2,204,412
35087,"Richmond Hill/Richmond Hill"," 97","Richmond Hill",16,61,71,4,0,152,264
35087,"Richmond Hill/Richmond Hill"," 98","Richmond Hill",8,21,15,4,0,48,116
35087,"Richmond Hill/Richmond Hill"," 99A","Richmond Hill",19,86,58,2,0,165,381
35087,"Richmond Hill/Richmond Hill"," 99B","Richmond Hill",25,67,39,3,1,135,349
35087,"Richmond Hill/Richmond Hill"," 100","Richmond Hill",30,113,88,3,0,234,487
35087,"Richmond Hill/Richmond Hill"," 101","Richmond Hill",21,94,72,4,0,191,396
35087,"Richmond Hill/Richmond Hill"," 102","Richmond Hill",21,122,111,6,2,262,542
35087,"Richmond Hill/Richmond Hill"," 103","Richmond Hill",17,83,88,3,1,192,374
35087,"Richmond Hill/Richmond Hill"," 104","Richmond Hill",9,97,73,2,1,182,393
35087,"Richmond Hill/Richmond Hill"," 105","Richmond Hill",19,77,93,2,0,191,500
35087,"Richmond Hill/Richmond Hill"," 106","Richmond Hill",33,127,91,4,1,256,509
35087,"Richmond Hill/Richmond Hill"," 107","Richmond Hill",10,97,79,1,3,190,415
35087,"Richmond Hill/Richmond Hill"," 108","Richmond Hill",13,101,79,4,2,199,431
35087,"Richmond Hill/Richmond Hill"," 109","Richmond Hill",11,84,110,6,1,212,515
35087,"Richmond Hill/Richmond Hill"," 110","Richmond Hill",21,116,92,7,0,236,437
35087,"Richmond Hill/Richmond Hill"," 111","Richmond Hill",7,119,100,2,1,229,452
35087,"Richmond Hill/Richmond Hill"," 112","Richmond Hill",6,42,97,2,0,147,378
35087,"Richmond Hill/Richmond Hill"," 113","Richmond Hill",11,60,54,5,0,130,298
