Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Anguish,Larry Ingram,Gerry Ritz,Glenn Tait,Mikaela Tenkink,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1A","Onion Lake",2,180,6,257,1,9,455,1050
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1B","Onion Lake",2,109,15,233,0,1,360,844
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 2","Fort Pitt",3,2,196,5,3,1,210,273
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 3","Hillmond",3,16,227,19,4,1,270,390
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 4","Bolney",4,37,346,23,6,0,416,575
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 5","Bolney",0,5,57,3,0,0,65,239
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 6","St. Walburg",1,25,154,10,4,2,196,365
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 7","St. Walburg",3,29,194,23,1,0,250,408
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 8","Spruce Lake",3,16,107,8,1,1,136,302
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 9","Livelong",7,59,291,51,9,1,418,600
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 10","Thunderchild First Nation 115B",0,54,9,82,1,3,149,208
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 11","Turtleford",7,93,243,129,4,1,477,786
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 12","Glaslyn",1,12,91,12,0,0,116,180
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 13","Glaslyn",9,26,155,20,4,0,214,440
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 14","Mervin",9,49,415,41,15,1,530,777
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 15","Paynton",5,40,108,34,5,3,195,501
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 16","Northminster",2,8,176,7,2,0,195,387
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 17","Lloydminster",4,13,163,17,2,0,199,516
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 18","Lloydminster",4,23,154,25,7,1,214,323
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 19","Lloydminster (Part)",4,29,165,13,1,1,213,416
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 20","Lloydminster (Part)",2,39,128,13,10,0,192,421
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 21","Lloydminster (Part)",1,32,108,30,6,2,179,471
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 22","Lloydminster (Part)",2,30,117,12,5,1,167,406
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 23","Lloydminster (Part)",1,28,155,17,0,1,202,430
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 24","Lloydminster (Part)",0,28,124,11,1,0,164,366
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 25","Lloydminster (Part)",2,43,203,11,6,2,267,536
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 26","Lloydminster (Part)",2,33,173,13,8,1,230,501
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 27","Lloydminster (Part)",2,66,293,21,5,4,391,675
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 28","Lloydminster (Part)",1,24,93,33,4,0,155,370
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 29","Lloydminster (Part)",4,84,258,30,8,3,387,820
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 30","Lloydminster (Part)",1,28,102,22,4,0,157,353
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 31","Lloydminster (Part)",3,39,101,19,4,1,167,370
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 32","Lloydminster (Part)",5,24,157,17,3,1,207,370
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 33","Lloydminster (Part)",1,33,72,13,6,0,125,328
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 34","Lloydminster (Part)",0,43,137,22,2,0,204,435
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 35","Marshall",4,49,316,36,13,1,419,704
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 36","Lashburn",3,27,156,31,6,0,223,324
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 37","Lashburn",2,28,151,15,3,1,200,298
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 38","Lashburn",5,21,252,15,3,3,299,479
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 39","Maidstone",4,25,197,21,4,0,251,468
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 40","Maidstone",2,22,107,9,1,0,141,247
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 41","Maidstone",3,13,109,13,4,2,144,274
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 42","Maidstone",2,19,171,16,7,0,215,381
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 43","Marsden",6,29,289,35,3,0,362,527
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 44","Freemont",5,9,135,12,5,0,166,336
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 45","Freemont",4,28,193,37,3,0,265,383
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 46","Poundmaker 114",3,37,1,123,1,1,166,234
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 47","Cut Knife",13,50,257,78,6,0,404,676
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 48","Gallivan",6,79,30,142,4,1,262,376
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 49","Little Pine 116",2,44,3,220,2,0,271,350
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 50","Denholm",17,39,204,30,2,0,292,482
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 51","Prince",7,14,165,30,3,1,220,349
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 52","North Battleford",19,31,193,45,3,4,295,529
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 53","North Battleford",23,65,145,83,4,0,320,608
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 54","North Battleford",16,38,71,66,5,0,196,445
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 55","North Battleford",10,38,76,74,3,0,201,447
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 56","Meota",17,55,214,46,0,0,332,537
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 57","Saulteaux 159",1,53,4,99,0,6,163,231
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 58","Moosomin 112B",3,52,1,93,0,2,151,213
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 59","Cochin",12,63,123,100,1,1,300,679
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 60","Rabbit Lake",5,20,128,17,1,0,171,299
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 61","Medstead",13,26,240,29,9,0,317,422
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 62","Delmas",15,33,100,16,4,2,170,295
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 63","North Battleford",10,54,89,43,3,1,200,404
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 64","North Battleford",17,53,144,55,5,0,274,455
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 65","North Battleford",7,39,146,34,3,0,229,369
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 66","North Battleford",10,53,168,45,8,0,284,480
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 67","North Battleford",13,59,125,80,5,2,284,503
