Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Armstrong,Jason Matthew Blanch,Bill Casey,Kenneth Jackson,Richard Trueman Plett,Wendy Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Cumberland--Colchester/Cumberland--Colchester"," 1","Wallace Bridge",75,11,110,0,0,8,0,204,332
12003,"Cumberland--Colchester/Cumberland--Colchester"," 2","Wallace",46,11,152,2,0,10,1,222,410
12003,"Cumberland--Colchester/Cumberland--Colchester"," 3","Pugwash",43,3,94,1,0,3,1,145,308
12003,"Cumberland--Colchester/Cumberland--Colchester"," 4","Pugwash",28,2,55,0,0,1,1,87,175
12003,"Cumberland--Colchester/Cumberland--Colchester"," 5","Pugwash",28,1,55,0,0,8,0,92,210
12003,"Cumberland--Colchester/Cumberland--Colchester"," 6","West Pugwash",45,10,107,1,2,11,1,177,416
12003,"Cumberland--Colchester/Cumberland--Colchester"," 7","Pugwash Junction",47,6,85,0,0,13,1,152,368
12003,"Cumberland--Colchester/Cumberland--Colchester"," 8","Linden",53,13,108,1,0,7,0,182,317
12003,"Cumberland--Colchester/Cumberland--Colchester"," 9","Amherst Shore",38,11,114,0,1,7,1,172,295
12003,"Cumberland--Colchester/Cumberland--Colchester"," 10","Tidnish",46,8,180,0,5,7,1,247,371
12003,"Cumberland--Colchester/Cumberland--Colchester"," 11","Amherst Head",39,8,112,0,1,5,1,166,269
12003,"Cumberland--Colchester/Cumberland--Colchester"," 12","Fort Lawrence",46,10,94,2,0,6,0,158,364
12003,"Cumberland--Colchester/Cumberland--Colchester"," 13","Hastings",36,5,91,2,1,5,1,141,262
12003,"Cumberland--Colchester/Cumberland--Colchester"," 14","Tyndal Road",46,7,155,0,0,1,1,210,387
12003,"Cumberland--Colchester/Cumberland--Colchester"," 15","West Amherst",42,10,150,2,0,10,0,214,401
12003,"Cumberland--Colchester/Cumberland--Colchester"," 16","Nappan",47,10,151,0,1,9,0,218,340
12003,"Cumberland--Colchester/Cumberland--Colchester"," 17","Hastings",30,2,105,0,1,8,1,147,335
12003,"Cumberland--Colchester/Cumberland--Colchester"," 18","Amherst",52,15,176,1,0,3,0,247,462
12003,"Cumberland--Colchester/Cumberland--Colchester"," 19","Amherst",36,15,140,0,0,6,0,197,391
12003,"Cumberland--Colchester/Cumberland--Colchester"," 20","Amherst",41,16,152,2,0,8,1,220,437
12003,"Cumberland--Colchester/Cumberland--Colchester"," 21","Amherst",49,6,125,0,0,13,2,195,397
12003,"Cumberland--Colchester/Cumberland--Colchester"," 22","Amherst",30,11,119,4,1,7,0,172,338
12003,"Cumberland--Colchester/Cumberland--Colchester"," 23","Amherst",30,9,131,2,1,4,0,177,364
12003,"Cumberland--Colchester/Cumberland--Colchester"," 24","Amherst",32,15,132,2,0,8,0,189,403
12003,"Cumberland--Colchester/Cumberland--Colchester"," 25","Amherst",31,6,74,1,1,4,0,117,288
12003,"Cumberland--Colchester/Cumberland--Colchester"," 26","Amherst",29,4,83,6,0,1,0,123,292
12003,"Cumberland--Colchester/Cumberland--Colchester"," 27","Amherst",27,4,92,1,1,3,0,128,277
12003,"Cumberland--Colchester/Cumberland--Colchester"," 28","Amherst",18,4,95,2,0,5,0,124,248
12003,"Cumberland--Colchester/Cumberland--Colchester"," 29","Amherst",33,6,110,1,1,11,0,162,397
12003,"Cumberland--Colchester/Cumberland--Colchester"," 30","Amherst",33,15,138,1,0,11,0,198,406
12003,"Cumberland--Colchester/Cumberland--Colchester"," 31","Amherst",32,14,118,0,0,16,0,180,419
12003,"Cumberland--Colchester/Cumberland--Colchester"," 32","Amherst",28,10,133,0,1,9,4,185,433
12003,"Cumberland--Colchester/Cumberland--Colchester"," 33","Amherst",30,13,130,0,0,9,0,182,370
12003,"Cumberland--Colchester/Cumberland--Colchester"," 34","Amherst",25,3,115,0,0,5,3,151,378
12003,"Cumberland--Colchester/Cumberland--Colchester"," 35","Amherst",29,4,110,0,1,6,0,150,333
12003,"Cumberland--Colchester/Cumberland--Colchester"," 36","Amherst",34,3,108,1,0,8,1,155,374
