Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Raymond Audet,Paul Lefebvre,Paul Loewenberg,J. David Popescu,David Robinson,Elizabeth Rowley,Fred Slade,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"Sudbury/Sudbury"," 1","Greater Sudbury / Grand Sudbury",0,112,65,0,7,0,50,2,236,433
35103,"Sudbury/Sudbury"," 2","Greater Sudbury / Grand Sudbury",0,161,54,0,4,0,48,1,268,490
35103,"Sudbury/Sudbury"," 3","Greater Sudbury / Grand Sudbury",1,113,92,1,11,0,53,2,273,458
35103,"Sudbury/Sudbury"," 4","Greater Sudbury / Grand Sudbury",0,123,68,0,10,0,62,0,263,457
35103,"Sudbury/Sudbury"," 5","Greater Sudbury / Grand Sudbury",0,176,92,1,13,0,54,1,337,594
35103,"Sudbury/Sudbury"," 6","Greater Sudbury / Grand Sudbury",1,98,56,0,1,0,21,1,178,346
35103,"Sudbury/Sudbury"," 7","Greater Sudbury / Grand Sudbury",0,107,61,0,2,0,46,1,217,385
35103,"Sudbury/Sudbury"," 8","Greater Sudbury / Grand Sudbury",0,189,91,0,13,0,87,2,382,490
35103,"Sudbury/Sudbury"," 9","Greater Sudbury / Grand Sudbury",0,112,61,0,2,1,45,4,225,419
35103,"Sudbury/Sudbury"," 10","Greater Sudbury / Grand Sudbury",0,108,76,1,6,0,24,1,216,433
35103,"Sudbury/Sudbury"," 11","Greater Sudbury / Grand Sudbury",0,143,54,0,11,1,65,0,274,458
35103,"Sudbury/Sudbury"," 12A","Greater Sudbury / Grand Sudbury",0,108,65,0,2,0,31,0,206,369
35103,"Sudbury/Sudbury"," 12B","Greater Sudbury / Grand Sudbury",Merged with No./Fusionné avec le n°8,,,,,,,,,117
35103,"Sudbury/Sudbury"," 13","Greater Sudbury / Grand Sudbury",1,85,51,0,12,0,50,2,201,347
35103,"Sudbury/Sudbury"," 14","Greater Sudbury / Grand Sudbury",0,97,55,1,6,1,32,0,192,339
35103,"Sudbury/Sudbury"," 15","Greater Sudbury / Grand Sudbury",1,90,70,0,4,0,54,0,219,372
35103,"Sudbury/Sudbury"," 16","Greater Sudbury / Grand Sudbury",0,112,37,0,7,0,54,0,210,396
35103,"Sudbury/Sudbury"," 17","Greater Sudbury / Grand Sudbury",0,92,32,0,2,0,46,0,172,281
35103,"Sudbury/Sudbury"," 18","Greater Sudbury / Grand Sudbury",0,107,48,0,5,0,41,2,203,329
35103,"Sudbury/Sudbury"," 19","Greater Sudbury / Grand Sudbury",0,119,44,0,13,1,90,1,268,481
35103,"Sudbury/Sudbury"," 20","Greater Sudbury / Grand Sudbury",0,96,52,1,6,0,40,0,195,366
35103,"Sudbury/Sudbury"," 21","Greater Sudbury / Grand Sudbury",1,114,49,0,6,4,40,1,215,378
35103,"Sudbury/Sudbury"," 22","Greater Sudbury / Grand Sudbury",0,130,59,0,6,0,36,0,231,447
35103,"Sudbury/Sudbury"," 23","Greater Sudbury / Grand Sudbury",0,60,50,0,3,0,29,0,142,283
35103,"Sudbury/Sudbury"," 24","Greater Sudbury / Grand Sudbury",1,67,49,0,4,0,44,0,165,315
35103,"Sudbury/Sudbury"," 25","Greater Sudbury / Grand Sudbury",1,138,61,1,4,0,38,1,244,414
35103,"Sudbury/Sudbury"," 26","Greater Sudbury / Grand Sudbury",1,118,52,0,5,0,48,1,225,363
35103,"Sudbury/Sudbury"," 27","Greater Sudbury / Grand Sudbury",0,95,60,0,4,0,45,0,204,370
35103,"Sudbury/Sudbury"," 28","Greater Sudbury / Grand Sudbury",0,93,50,0,4,0,45,3,195,370
35103,"Sudbury/Sudbury"," 29","Greater Sudbury / Grand Sudbury",1,123,56,2,3,0,61,1,247,420
35103,"Sudbury/Sudbury"," 30","Greater Sudbury / Grand Sudbury",0,118,59,0,4,0,56,0,237,381
35103,"Sudbury/Sudbury"," 31","Greater Sudbury / Grand Sudbury",0,80,61,0,8,0,41,1,191,359
35103,"Sudbury/Sudbury"," 32","Greater Sudbury / Grand Sudbury",0,110,47,1,3,0,26,0,187,366
35103,"Sudbury/Sudbury"," 33","Greater Sudbury / Grand Sudbury",0,103,61,0,6,0,24,0,194,404
35103,"Sudbury/Sudbury"," 34","Greater Sudbury / Grand Sudbury",1,91,63,0,4,0,21,0,180,331
35103,"Sudbury/Sudbury"," 35","Greater Sudbury / Grand Sudbury",0,112,58,0,4,0,33,0,207,344
35103,"Sudbury/Sudbury"," 36","Greater Sudbury / Grand Sudbury",0,136,76,1,8,0,44,0,265,486
35103,"Sudbury/Sudbury"," 37","Greater Sudbury / Grand Sudbury",0,117,65,0,4,0,51,0,237,381
35103,"Sudbury/Sudbury"," 38","Greater Sudbury / Grand Sudbury",0,80,32,0,4,0,45,0,161,291
35103,"Sudbury/Sudbury"," 39","Greater Sudbury / Grand Sudbury",0,105,37,0,4,0,21,1,168,337
35103,"Sudbury/Sudbury"," 40","Greater Sudbury / Grand Sudbury",0,85,31,0,5,0,42,0,163,324
35103,"Sudbury/Sudbury"," 41","Greater Sudbury / Grand Sudbury",0,63,32,1,4,2,20,0,122,300
35103,"Sudbury/Sudbury"," 42","Greater Sudbury / Grand Sudbury",0,81,21,0,1,0,40,1,144,307
35103,"Sudbury/Sudbury"," 43A","Greater Sudbury / Grand Sudbury",0,24,10,0,0,1,13,0,48,107
35103,"Sudbury/Sudbury"," 43B","Greater Sudbury / Grand Sudbury",0,99,30,0,1,0,22,0,152,191
35103,"Sudbury/Sudbury"," 44","Greater Sudbury / Grand Sudbury",0,108,55,2,8,0,21,2,196,340
35103,"Sudbury/Sudbury"," 45","Greater Sudbury / Grand Sudbury",0,104,59,0,7,0,15,0,185,389
35103,"Sudbury/Sudbury"," 46","Greater Sudbury / Grand Sudbury",0,74,52,1,5,0,8,0,140,330
35103,"Sudbury/Sudbury"," 47","Greater Sudbury / Grand Sudbury",2,108,91,0,5,0,36,0,242,502
35103,"Sudbury/Sudbury"," 48","Greater Sudbury / Grand Sudbury",0,151,96,1,10,0,52,0,310,574
35103,"Sudbury/Sudbury"," 49","Greater Sudbury / Grand Sudbury",0,80,87,0,5,0,30,1,203,437
35103,"Sudbury/Sudbury"," 50","Greater Sudbury / Grand Sudbury",0,108,68,0,9,1,55,1,242,450
35103,"Sudbury/Sudbury"," 51","Greater Sudbury / Grand Sudbury",1,104,86,0,12,0,20,2,225,464
35103,"Sudbury/Sudbury"," 52","Greater Sudbury / Grand Sudbury",0,115,73,0,8,1,21,0,218,372
35103,"Sudbury/Sudbury"," 53","Greater Sudbury / Grand Sudbury",2,121,79,2,11,0,48,1,264,454
35103,"Sudbury/Sudbury"," 54","Greater Sudbury / Grand Sudbury",0,139,79,0,4,0,18,0,240,495
35103,"Sudbury/Sudbury"," 55","Greater Sudbury / Grand Sudbury",1,96,75,0,6,4,19,2,203,490
35103,"Sudbury/Sudbury"," 56","Greater Sudbury / Grand Sudbury",0,69,68,0,1,3,16,0,157,390
35103,"Sudbury/Sudbury"," 57","Greater Sudbury / Grand Sudbury",0,70,59,0,8,0,13,0,150,376
35103,"Sudbury/Sudbury"," 58","Greater Sudbury / Grand Sudbury",0,67,64,1,1,1,18,4,156,395
35103,"Sudbury/Sudbury"," 59","Greater Sudbury / Grand Sudbury",1,137,69,2,8,1,27,2,247,501
35103,"Sudbury/Sudbury"," 60","Greater Sudbury / Grand Sudbury",0,97,76,0,8,0,23,0,204,437
