Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Benoît,Pierre Dufour,Luc Ferland,Mario Gagnon,Steven Hébert,Romeo Saganash,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 143","Malartic",6,58,49,5,13,38,3,172,361
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 144","Malartic",11,37,40,9,12,45,1,155,400
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 145","Malartic",4,42,25,7,21,31,3,133,386
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 146","Malartic",4,41,39,3,20,44,5,156,380
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 147","Malartic",6,36,41,1,6,27,1,118,258
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 148","Malartic",5,53,61,1,20,30,4,174,440
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 149","Malartic",3,23,27,1,20,24,3,101,145
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 150","Kitcisakik",0,12,1,0,0,23,5,41,166
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 400","Val-d'Or",0,53,13,1,10,23,1,101,124
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 401","Val-d'Or",2,66,25,1,22,33,2,151,180
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 500","Mobile poll/Bureau itinérant",0,5,4,0,2,6,0,17,24
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 501","Mobile poll/Bureau itinérant",1,18,8,1,6,8,1,43,54
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 502","Mobile poll/Bureau itinérant",7,51,20,1,16,21,1,117,155
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 503","Mobile poll/Bureau itinérant",1,27,13,1,1,15,4,62,91
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 504","Mobile poll/Bureau itinérant",2,29,5,0,3,13,0,52,137
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 505","Mobile poll/Bureau itinérant",1,30,9,2,6,18,2,68,89
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 506","Mobile poll/Bureau itinérant",2,14,9,1,3,10,0,39,51
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 600","Kuujjuaq",2,22,8,0,2,29,0,63,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 601","Chisasibi",2,46,4,1,9,147,0,209,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 602","Chisasibi",0,2,6,1,2,22,0,33,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 603","Waskaganish",0,5,0,0,0,27,0,32,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 604","Waskaganish",1,4,4,2,5,53,1,70,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 605","Mistissini",2,21,2,0,3,61,0,89,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 606","Valcanton",0,10,18,0,0,34,0,62,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 607","Matagami",1,46,28,2,16,60,1,154,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 608","Lebel-sur-Quévillon",6,48,81,1,42,136,8,322,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 609","Chapais",5,34,54,0,39,67,2,201,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 610","Chibougamau",10,113,206,5,69,283,4,690,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 611","Malartic",8,138,100,8,65,178,17,514,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 612","Senneterre",7,155,75,3,40,162,8,450,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 613","Val-d'Or",3,162,56,1,44,127,9,402,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 614","Val-d'Or",4,116,35,0,46,76,9,286,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 615","Val-d'Or",19,312,127,1,106,248,16,829,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 616","Val-d'Or",18,304,130,6,90,291,23,862,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 617","Val-d'Or",17,332,142,5,98,279,15,888,
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou",,"Group 1/Groupe 1",30,148,13,7,20,60,26,304,284
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou",,"Group 2/Groupe 2",43,450,243,6,236,635,31,1644,
