Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathan Cullen,Brad Layton,Tyler Nesbitt,Jeannie Parnell,Don Spratt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 1","Good Hope Lake",52,62,62,6,0,4,186,362
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 2","Good Hope Lake",7,7,11,2,0,0,27,85
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 3","Lower Post",41,10,1,0,1,0,53,75
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 4","Dease Lake",62,28,29,6,3,1,129,312
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 5","Telegraph Creek",86,22,4,0,0,1,113,203
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6","Iskut",93,15,10,1,2,0,121,191
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 7","Stewart",36,55,59,2,2,1,155,390
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 8","Greenville",184,20,5,9,0,2,220,343
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 9","Gingolx",142,25,2,4,2,0,175,259
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 10","New Aiyansh",13,1,3,0,0,0,17,36
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 11","New Aiyansh",113,10,2,2,0,0,127,245
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 12","New Aiyansh",104,7,3,8,0,0,122,285
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 13","Rosswood",37,21,16,2,0,1,77,117
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 14","Lax Kw'alaams",226,29,1,4,2,0,262,411
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 15","Port Clements",98,31,34,13,0,0,176,306
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 16","Masset 1",191,19,1,11,0,1,223,479
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 17","Masset",115,41,22,10,2,1,191,372
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 18","Masset",96,19,16,14,0,2,147,317
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 19","Oona River",2,2,0,0,0,0,4,12
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 20","Dodge Cove",15,3,0,1,2,0,21,31
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 21","Metlakatla",38,7,1,3,0,0,49,63
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 22","Prince Rupert",126,41,50,6,4,1,228,518
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 23","Prince Rupert",136,47,30,7,1,0,221,439
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 24","Prince Rupert",143,42,31,12,0,2,230,450
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 25","Prince Rupert",163,44,29,3,3,1,243,492
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 26","Prince Rupert",118,50,36,10,4,0,218,437
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 27","Prince Rupert",131,45,41,8,1,0,226,445
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 28","Prince Rupert",125,44,32,7,2,1,211,433
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 29","Prince Rupert",148,50,49,18,1,0,266,549
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 30","Prince Rupert",145,64,36,10,3,0,258,459
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 31","Prince Rupert",160,32,17,5,0,0,214,452
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 32","Prince Rupert",121,44,30,3,1,1,200,430
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 33","Prince Rupert",101,70,60,12,3,0,246,482
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 34","Prince Rupert",112,63,42,4,0,1,222,411
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 35","Prince Rupert",171,24,12,14,3,0,224,481
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 36","Prince Rupert",73,36,21,7,2,1,140,269
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 37","Prince Rupert",128,32,24,4,0,0,188,394
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 38","Prince Rupert",118,34,41,5,2,0,200,360
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 39","Prince Rupert",97,37,39,9,2,0,184,413
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 40","Prince Rupert",87,48,44,4,0,1,184,383
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 41","Prince Rupert",116,67,39,8,0,1,231,437
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 42","Prince Rupert",99,59,29,5,0,1,193,353
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 43","Port Edward",134,39,25,15,4,1,218,390
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 44","Hartley Bay",49,12,0,3,0,1,65,80
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 45","Lakelse Lake",36,40,62,5,0,1,144,265
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 46","Kitsumkaylum 1",178,27,24,1,4,2,236,352
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 47","Terrace",101,63,105,12,10,0,291,538
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 48","Terrace",109,64,84,6,2,0,265,437
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 49","Terrace",89,55,60,9,1,2,216,417
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 50","Terrace",92,63,99,3,1,1,259,444
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 51","Terrace",88,38,78,6,1,1,212,426
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 52","Terrace",120,62,105,5,1,0,293,519
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 53","Terrace",90,62,91,5,7,1,256,475
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 54","Terrace",79,62,82,6,4,2,235,419
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 55","Terrace",114,42,45,6,2,2,211,482
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 56","Terrace",101,43,52,7,2,1,206,464
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 57","Terrace",114,48,48,5,5,2,222,490
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 58","Terrace",100,44,93,5,7,0,249,467
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 59","Terrace",93,39,41,4,1,0,178,443
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 60","Terrace",91,28,57,3,4,0,183,398
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 61","Terrace",106,39,59,10,8,0,222,431
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 62","Kitimat-Stikine C (Part 1)",116,76,46,3,6,0,247,460
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 63","Terrace",95,44,41,2,2,0,184,355
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 64","Terrace",97,32,16,3,3,1,152,335
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 65A","Terrace",86,25,43,3,1,0,158,367
