Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Phil Archambault,Mark Budd,John Fenik,Anita Payne,Scott Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,30
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 600","Mississippi Mills",337,8,162,48,651,3,1209,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 601","Mississippi Mills",296,3,159,35,621,2,1116,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 602","Ashton Station",354,9,146,36,730,1,1276,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 603","Numogate",299,9,126,28,651,3,1116,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 604","Montague",181,6,86,9,404,0,686,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 605","Smiths Falls",236,8,142,26,502,0,914,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 606","Drummond",15,1,16,5,56,0,93,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 607","Lanark",159,3,66,23,363,1,615,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 608","Clyde Forks",69,0,57,18,113,0,257,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 609","Narrows Locks",108,3,63,10,224,3,411,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 610","Perth",298,6,160,29,546,4,1043,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 611","Crow Lake",214,3,114,27,344,2,704,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 612","Verona",280,2,98,14,343,1,738,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 613","Harrowsmith",99,1,36,8,129,0,273,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 614","Harrowsmith",400,6,136,24,300,3,869,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 615","Keelerville",324,5,136,22,239,2,728,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 616","Kingston",467,6,152,29,354,3,1011,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston",,"Group 1/Groupe 1",80,7,30,10,132,12,271,105
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston",,"Group 2/Groupe 2",835,8,541,105,1333,48,2870,
