Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Berry,Brian Deheer,Kyle Harrietha,Roelof Janssen,Melody Lepine,David Yurdiga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 1","Fitzgerald",10,4,119,0,298,16,1,448,505
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 2","Fort Chipewyan",Merged with No./Fusionné avec le n°1,,,,,,,,256
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 3A","Chipewyan Lakes",2,1,90,2,44,20,0,159,191
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 3B","Chipewyan Lakes",3,5,136,0,47,37,0,228,292
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 3C","Chipewyan Lakes","Combined with No./Combiné au n°3D",,,,,,,,357
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 3D","Chipewyan Lakes",2,6,309,3,141,97,0,558,288
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 4A","Chipewyan Lakes",Merged with No./Fusionné avec le n°3A,,,,,,,,105
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 4B","Chipewyan Lakes",Merged with No./Fusionné avec le n°3B,,,,,,,,84
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 4C","Chipewyan Lakes",Merged with No./Fusionné avec le n°3C,,,,,,,,112
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 4D","Chipewyan Lakes",Merged with No./Fusionné avec le n°3D,,,,,,,,135
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 5","Fort McKay",7,2,161,0,82,9,0,261,335
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 6","Saprae Creek",Merged with No./Fusionné avec le n°103,,,,,,,,123
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 7A","Saprae Creek",1,3,36,0,10,173,0,223,355
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 7B","Saprae Creek",1,3,24,3,2,161,0,194,325
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 8","Wood Buffalo",0,0,39,0,7,93,0,139,368
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 9","Wood Buffalo",0,1,35,0,2,81,0,119,297
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 10","Wood Buffalo",1,1,54,1,6,162,1,226,546
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 11A","Wood Buffalo",1,3,65,1,6,147,1,224,530
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 11B","Wood Buffalo",0,3,67,2,10,145,2,229,480
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 11C","Wood Buffalo",2,1,56,0,12,166,1,238,536
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 11D","Wood Buffalo",2,1,58,2,4,119,0,186,467
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 12","Wood Buffalo",1,1,48,3,7,150,1,211,492
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 13","Wood Buffalo",1,2,16,0,0,128,0,147,380
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 14","Wood Buffalo",2,2,37,1,7,130,0,179,405
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 15","Wood Buffalo",3,2,60,1,6,82,0,154,345
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 16","Fort McMurray",1,2,38,0,2,69,1,113,268
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 17","Fort McMurray",2,1,27,1,6,128,0,165,343
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 18","Wood Buffalo",2,0,19,0,1,81,0,103,245
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 19","Wood Buffalo",2,2,34,0,4,112,0,154,308
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 20","Wood Buffalo",6,1,39,0,6,138,0,190,409
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 21A","Wood Buffalo",2,0,26,0,0,62,1,91,224
