Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Saul Marquard T. Bottcher,Frank Chilelli,Bal Gosal,Rosemary Keenan,Ramesh Sangha,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Brampton Centre/Brampton-Centre"," 1","Brampton",4,0,90,34,85,0,213,436
35008,"Brampton Centre/Brampton-Centre"," 2","Brampton",6,1,86,36,55,0,184,431
35008,"Brampton Centre/Brampton-Centre"," 3","Brampton",4,0,55,34,56,1,150,302
35008,"Brampton Centre/Brampton-Centre"," 4","Brampton",2,0,53,16,90,0,161,334
35008,"Brampton Centre/Brampton-Centre"," 5","Brampton",3,0,67,25,54,1,150,323
35008,"Brampton Centre/Brampton-Centre"," 6","Brampton",5,0,51,34,59,0,149,323
35008,"Brampton Centre/Brampton-Centre"," 7","Brampton",8,0,98,28,91,0,225,440
35008,"Brampton Centre/Brampton-Centre"," 8","Brampton",5,0,49,17,66,0,137,289
35008,"Brampton Centre/Brampton-Centre"," 9","Brampton",2,0,55,23,72,1,153,306
35008,"Brampton Centre/Brampton-Centre"," 10","Brampton",4,3,57,32,115,1,212,447
35008,"Brampton Centre/Brampton-Centre"," 11","Brampton",7,0,72,38,112,2,231,384
35008,"Brampton Centre/Brampton-Centre"," 12","Brampton",3,3,84,38,82,1,211,428
35008,"Brampton Centre/Brampton-Centre"," 13","Brampton",4,0,58,26,66,2,156,348
35008,"Brampton Centre/Brampton-Centre"," 14","Brampton",8,1,87,43,95,4,238,474
35008,"Brampton Centre/Brampton-Centre"," 15","Brampton",1,2,43,22,85,1,154,348
35008,"Brampton Centre/Brampton-Centre"," 16","Brampton",3,1,51,20,101,0,176,404
35008,"Brampton Centre/Brampton-Centre"," 17","Brampton",0,1,52,21,105,0,179,420
35008,"Brampton Centre/Brampton-Centre"," 18","Brampton",11,1,87,34,85,0,218,411
35008,"Brampton Centre/Brampton-Centre"," 19","Brampton",5,0,111,41,109,2,268,497
35008,"Brampton Centre/Brampton-Centre"," 20","Brampton",6,2,77,40,99,0,224,442
35008,"Brampton Centre/Brampton-Centre"," 21","Brampton",6,2,68,33,81,10,200,476
35008,"Brampton Centre/Brampton-Centre"," 22","Brampton",6,1,75,38,115,2,237,497
35008,"Brampton Centre/Brampton-Centre"," 23","Brampton",4,2,68,29,63,1,167,390
35008,"Brampton Centre/Brampton-Centre"," 24","Brampton",10,0,117,33,123,6,289,549
35008,"Brampton Centre/Brampton-Centre"," 25","Brampton",4,0,73,16,75,0,168,311
35008,"Brampton Centre/Brampton-Centre"," 26","Brampton",2,1,52,21,84,0,160,305
35008,"Brampton Centre/Brampton-Centre"," 27","Brampton",10,0,94,33,102,4,243,506
35008,"Brampton Centre/Brampton-Centre"," 28","Brampton",6,1,89,145,94,3,338,530
35008,"Brampton Centre/Brampton-Centre"," 29","Brampton",8,2,79,39,141,1,270,499
35008,"Brampton Centre/Brampton-Centre"," 30","Brampton",1,1,48,23,77,2,152,324
35008,"Brampton Centre/Brampton-Centre"," 31","Brampton",6,1,68,38,72,0,185,368
35008,"Brampton Centre/Brampton-Centre"," 32","Brampton",8,0,48,26,69,0,151,317
35008,"Brampton Centre/Brampton-Centre"," 33","Brampton",4,0,36,12,80,2,134,282
35008,"Brampton Centre/Brampton-Centre"," 34","Brampton",9,0,52,23,161,0,245,510
35008,"Brampton Centre/Brampton-Centre"," 35","Brampton",2,3,57,21,141,0,224,499
35008,"Brampton Centre/Brampton-Centre"," 36A","Brampton",2,2,49,28,115,0,196,428
35008,"Brampton Centre/Brampton-Centre"," 36B","Brampton",1,1,12,4,20,1,39,50
35008,"Brampton Centre/Brampton-Centre"," 37","Brampton",5,0,64,36,92,1,198,419
35008,"Brampton Centre/Brampton-Centre"," 38","Brampton",7,1,44,20,54,0,126,354
35008,"Brampton Centre/Brampton-Centre"," 39","Brampton",1,0,60,29,55,1,146,312
35008,"Brampton Centre/Brampton-Centre"," 40","Brampton",3,0,49,25,74,1,152,346
35008,"Brampton Centre/Brampton-Centre"," 41","Brampton",2,2,29,22,105,1,161,371
35008,"Brampton Centre/Brampton-Centre"," 42","Brampton",6,2,41,24,133,3,209,545
35008,"Brampton Centre/Brampton-Centre"," 43","Brampton",1,1,38,18,89,1,148,347
35008,"Brampton Centre/Brampton-Centre"," 44","Brampton",3,1,63,22,83,2,174,353
35008,"Brampton Centre/Brampton-Centre"," 45","Brampton",7,0,71,41,73,2,194,376
35008,"Brampton Centre/Brampton-Centre"," 46","Brampton",5,0,63,39,86,0,193,421
35008,"Brampton Centre/Brampton-Centre"," 47","Brampton",7,2,59,23,97,3,191,439
35008,"Brampton Centre/Brampton-Centre"," 48","Brampton",5,0,70,40,97,0,212,507
35008,"Brampton Centre/Brampton-Centre"," 49","Brampton",9,0,83,37,108,1,238,482
35008,"Brampton Centre/Brampton-Centre"," 50","Brampton",2,0,63,24,64,1,154,315
35008,"Brampton Centre/Brampton-Centre"," 51","Brampton",2,0,59,23,80,2,166,357
35008,"Brampton Centre/Brampton-Centre"," 52","Brampton",2,8,71,23,87,0,191,354
35008,"Brampton Centre/Brampton-Centre"," 53","Brampton",1,0,51,28,84,0,164,381
35008,"Brampton Centre/Brampton-Centre"," 54","Brampton",4,1,75,27,53,0,160,273
35008,"Brampton Centre/Brampton-Centre"," 55","Brampton",6,0,59,37,99,1,202,424
35008,"Brampton Centre/Brampton-Centre"," 56","Brampton",6,1,47,20,50,0,124,292
35008,"Brampton Centre/Brampton-Centre"," 57","Brampton",3,0,47,28,85,0,163,327
35008,"Brampton Centre/Brampton-Centre"," 58","Brampton",8,0,114,35,119,1,277,506
35008,"Brampton Centre/Brampton-Centre"," 59","Brampton",5,0,69,16,85,2,177,388
35008,"Brampton Centre/Brampton-Centre"," 60","Brampton",1,1,68,29,91,1,191,483
35008,"Brampton Centre/Brampton-Centre"," 61","Brampton",4,0,36,24,93,0,157,423
35008,"Brampton Centre/Brampton-Centre"," 62","Brampton",3,1,50,21,74,0,149,344
35008,"Brampton Centre/Brampton-Centre"," 63","Brampton",12,1,85,31,65,1,195,384
35008,"Brampton Centre/Brampton-Centre"," 64","Brampton",8,1,60,31,70,6,176,341
35008,"Brampton Centre/Brampton-Centre"," 65","Brampton",3,2,64,23,60,0,152,294
35008,"Brampton Centre/Brampton-Centre"," 66A","Brampton",14,2,53,31,53,0,153,339
35008,"Brampton Centre/Brampton-Centre"," 66B","Brampton",5,0,24,25,80,1,135,228
35008,"Brampton Centre/Brampton-Centre"," 67","Brampton",5,0,56,23,134,0,218,454
35008,"Brampton Centre/Brampton-Centre"," 68","Brampton",5,0,80,46,119,0,250,473
35008,"Brampton Centre/Brampton-Centre"," 69","Brampton",4,1,94,24,114,2,239,369
35008,"Brampton Centre/Brampton-Centre"," 70A","Brampton",4,1,65,30,80,0,180,444
35008,"Brampton Centre/Brampton-Centre"," 70B","Brampton",1,1,27,7,40,1,77,195
35008,"Brampton Centre/Brampton-Centre"," 71","Brampton",4,1,46,19,83,0,153,431
35008,"Brampton Centre/Brampton-Centre"," 72","Brampton",8,1,87,34,111,3,244,550
35008,"Brampton Centre/Brampton-Centre"," 73","Brampton",2,0,86,28,97,1,214,473
35008,"Brampton Centre/Brampton-Centre"," 74","Brampton",6,0,58,29,112,0,205,467
35008,"Brampton Centre/Brampton-Centre"," 75","Brampton",8,1,52,25,99,1,186,409
35008,"Brampton Centre/Brampton-Centre"," 76","Brampton",3,2,65,15,106,1,192,365
35008,"Brampton Centre/Brampton-Centre"," 77","Brampton",4,0,120,27,116,2,269,554
35008,"Brampton Centre/Brampton-Centre"," 78","Brampton",6,1,97,22,87,0,213,394
35008,"Brampton Centre/Brampton-Centre"," 79","Brampton",5,0,53,28,85,0,171,408
35008,"Brampton Centre/Brampton-Centre"," 80","Brampton",2,2,39,30,115,2,190,488
35008,"Brampton Centre/Brampton-Centre"," 81","Brampton",1,1,49,36,82,1,170,430
35008,"Brampton Centre/Brampton-Centre"," 82","Brampton",3,1,37,26,73,0,140,311
35008,"Brampton Centre/Brampton-Centre"," 83","Brampton",9,4,73,45,54,1,186,389
35008,"Brampton Centre/Brampton-Centre"," 84","Brampton",3,1,65,35,50,3,157,338
35008,"Brampton Centre/Brampton-Centre"," 85","Brampton",8,0,74,30,73,0,185,340
35008,"Brampton Centre/Brampton-Centre"," 86","Brampton",2,3,64,21,50,1,141,338
35008,"Brampton Centre/Brampton-Centre"," 87","Brampton",1,0,53,23,118,0,195,458
35008,"Brampton Centre/Brampton-Centre"," 88","Brampton",2,1,55,20,73,1,152,397
35008,"Brampton Centre/Brampton-Centre"," 89","Brampton",4,0,48,14,122,2,190,490
35008,"Brampton Centre/Brampton-Centre"," 90","Brampton",3,2,80,21,93,0,199,466
35008,"Brampton Centre/Brampton-Centre"," 91","Brampton",3,3,62,34,98,2,202,438
35008,"Brampton Centre/Brampton-Centre"," 92","Brampton",1,2,52,21,98,1,175,396
35008,"Brampton Centre/Brampton-Centre"," 93","Brampton",3,0,60,14,131,2,210,467
35008,"Brampton Centre/Brampton-Centre"," 94","Brampton",1,1,39,10,69,0,120,297
35008,"Brampton Centre/Brampton-Centre"," 95","Brampton",0,0,51,24,76,1,152,335
35008,"Brampton Centre/Brampton-Centre"," 96","Brampton",5,1,70,23,113,1,213,450
35008,"Brampton Centre/Brampton-Centre"," 97","Brampton",1,1,41,27,124,1,195,456
35008,"Brampton Centre/Brampton-Centre"," 98","Brampton",8,1,60,28,116,1,214,460
35008,"Brampton Centre/Brampton-Centre"," 99","Brampton",2,1,66,43,92,1,205,406
35008,"Brampton Centre/Brampton-Centre"," 100","Brampton",5,1,50,41,106,0,203,378
35008,"Brampton Centre/Brampton-Centre"," 101","Brampton",6,1,74,20,82,3,186,373
35008,"Brampton Centre/Brampton-Centre"," 102","Brampton",4,0,44,33,107,0,188,398
35008,"Brampton Centre/Brampton-Centre"," 103","Brampton",0,0,35,14,84,0,133,371
35008,"Brampton Centre/Brampton-Centre"," 104","Brampton",4,2,59,53,127,2,247,499
35008,"Brampton Centre/Brampton-Centre"," 105","Brampton",1,1,88,34,103,0,227,476
35008,"Brampton Centre/Brampton-Centre"," 106","Brampton",1,0,40,19,53,0,113,295
35008,"Brampton Centre/Brampton-Centre"," 107","Brampton",5,0,54,30,65,1,155,360
35008,"Brampton Centre/Brampton-Centre"," 108","Brampton",0,3,44,24,82,3,156,364
35008,"Brampton Centre/Brampton-Centre"," 109","Brampton",5,3,71,36,93,1,209,480
35008,"Brampton Centre/Brampton-Centre"," 110","Brampton",8,1,39,60,92,2,202,492
35008,"Brampton Centre/Brampton-Centre"," 111","Brampton",5,0,58,32,94,1,190,489
35008,"Brampton Centre/Brampton-Centre"," 112","Brampton",4,0,49,25,69,1,148,303
35008,"Brampton Centre/Brampton-Centre"," 113","Brampton",6,1,92,35,86,1,221,441
35008,"Brampton Centre/Brampton-Centre"," 114","Brampton",3,0,70,27,65,0,165,360
35008,"Brampton Centre/Brampton-Centre"," 115","Brampton",6,0,49,28,75,2,160,359
35008,"Brampton Centre/Brampton-Centre"," 116","Brampton",7,0,74,28,78,1,188,388
35008,"Brampton Centre/Brampton-Centre"," 117","Brampton",7,1,43,23,80,0,154,339
35008,"Brampton Centre/Brampton-Centre"," 118","Brampton",3,1,72,35,111,0,222,440
35008,"Brampton Centre/Brampton-Centre"," 119","Brampton",5,1,51,28,65,2,152,343
35008,"Brampton Centre/Brampton-Centre"," 120","Brampton",5,0,75,36,101,0,217,442
35008,"Brampton Centre/Brampton-Centre"," 121","Brampton",4,2,63,24,107,3,203,361
35008,"Brampton Centre/Brampton-Centre"," 122","Brampton",6,1,71,29,104,1,212,401
35008,"Brampton Centre/Brampton-Centre"," 123","Brampton",1,1,55,35,78,0,170,356
35008,"Brampton Centre/Brampton-Centre"," 124","Brampton",5,1,75,32,96,0,209,475
35008,"Brampton Centre/Brampton-Centre"," 125","Brampton",5,0,85,19,99,1,209,460
35008,"Brampton Centre/Brampton-Centre"," 126","Brampton",7,0,60,30,89,0,186,360
35008,"Brampton Centre/Brampton-Centre"," 127","Brampton",3,1,37,27,89,0,157,371
35008,"Brampton Centre/Brampton-Centre"," 128","Brampton",1,0,33,21,79,1,135,298
35008,"Brampton Centre/Brampton-Centre"," 129","Brampton",7,1,82,21,127,0,238,538
35008,"Brampton Centre/Brampton-Centre"," 130","Brampton",2,0,56,26,132,0,216,457
35008,"Brampton Centre/Brampton-Centre"," 131A","Brampton",3,1,51,22,94,4,175,332
35008,"Brampton Centre/Brampton-Centre"," 131B","Brampton",5,1,54,20,88,0,168,304
35008,"Brampton Centre/Brampton-Centre"," 132","Brampton",2,1,70,28,125,1,227,428
35008,"Brampton Centre/Brampton-Centre"," 133","Brampton",2,2,51,27,103,2,187,403
35008,"Brampton Centre/Brampton-Centre"," 134","Brampton",4,0,46,10,106,3,169,373
35008,"Brampton Centre/Brampton-Centre"," 135","Brampton",3,0,90,17,107,2,219,396
35008,"Brampton Centre/Brampton-Centre"," 136","Brampton",1,0,98,22,126,2,249,524
35008,"Brampton Centre/Brampton-Centre"," 137","Brampton",2,0,49,14,98,0,163,337
35008,"Brampton Centre/Brampton-Centre"," 138","Brampton",2,0,54,10,104,1,171,385
35008,"Brampton Centre/Brampton-Centre"," 139","Brampton",4,1,64,17,93,1,180,433
35008,"Brampton Centre/Brampton-Centre"," 140","Brampton",4,0,37,21,79,1,142,394
35008,"Brampton Centre/Brampton-Centre"," 141","Brampton",2,0,42,13,124,0,181,488
35008,"Brampton Centre/Brampton-Centre"," 142","Brampton",4,2,80,21,97,0,204,310
35008,"Brampton Centre/Brampton-Centre"," 400","Brampton",3,1,26,22,54,0,106,343
