Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Brassard,Myrna Clark,Gary Nail,Bonnie North,Jeff Sakula,Colin Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie--Innisfil/Barrie--Innisfil"," 1","Innisfil",110,34,0,18,2,70,0,234,450
35004,"Barrie--Innisfil/Barrie--Innisfil"," 2","Innisfil",77,29,2,22,0,81,1,212,402
35004,"Barrie--Innisfil/Barrie--Innisfil"," 3","Innisfil",121,18,0,9,0,63,0,211,485
35004,"Barrie--Innisfil/Barrie--Innisfil"," 4","Innisfil",154,20,0,5,0,78,2,259,425
35004,"Barrie--Innisfil/Barrie--Innisfil"," 5","Innisfil",100,28,2,9,0,45,0,184,389
35004,"Barrie--Innisfil/Barrie--Innisfil"," 6","Innisfil",89,20,2,8,0,66,0,185,409
35004,"Barrie--Innisfil/Barrie--Innisfil"," 7","Innisfil",96,25,0,8,1,75,1,206,469
35004,"Barrie--Innisfil/Barrie--Innisfil"," 8","Innisfil",135,33,0,6,0,53,0,227,396
35004,"Barrie--Innisfil/Barrie--Innisfil"," 9","Innisfil",135,35,0,6,0,60,0,236,389
35004,"Barrie--Innisfil/Barrie--Innisfil"," 10","Innisfil",135,26,1,13,0,103,1,279,440
35004,"Barrie--Innisfil/Barrie--Innisfil"," 11","Innisfil",149,18,0,11,1,93,2,274,481
35004,"Barrie--Innisfil/Barrie--Innisfil"," 12","Innisfil",116,24,0,9,0,72,0,221,464
35004,"Barrie--Innisfil/Barrie--Innisfil"," 13","Innisfil",126,26,0,14,0,59,1,226,389
35004,"Barrie--Innisfil/Barrie--Innisfil"," 14","Innisfil",146,19,0,14,0,92,0,271,470
35004,"Barrie--Innisfil/Barrie--Innisfil"," 15","Innisfil",130,17,2,16,0,67,2,234,383
35004,"Barrie--Innisfil/Barrie--Innisfil"," 16","Innisfil",133,30,1,5,0,70,0,239,423
35004,"Barrie--Innisfil/Barrie--Innisfil"," 17","Barrie",103,32,4,7,0,53,1,200,390
35004,"Barrie--Innisfil/Barrie--Innisfil"," 18","Barrie",145,13,2,9,0,99,0,268,512
35004,"Barrie--Innisfil/Barrie--Innisfil"," 19","Barrie",140,22,2,10,0,93,0,267,483
35004,"Barrie--Innisfil/Barrie--Innisfil"," 20","Barrie",86,21,1,4,0,60,2,174,362
35004,"Barrie--Innisfil/Barrie--Innisfil"," 21","Barrie",101,20,0,1,0,81,0,203,378
35004,"Barrie--Innisfil/Barrie--Innisfil"," 22","Barrie",106,25,1,7,0,72,1,212,466
35004,"Barrie--Innisfil/Barrie--Innisfil"," 23","Barrie",94,16,0,8,2,88,0,208,436
35004,"Barrie--Innisfil/Barrie--Innisfil"," 24","Barrie",133,9,0,12,0,76,0,230,433
35004,"Barrie--Innisfil/Barrie--Innisfil"," 25","Barrie",126,25,0,8,0,80,3,242,474
35004,"Barrie--Innisfil/Barrie--Innisfil"," 26","Barrie",98,19,0,9,0,67,0,193,426
35004,"Barrie--Innisfil/Barrie--Innisfil"," 27","Barrie",94,21,0,13,0,93,0,221,415
35004,"Barrie--Innisfil/Barrie--Innisfil"," 28","Barrie",85,15,2,12,3,104,0,221,452
35004,"Barrie--Innisfil/Barrie--Innisfil"," 29","Barrie",81,33,2,7,2,72,0,197,384
35004,"Barrie--Innisfil/Barrie--Innisfil"," 30","Barrie",53,36,0,6,0,61,1,157,303
35004,"Barrie--Innisfil/Barrie--Innisfil"," 31","Barrie",38,12,0,4,2,34,0,90,202
35004,"Barrie--Innisfil/Barrie--Innisfil"," 32","Barrie",63,22,1,8,0,76,2,172,328
35004,"Barrie--Innisfil/Barrie--Innisfil"," 33","Barrie",56,23,0,8,2,62,1,152,327
35004,"Barrie--Innisfil/Barrie--Innisfil"," 34","Barrie",96,22,1,4,1,79,0,203,385
35004,"Barrie--Innisfil/Barrie--Innisfil"," 35","Barrie",92,32,0,15,0,78,0,217,433
35004,"Barrie--Innisfil/Barrie--Innisfil"," 36","Barrie",75,25,1,12,0,96,0,209,388
35004,"Barrie--Innisfil/Barrie--Innisfil"," 37","Barrie",40,19,0,9,1,47,0,116,321
35004,"Barrie--Innisfil/Barrie--Innisfil"," 38","Barrie",49,23,1,9,0,66,0,148,384
35004,"Barrie--Innisfil/Barrie--Innisfil"," 39","Barrie",53,49,0,12,1,102,2,219,417
35004,"Barrie--Innisfil/Barrie--Innisfil"," 40","Barrie",76,54,0,14,0,82,0,226,458
35004,"Barrie--Innisfil/Barrie--Innisfil"," 41","Barrie",80,36,2,14,0,113,2,247,427
35004,"Barrie--Innisfil/Barrie--Innisfil"," 42","Barrie",77,23,2,10,1,51,2,166,328
35004,"Barrie--Innisfil/Barrie--Innisfil"," 43","Barrie",72,12,0,6,0,103,0,193,403
35004,"Barrie--Innisfil/Barrie--Innisfil"," 44","Barrie",78,16,1,5,0,63,0,163,350
35004,"Barrie--Innisfil/Barrie--Innisfil"," 45","Barrie",55,30,1,2,0,74,1,163,389
35004,"Barrie--Innisfil/Barrie--Innisfil"," 46","Barrie",70,20,0,8,0,65,0,163,308
35004,"Barrie--Innisfil/Barrie--Innisfil"," 47","Barrie",73,26,0,10,0,62,0,171,345
35004,"Barrie--Innisfil/Barrie--Innisfil"," 48","Barrie",55,13,0,11,0,73,1,153,368
35004,"Barrie--Innisfil/Barrie--Innisfil"," 49","Barrie",78,14,1,11,0,79,0,183,348
35004,"Barrie--Innisfil/Barrie--Innisfil"," 50","Barrie",80,25,0,11,0,74,0,190,422
35004,"Barrie--Innisfil/Barrie--Innisfil"," 51","Barrie",59,18,2,8,0,79,2,168,332
35004,"Barrie--Innisfil/Barrie--Innisfil"," 52","Barrie",85,26,0,8,0,82,1,202,392
35004,"Barrie--Innisfil/Barrie--Innisfil"," 53","Barrie",69,32,1,7,1,59,0,169,395
35004,"Barrie--Innisfil/Barrie--Innisfil"," 54","Barrie",69,23,0,10,0,80,1,183,384
35004,"Barrie--Innisfil/Barrie--Innisfil"," 55","Barrie",70,24,0,8,1,83,0,186,347
35004,"Barrie--Innisfil/Barrie--Innisfil"," 56","Barrie",109,35,0,11,1,88,2,246,471
35004,"Barrie--Innisfil/Barrie--Innisfil"," 57","Barrie",81,35,3,4,1,102,2,228,438
35004,"Barrie--Innisfil/Barrie--Innisfil"," 58","Barrie",63,24,0,11,0,57,0,155,294
35004,"Barrie--Innisfil/Barrie--Innisfil"," 59","Barrie",62,16,2,2,0,48,0,130,302
35004,"Barrie--Innisfil/Barrie--Innisfil"," 60","Barrie",88,24,0,12,0,63,0,187,341
35004,"Barrie--Innisfil/Barrie--Innisfil"," 61","Barrie",84,23,2,2,0,82,0,193,343
35004,"Barrie--Innisfil/Barrie--Innisfil"," 62","Barrie",105,23,0,5,0,72,0,205,393
35004,"Barrie--Innisfil/Barrie--Innisfil"," 63","Barrie",110,20,0,7,1,72,0,210,449
35004,"Barrie--Innisfil/Barrie--Innisfil"," 64","Barrie",118,15,0,5,0,67,0,205,368
35004,"Barrie--Innisfil/Barrie--Innisfil"," 65","Barrie",138,18,0,12,4,68,1,241,439
35004,"Barrie--Innisfil/Barrie--Innisfil"," 66","Barrie",103,26,0,3,1,89,1,223,456
35004,"Barrie--Innisfil/Barrie--Innisfil"," 67","Barrie",131,32,0,12,0,127,0,302,532
35004,"Barrie--Innisfil/Barrie--Innisfil"," 68","Barrie",102,16,1,3,0,104,1,227,409
35004,"Barrie--Innisfil/Barrie--Innisfil"," 69","Barrie",94,27,0,2,0,95,0,218,446
