Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Darnel Harris,Keith Jarrett,Christine Nugent,Judy Sgro,Kerry Vandenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35121,"Humber River--Black Creek/Humber River--Black Creek"," 1","North York",61,8,0,99,13,4,185,354
35121,"Humber River--Black Creek/Humber River--Black Creek"," 2","North York",35,2,1,85,13,2,138,356
35121,"Humber River--Black Creek/Humber River--Black Creek"," 3","North York",33,5,1,90,36,2,167,448
35121,"Humber River--Black Creek/Humber River--Black Creek"," 4","North York",20,5,1,108,105,4,243,510
35121,"Humber River--Black Creek/Humber River--Black Creek"," 5A","North York",15,2,1,97,26,0,141,287
35121,"Humber River--Black Creek/Humber River--Black Creek"," 5B","North York",7,1,0,78,46,0,132,277
35121,"Humber River--Black Creek/Humber River--Black Creek"," 6","North York",18,3,2,128,46,3,200,419
35121,"Humber River--Black Creek/Humber River--Black Creek"," 7A","North York",24,3,0,137,28,2,194,397
35121,"Humber River--Black Creek/Humber River--Black Creek"," 7B","North York",20,5,2,111,23,1,162,400
35121,"Humber River--Black Creek/Humber River--Black Creek"," 8","North York",20,1,0,160,13,1,195,371
35121,"Humber River--Black Creek/Humber River--Black Creek"," 9","North York",8,7,3,127,16,4,165,319
35121,"Humber River--Black Creek/Humber River--Black Creek"," 10","North York",18,3,0,92,60,2,175,496
35121,"Humber River--Black Creek/Humber River--Black Creek"," 11","North York",12,4,4,72,45,0,137,320
35121,"Humber River--Black Creek/Humber River--Black Creek"," 12","North York",24,1,1,89,11,0,126,310
35121,"Humber River--Black Creek/Humber River--Black Creek"," 13","North York",11,2,0,63,27,0,103,244
35121,"Humber River--Black Creek/Humber River--Black Creek"," 14","North York",18,5,2,106,35,1,167,452
35121,"Humber River--Black Creek/Humber River--Black Creek"," 15","North York",8,2,0,92,28,3,133,377
35121,"Humber River--Black Creek/Humber River--Black Creek"," 16A","North York",8,2,0,109,50,1,170,303
35121,"Humber River--Black Creek/Humber River--Black Creek"," 16B","North York",16,3,1,84,35,4,143,236
35121,"Humber River--Black Creek/Humber River--Black Creek"," 17","North York",16,3,1,119,59,3,201,379
35121,"Humber River--Black Creek/Humber River--Black Creek"," 18","North York",17,2,1,129,40,0,189,393
35121,"Humber River--Black Creek/Humber River--Black Creek"," 19","North York",26,3,1,117,42,3,192,443
35121,"Humber River--Black Creek/Humber River--Black Creek"," 20","North York",18,3,1,163,53,1,239,490
35121,"Humber River--Black Creek/Humber River--Black Creek"," 21","North York",17,6,3,131,60,0,217,426
35121,"Humber River--Black Creek/Humber River--Black Creek"," 22A","North York",12,3,1,68,23,1,108,256
35121,"Humber River--Black Creek/Humber River--Black Creek"," 22B","North York",17,0,1,58,41,2,119,301
35121,"Humber River--Black Creek/Humber River--Black Creek"," 23","North York",19,4,0,133,41,0,197,378
35121,"Humber River--Black Creek/Humber River--Black Creek"," 24","North York",15,2,1,117,29,3,167,376
