Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Green,Don Johnston,Wayne Stetski,David Wilks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kootenay--Columbia/Kootenay--Columbia"," 1","Donald",16,39,67,66,3,191,397
59015,"Kootenay--Columbia/Kootenay--Columbia"," 2","Moberly",12,40,58,73,2,185,433
59015,"Kootenay--Columbia/Kootenay--Columbia"," 3","Golden",15,53,38,77,0,183,409
59015,"Kootenay--Columbia/Kootenay--Columbia"," 4","Golden",6,45,66,50,0,167,326
59015,"Kootenay--Columbia/Kootenay--Columbia"," 5","Golden",14,61,62,67,0,204,452
59015,"Kootenay--Columbia/Kootenay--Columbia"," 6","Glenogle",12,43,59,57,0,171,434
59015,"Kootenay--Columbia/Kootenay--Columbia"," 7","Golden",9,28,38,44,0,119,258
59015,"Kootenay--Columbia/Kootenay--Columbia"," 8","Golden",6,37,43,78,0,164,355
59015,"Kootenay--Columbia/Kootenay--Columbia"," 9A","Golden",11,38,66,36,1,152,405
59015,"Kootenay--Columbia/Kootenay--Columbia"," 9B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,10
59015,"Kootenay--Columbia/Kootenay--Columbia"," 10","Golden",7,25,52,37,0,121,298
59015,"Kootenay--Columbia/Kootenay--Columbia"," 11","Golden",9,28,62,41,0,140,334
59015,"Kootenay--Columbia/Kootenay--Columbia"," 12","Golden",9,40,51,36,2,138,345
59015,"Kootenay--Columbia/Kootenay--Columbia"," 13","McMurdo",7,22,41,36,0,106,326
59015,"Kootenay--Columbia/Kootenay--Columbia"," 14A","Revelstoke",16,58,63,59,0,196,417
59015,"Kootenay--Columbia/Kootenay--Columbia"," 14B","Meadow Creek",Merged with No./Fusionné avec le n°27,,,,,,4
59015,"Kootenay--Columbia/Kootenay--Columbia"," 15","Revelstoke",13,80,93,64,0,250,470
59015,"Kootenay--Columbia/Kootenay--Columbia"," 16","Revelstoke",17,59,103,58,0,237,442
59015,"Kootenay--Columbia/Kootenay--Columbia"," 17","Revelstoke",19,64,97,45,2,227,454
59015,"Kootenay--Columbia/Kootenay--Columbia"," 18","Revelstoke",17,57,95,40,2,211,439
59015,"Kootenay--Columbia/Kootenay--Columbia"," 19","Revelstoke",21,59,68,47,0,195,360
59015,"Kootenay--Columbia/Kootenay--Columbia"," 20","Revelstoke",21,50,113,38,0,222,447
59015,"Kootenay--Columbia/Kootenay--Columbia"," 21A","Revelstoke",11,46,93,39,0,189,314
59015,"Kootenay--Columbia/Kootenay--Columbia"," 21B","Revelstoke",6,35,62,34,0,137,286
59015,"Kootenay--Columbia/Kootenay--Columbia"," 22","Revelstoke",17,63,112,57,1,250,475
59015,"Kootenay--Columbia/Kootenay--Columbia"," 23","Revelstoke",11,65,113,47,0,236,487
59015,"Kootenay--Columbia/Kootenay--Columbia"," 24","Revelstoke",16,82,117,66,0,281,521
59015,"Kootenay--Columbia/Kootenay--Columbia"," 25","Revelstoke",14,75,106,72,0,267,491
59015,"Kootenay--Columbia/Kootenay--Columbia"," 26","Revelstoke",9,67,104,64,1,245,476
59015,"Kootenay--Columbia/Kootenay--Columbia"," 27","Meadow Creek",9,7,12,12,0,40,46
59015,"Kootenay--Columbia/Kootenay--Columbia"," 28","Meadow Creek",22,31,148,57,1,259,385
59015,"Kootenay--Columbia/Kootenay--Columbia"," 29","Parson",17,35,22,88,0,162,272
59015,"Kootenay--Columbia/Kootenay--Columbia"," 30","Yoho",13,18,47,7,0,85,159
59015,"Kootenay--Columbia/Kootenay--Columbia"," 31","Dry Gulch",10,31,33,65,0,139,317
59015,"Kootenay--Columbia/Kootenay--Columbia"," 32","Radium Hot Springs",11,41,39,99,0,190,347
59015,"Kootenay--Columbia/Kootenay--Columbia"," 33","Radium Hot Springs",8,52,39,62,0,161,283
59015,"Kootenay--Columbia/Kootenay--Columbia"," 34","Edgewater",20,52,84,106,1,263,410
