Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Clarke,Georgina Jolibois,Lawrence Joseph,Warren Koch,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 1","Uranium City--Camsell Portage",7,9,17,3,0,36,105
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 2","Fond-du-Lac",12,92,80,0,0,184,456
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 3","Stony Rapids",5,25,84,3,0,117,206
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 4A","Black Lake",4,30,99,1,0,134,302
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 4B","Black Lake",Merged with No./Fusionné avec le n°5B,,,,,,317
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5A","Black Lake",Merged with No./Fusionné avec le n°4A,,,,,,17
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5B","Black Lake",4,34,138,0,0,176,58
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6","Wollaston Lake",1,95,28,0,1,125,414
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7","Wollaston Lake",5,71,23,0,0,99,311
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 8","Kinoosao",0,9,3,0,0,12,15
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 9","Descharme Lake",8,145,129,1,0,283,417
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 10","Clearwater River",12,149,90,2,0,253,477
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 11A","La Loche",6,84,48,0,0,138,330
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 11B","Mobile poll/Bureau itinérant",0,1,2,0,0,3,4
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12A","La Loche",10,91,56,1,0,158,406
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12B","La Loche",0,63,43,0,0,106,297
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 13","La Loche",4,62,42,0,0,108,230
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14","La Loche--Descharme Lake",2,42,31,2,0,77,208
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 15","Bear Creek",0,5,15,0,0,20,19
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 16","Dillon",13,47,38,0,1,99,199
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 17","Buffalo Narrows",14,59,42,0,0,115,247
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 18","Buffalo Narrows",19,92,79,3,2,195,424
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 19","Michel Village",1,9,6,0,0,16,25
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 20","Dillon",3,133,173,1,0,310,544
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 21","St. George's Hill",0,6,9,0,0,15,25
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22","Île-à-la-Crosse",2,28,35,0,0,65,103
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 23A","Île-à-la-Crosse",1,44,43,0,0,88,125
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 23B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°11B,,,,,,1
