Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cora LaRussa,Henry Lau,Brian Masse,Dave Sundin,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35117,"Windsor West/Windsor-Ouest"," 1","Windsor",5,32,72,54,1,0,164,346
35117,"Windsor West/Windsor-Ouest"," 2","Windsor",2,6,62,37,0,1,108,388
35117,"Windsor West/Windsor-Ouest"," 3","Windsor",2,14,67,22,1,1,107,329
35117,"Windsor West/Windsor-Ouest"," 4","Windsor",3,13,44,30,0,2,92,343
35117,"Windsor West/Windsor-Ouest"," 5","Windsor",4,30,96,49,0,2,181,451
35117,"Windsor West/Windsor-Ouest"," 6","Windsor",10,25,79,46,2,6,168,396
35117,"Windsor West/Windsor-Ouest"," 7","Windsor",3,16,71,47,1,1,139,441
35117,"Windsor West/Windsor-Ouest"," 8","Windsor",3,25,74,38,1,0,141,363
35117,"Windsor West/Windsor-Ouest"," 9","Windsor",4,33,100,64,2,1,204,472
35117,"Windsor West/Windsor-Ouest"," 10","Windsor",7,31,66,50,2,4,160,452
35117,"Windsor West/Windsor-Ouest"," 11","Windsor",10,25,101,43,1,1,181,450
35117,"Windsor West/Windsor-Ouest"," 12","Windsor",9,37,102,65,0,1,214,454
35117,"Windsor West/Windsor-Ouest"," 13","Windsor",10,30,104,59,1,1,205,430
35117,"Windsor West/Windsor-Ouest"," 14","Windsor",9,36,124,73,2,1,245,422
35117,"Windsor West/Windsor-Ouest"," 15","Windsor",1,18,66,35,0,1,121,311
35117,"Windsor West/Windsor-Ouest"," 16","Windsor",5,20,78,23,0,0,126,342
35117,"Windsor West/Windsor-Ouest"," 17","Windsor",3,22,94,19,1,0,139,376
35117,"Windsor West/Windsor-Ouest"," 18","Windsor",4,16,92,52,2,1,167,441
35117,"Windsor West/Windsor-Ouest"," 19","Windsor",6,14,102,59,1,1,183,492
