Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sukh Dhaliwal,Pamela Sangha,Jinny Sims,Harpreet Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,"Surrey--Newton/Surrey--Newton"," 67","Surrey",69,8,57,48,1,183,423
59033,"Surrey--Newton/Surrey--Newton"," 68","Surrey",93,4,66,31,1,195,454
59033,"Surrey--Newton/Surrey--Newton"," 69","Surrey",115,6,50,38,1,210,515
59033,"Surrey--Newton/Surrey--Newton"," 70","Surrey",88,14,72,31,1,206,503
59033,"Surrey--Newton/Surrey--Newton"," 71","Surrey",114,4,47,13,1,179,378
59033,"Surrey--Newton/Surrey--Newton"," 72","Surrey",108,4,46,37,3,198,444
59033,"Surrey--Newton/Surrey--Newton"," 73","Surrey",90,7,66,37,0,200,496
59033,"Surrey--Newton/Surrey--Newton"," 74","Surrey",84,1,26,13,0,124,514
59033,"Surrey--Newton/Surrey--Newton"," 75","Surrey",169,5,64,9,1,248,469
59033,"Surrey--Newton/Surrey--Newton"," 76","Surrey",147,5,55,33,1,241,536
59033,"Surrey--Newton/Surrey--Newton"," 77","Surrey",117,3,55,13,0,188,413
59033,"Surrey--Newton/Surrey--Newton"," 78","Surrey",94,0,37,7,1,139,348
59033,"Surrey--Newton/Surrey--Newton"," 79","Surrey",133,1,48,17,3,202,423
59033,"Surrey--Newton/Surrey--Newton"," 80","Surrey",122,0,34,20,0,176,539
59033,"Surrey--Newton/Surrey--Newton"," 81","Surrey",154,2,38,22,3,219,551
59033,"Surrey--Newton/Surrey--Newton"," 82","Surrey",115,2,37,13,2,169,412
59033,"Surrey--Newton/Surrey--Newton"," 83","Surrey",133,4,48,46,0,231,500
59033,"Surrey--Newton/Surrey--Newton"," 84","Surrey",136,5,64,43,1,249,538
59033,"Surrey--Newton/Surrey--Newton"," 85","Surrey",139,5,52,19,1,216,465
59033,"Surrey--Newton/Surrey--Newton"," 86","Surrey",48,1,13,6,0,68,171
59033,"Surrey--Newton/Surrey--Newton"," 87","Surrey",126,5,41,42,0,214,415
59033,"Surrey--Newton/Surrey--Newton"," 88A","Surrey",110,2,31,29,1,173,402
59033,"Surrey--Newton/Surrey--Newton"," 88B","Surrey",93,3,25,18,2,141,284
59033,"Surrey--Newton/Surrey--Newton"," 89","Surrey",110,5,34,7,2,158,408
59033,"Surrey--Newton/Surrey--Newton"," 90","Surrey",132,9,69,46,3,259,568
59033,"Surrey--Newton/Surrey--Newton"," 91","Surrey",81,6,42,30,2,161,461
59033,"Surrey--Newton/Surrey--Newton"," 92","Surrey",120,5,26,34,2,187,432
59033,"Surrey--Newton/Surrey--Newton"," 93","Surrey",109,4,49,21,0,183,452
59033,"Surrey--Newton/Surrey--Newton"," 94","Surrey",120,6,58,17,0,201,515
59033,"Surrey--Newton/Surrey--Newton"," 95","Surrey",106,3,21,8,5,143,474
59033,"Surrey--Newton/Surrey--Newton"," 96","Surrey",138,2,47,35,1,223,584
59033,"Surrey--Newton/Surrey--Newton"," 97","Surrey",74,5,38,18,2,137,370
