Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melissa Atkinson,Larry Bagnell,Frank de Jong,Ryan Leef,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 1","Old Crow",27,63,2,9,0,101,182
60001,"Yukon/Yukon"," 2","Dawson",165,311,22,125,3,626,1542
60001,"Yukon/Yukon"," 3","Mayo",54,101,3,42,1,201,420
60001,"Yukon/Yukon"," 4","Beaver Creek",9,10,0,2,0,21,88
60001,"Yukon/Yukon"," 5","Burwash Landing",17,47,2,14,0,80,111
60001,"Yukon/Yukon"," 6","Haines Junction",61,167,7,86,2,323,724
60001,"Yukon/Yukon"," 7","Carmacks",37,116,10,34,1,198,368
60001,"Yukon/Yukon"," 8","Pelly Crossing",66,73,0,6,3,148,280
60001,"Yukon/Yukon"," 9","Faro",29,55,6,50,0,140,266
60001,"Yukon/Yukon"," 10","Ross River",40,47,1,10,0,98,258
60001,"Yukon/Yukon"," 11","Takhini",80,217,14,114,0,425,877
60001,"Yukon/Yukon"," 12A","Whitehorse",34,153,6,89,3,285,536
60001,"Yukon/Yukon"," 12B","Whitehorse",Merged with No./Fusionné avec le n°33,,,,,,101
60001,"Yukon/Yukon"," 13","Whitehorse",41,108,8,62,0,219,449
60001,"Yukon/Yukon"," 14","Whitehorse",21,96,8,57,2,184,365
60001,"Yukon/Yukon"," 15","Whitehorse",17,50,1,42,0,110,218
60001,"Yukon/Yukon"," 16","Whitehorse",18,98,2,61,0,179,339
60001,"Yukon/Yukon"," 17","Whitehorse",23,103,3,79,2,210,426
60001,"Yukon/Yukon"," 18","Whitehorse",32,134,4,85,1,256,523
60001,"Yukon/Yukon"," 19","Whitehorse",62,107,4,65,0,238,464
60001,"Yukon/Yukon"," 20","Whitehorse",19,83,4,60,1,167,312
60001,"Yukon/Yukon"," 21","Whitehorse",39,122,5,68,0,234,437
60001,"Yukon/Yukon"," 22","Whitehorse",23,69,3,35,0,130,279
60001,"Yukon/Yukon"," 23","Whitehorse",14,85,4,39,1,143,274
60001,"Yukon/Yukon"," 24","Whitehorse",38,71,4,35,0,148,325
60001,"Yukon/Yukon"," 25","Whitehorse",50,126,9,43,1,229,516
60001,"Yukon/Yukon"," 26","Whitehorse",50,122,7,36,2,217,505
60001,"Yukon/Yukon"," 27A","Whitehorse",56,175,5,57,0,293,590
60001,"Yukon/Yukon"," 27B","Whitehorse",Merged with No./Fusionné avec le n°28,,,,,,119
60001,"Yukon/Yukon"," 28","Whitehorse",37,96,8,19,0,160,335
