Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Bell,Mark Bigland-Pritchard,Tracy Muggli,Kevin Waugh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 1","Saskatoon",56,1,43,50,0,150,308
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 2","Saskatoon",89,7,70,79,1,246,460
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 3","Saskatoon",102,8,54,42,0,206,414
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 4","Saskatoon",100,6,59,42,2,209,431
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 5","Saskatoon",81,8,49,69,1,208,429
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 6","Saskatoon",67,6,39,55,0,167,369
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 7","Saskatoon",78,11,60,60,2,211,434
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 8","Saskatoon",82,3,54,61,0,200,395
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 9","Saskatoon",83,6,74,46,0,209,394
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 10","Saskatoon",99,4,71,61,0,235,455
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 11","Saskatoon",100,2,55,43,2,202,428
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 12","Saskatoon",104,3,57,55,1,220,377
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 13","Saskatoon",95,2,73,32,0,202,405
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 14","Saskatoon",84,2,50,39,0,175,411
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 15","Saskatoon",78,9,64,62,0,213,374
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 16","Saskatoon",81,5,75,48,0,209,400
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 17","Saskatoon",90,15,49,70,0,224,428
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 18","Saskatoon",105,5,45,76,1,232,407
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 19","Saskatoon",84,10,75,79,0,248,446
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 20","Saskatoon",78,3,62,93,1,237,410
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 21","Saskatoon",92,18,54,58,1,223,422
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 22","Saskatoon",105,10,63,56,0,234,408
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 23","Saskatoon",87,6,63,70,0,226,391
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 24","Saskatoon",86,5,76,77,1,245,382
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 25","Saskatoon",75,6,65,63,1,210,406
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 26","Saskatoon",87,5,65,43,3,203,392
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 27","Saskatoon",76,1,71,107,3,258,427
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 28","Saskatoon",102,5,72,75,0,254,409
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 29","Saskatoon",100,5,67,73,0,245,404
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 30","Saskatoon",79,5,76,95,0,255,402
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 31","Saskatoon",75,3,56,64,0,198,410
