Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Graham,Karen Ludwig,Gayla MacIntosh,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 1","Head of Millstream",29,62,13,81,1,186,297
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 2","Berwick",17,60,12,93,0,182,286
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 3","Newtown",21,127,9,85,1,243,406
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 4","Smiths Creek",31,123,5,88,1,248,383
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 5","Roachville",33,63,14,114,0,224,414
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 6","Studholm",17,61,11,70,1,160,319
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 7","Studholm",25,48,5,54,3,135,275
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 8","Collina",30,78,14,68,2,192,340
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 9","Coles Island",25,65,9,82,2,183,257
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 10","Long Creek",26,54,14,56,1,151,241
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 11","Cambridge-Narrows",10,49,5,53,0,117,251
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 12","Cambridge-Narrows",20,45,10,51,0,126,252
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 13","Whites Cove",25,54,5,62,0,146,251
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 14","Jemseg",16,66,15,39,0,136,219
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 15","Gagetown",12,51,6,46,0,115,281
