Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Liz Jaluague,Adam Pankratz,Grace Seear,Kennedy Stewart,Wyatt Tessari,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby South/Burnaby-Sud"," 61","Burnaby",5,71,53,73,7,1,210,407
59003,"Burnaby South/Burnaby-Sud"," 62","Burnaby",0,67,55,61,6,0,189,408
59003,"Burnaby South/Burnaby-Sud"," 63","Burnaby",6,54,52,78,7,4,201,476
59003,"Burnaby South/Burnaby-Sud"," 64","Burnaby",2,60,81,81,8,4,236,514
59003,"Burnaby South/Burnaby-Sud"," 65","Burnaby",3,61,42,102,11,0,219,473
59003,"Burnaby South/Burnaby-Sud"," 66","Burnaby",3,23,33,17,1,0,77,286
59003,"Burnaby South/Burnaby-Sud"," 67","Burnaby",0,34,27,32,1,0,94,251
59003,"Burnaby South/Burnaby-Sud"," 68","Burnaby",4,52,45,36,5,1,143,371
59003,"Burnaby South/Burnaby-Sud"," 69","Burnaby",2,22,51,35,6,0,116,493
59003,"Burnaby South/Burnaby-Sud"," 70","Burnaby",2,36,67,44,3,0,152,405
59003,"Burnaby South/Burnaby-Sud"," 71","Burnaby",2,69,26,79,6,2,184,441
59003,"Burnaby South/Burnaby-Sud"," 72","Burnaby",2,89,52,97,9,1,250,574
59003,"Burnaby South/Burnaby-Sud"," 73","Burnaby",1,37,26,37,2,1,104,326
59003,"Burnaby South/Burnaby-Sud"," 74","Burnaby",6,53,38,99,10,6,212,523
59003,"Burnaby South/Burnaby-Sud"," 75","Burnaby",6,48,27,89,5,2,177,394
59003,"Burnaby South/Burnaby-Sud"," 76","Burnaby",2,81,56,91,8,1,239,543
59003,"Burnaby South/Burnaby-Sud"," 77","Burnaby",5,52,40,61,4,1,163,354
59003,"Burnaby South/Burnaby-Sud"," 78","Burnaby",3,54,67,85,11,1,221,547
59003,"Burnaby South/Burnaby-Sud"," 79","Burnaby",1,74,65,76,9,1,226,499
59003,"Burnaby South/Burnaby-Sud"," 80","Burnaby",2,46,51,44,3,2,148,353
59003,"Burnaby South/Burnaby-Sud"," 81","Burnaby",2,71,71,63,8,1,216,449
59003,"Burnaby South/Burnaby-Sud"," 82","Burnaby",1,86,52,59,3,5,206,438
59003,"Burnaby South/Burnaby-Sud"," 83","Burnaby",1,71,60,43,5,1,181,351
59003,"Burnaby South/Burnaby-Sud"," 84","Burnaby",6,52,31,58,5,2,154,305
59003,"Burnaby South/Burnaby-Sud"," 85","Burnaby",1,74,53,56,3,0,187,333
59003,"Burnaby South/Burnaby-Sud"," 86","Burnaby",4,83,69,47,12,0,215,558
59003,"Burnaby South/Burnaby-Sud"," 87","Burnaby",3,56,19,63,7,2,150,456
59003,"Burnaby South/Burnaby-Sud"," 88","Burnaby",0,73,70,62,6,0,211,401
59003,"Burnaby South/Burnaby-Sud"," 89","Burnaby",2,44,67,35,3,1,152,365
59003,"Burnaby South/Burnaby-Sud"," 90","Burnaby",1,40,52,45,10,1,149,295
59003,"Burnaby South/Burnaby-Sud"," 91","Burnaby",5,41,47,31,4,0,128,356
59003,"Burnaby South/Burnaby-Sud"," 92","Burnaby",0,59,28,67,5,2,161,407
59003,"Burnaby South/Burnaby-Sud"," 93","Burnaby",5,64,33,73,10,2,187,410
59003,"Burnaby South/Burnaby-Sud"," 94","Burnaby",3,76,65,54,5,1,204,516
59003,"Burnaby South/Burnaby-Sud"," 95","Burnaby",4,51,48,42,7,2,154,369
59003,"Burnaby South/Burnaby-Sud"," 96","Burnaby",1,50,43,56,3,0,153,392
59003,"Burnaby South/Burnaby-Sud"," 97","Burnaby",0,58,57,39,4,0,158,287
59003,"Burnaby South/Burnaby-Sud"," 98","Burnaby",0,65,43,34,3,0,145,277
59003,"Burnaby South/Burnaby-Sud"," 99","Burnaby",1,53,45,48,4,0,151,361
59003,"Burnaby South/Burnaby-Sud"," 100","Burnaby",0,59,63,41,7,0,170,425
59003,"Burnaby South/Burnaby-Sud"," 101","Burnaby",1,50,36,69,7,3,166,416
59003,"Burnaby South/Burnaby-Sud"," 102","Burnaby",1,62,62,56,2,0,183,424
59003,"Burnaby South/Burnaby-Sud"," 103","Burnaby",1,48,37,36,4,1,127,306
59003,"Burnaby South/Burnaby-Sud"," 104","Burnaby",3,93,61,51,3,1,212,381
59003,"Burnaby South/Burnaby-Sud"," 105","Burnaby",1,75,93,70,6,2,247,436
59003,"Burnaby South/Burnaby-Sud"," 106","Burnaby",0,65,43,64,5,1,178,388
59003,"Burnaby South/Burnaby-Sud"," 107","Burnaby",4,66,47,110,7,1,235,482
59003,"Burnaby South/Burnaby-Sud"," 108","Burnaby",2,100,78,102,4,1,287,311
59003,"Burnaby South/Burnaby-Sud"," 109","Burnaby",2,61,60,50,3,1,177,349
59003,"Burnaby South/Burnaby-Sud"," 110","Burnaby",4,71,64,36,2,0,177,377
59003,"Burnaby South/Burnaby-Sud"," 111","Burnaby",2,69,52,53,5,1,182,371
59003,"Burnaby South/Burnaby-Sud"," 112","Burnaby",Merged with No./Fusionné avec le n°108,,,,,,,319
59003,"Burnaby South/Burnaby-Sud"," 113","Burnaby",1,47,32,44,3,3,130,337
59003,"Burnaby South/Burnaby-Sud"," 114","Burnaby",4,78,99,58,5,3,247,469
59003,"Burnaby South/Burnaby-Sud"," 115","Burnaby",4,90,77,69,4,0,244,477
59003,"Burnaby South/Burnaby-Sud"," 116","Burnaby",2,23,17,63,4,0,109,270
59003,"Burnaby South/Burnaby-Sud"," 117","Burnaby",7,64,42,69,1,3,186,384
59003,"Burnaby South/Burnaby-Sud"," 118","Burnaby",9,98,59,101,5,0,272,546
59003,"Burnaby South/Burnaby-Sud"," 119","Burnaby",1,42,44,43,4,1,135,367
59003,"Burnaby South/Burnaby-Sud"," 120","Burnaby",0,74,58,88,4,2,226,480
59003,"Burnaby South/Burnaby-Sud"," 121","Burnaby",4,77,55,54,1,0,191,394
59003,"Burnaby South/Burnaby-Sud"," 122","Burnaby",0,76,54,74,6,2,212,489
59003,"Burnaby South/Burnaby-Sud"," 123","Burnaby",1,80,64,67,5,0,217,420
59003,"Burnaby South/Burnaby-Sud"," 124","Burnaby",2,64,41,81,9,0,197,440
59003,"Burnaby South/Burnaby-Sud"," 125","Burnaby",4,61,27,70,7,0,169,341
59003,"Burnaby South/Burnaby-Sud"," 126","Burnaby",0,46,38,66,8,1,159,303
59003,"Burnaby South/Burnaby-Sud"," 127","Burnaby",3,41,21,59,3,0,127,265
59003,"Burnaby South/Burnaby-Sud"," 128","Burnaby",4,57,47,46,1,0,155,372
59003,"Burnaby South/Burnaby-Sud"," 129","Burnaby",3,34,41,30,3,1,112,325
59003,"Burnaby South/Burnaby-Sud"," 130","Burnaby",0,81,70,70,7,4,232,544
59003,"Burnaby South/Burnaby-Sud"," 131","Burnaby",3,79,58,79,11,1,231,488
59003,"Burnaby South/Burnaby-Sud"," 132","Burnaby",2,101,35,79,10,2,229,500
59003,"Burnaby South/Burnaby-Sud"," 133","Burnaby",3,76,60,84,11,0,234,395
59003,"Burnaby South/Burnaby-Sud"," 134","Burnaby",1,99,60,81,4,1,246,385
59003,"Burnaby South/Burnaby-Sud"," 135","Burnaby",0,99,51,80,4,4,238,451
59003,"Burnaby South/Burnaby-Sud"," 136","Burnaby",1,112,63,54,14,0,244,445
59003,"Burnaby South/Burnaby-Sud"," 137","Burnaby",0,76,68,57,7,1,209,437
59003,"Burnaby South/Burnaby-Sud"," 138","Burnaby",1,48,44,56,1,0,150,306
59003,"Burnaby South/Burnaby-Sud"," 139","Burnaby",1,74,61,61,5,1,203,377
59003,"Burnaby South/Burnaby-Sud"," 140","Burnaby",1,77,51,81,4,1,215,429
59003,"Burnaby South/Burnaby-Sud"," 141","Burnaby",4,88,58,95,14,3,262,498
